tyrFam	taxonID	p11	p10	p01	p00	taxonPrevalence	totalSpecies	totalGenomesWithYR
fam01	Agaricomycetes	18	418	45	344	0.29	825	1422
fam01	Dothideomycetes	30	406	100	289	0.23	825	1422
fam01	Eurotiomycetes	108	328	92	297	0.54	825	1422
fam01	Lecanoromycetes	4	432	9	380	0.31	825	1422
fam01	Leotiomycetes	55	381	12	377	0.82	825	1422
fam01	Orbiliomycetes	1	435	3	386	0.25	825	1422
fam01	Pezizomycetes	4	432	13	376	0.24	825	1422
fam01	Sordariomycetes	215	221	105	284	0.67	825	1422
fam01	Tremellomycetes	1	435	4	385	0.20	825	1422
fam01	Ustilaginomycetes	0	436	6	383	0.00	825	1422
fam02	Agaricomycetes	0	99	63	663	0.00	825	1422
fam02	Dothideomycetes	5	94	125	601	0.04	825	1422
fam02	Eurotiomycetes	86	13	114	612	0.43	825	1422
fam02	Lecanoromycetes	0	99	13	713	0.00	825	1422
fam02	Leotiomycetes	2	97	65	661	0.03	825	1422
fam02	Orbiliomycetes	0	99	4	722	0.00	825	1422
fam02	Pezizomycetes	0	99	17	709	0.00	825	1422
fam02	Sordariomycetes	6	93	314	412	0.02	825	1422
fam02	Tremellomycetes	0	99	5	721	0.00	825	1422
fam02	Ustilaginomycetes	0	99	6	720	0.00	825	1422
fam03	Agaricomycetes	1	119	62	643	0.02	825	1422
fam03	Dothideomycetes	3	117	127	578	0.02	825	1422
fam03	Eurotiomycetes	89	31	111	594	0.45	825	1422
fam03	Lecanoromycetes	7	113	6	699	0.54	825	1422
fam03	Leotiomycetes	1	119	66	639	0.01	825	1422
fam03	Orbiliomycetes	4	116	0	705	1.00	825	1422
fam03	Pezizomycetes	13	107	4	701	0.76	825	1422
fam03	Sordariomycetes	2	118	318	387	0.01	825	1422
fam03	Tremellomycetes	0	120	5	700	0.00	825	1422
fam03	Ustilaginomycetes	0	120	6	699	0.00	825	1422
fam04	Agaricomycetes	0	139	63	623	0.00	825	1422
fam04	Dothideomycetes	50	89	80	606	0.38	825	1422
fam04	Eurotiomycetes	4	135	196	490	0.02	825	1422
fam04	Lecanoromycetes	0	139	13	673	0.00	825	1422
fam04	Leotiomycetes	33	106	34	652	0.49	825	1422
fam04	Orbiliomycetes	0	139	4	682	0.00	825	1422
fam04	Pezizomycetes	0	139	17	669	0.00	825	1422
fam04	Sordariomycetes	52	87	268	418	0.16	825	1422
fam04	Tremellomycetes	0	139	5	681	0.00	825	1422
fam04	Ustilaginomycetes	0	139	6	680	0.00	825	1422
fam05	Agaricomycetes	0	458	63	304	0.00	825	1422
fam05	Dothideomycetes	87	371	43	324	0.67	825	1422
fam05	Eurotiomycetes	164	294	36	331	0.82	825	1422
fam05	Lecanoromycetes	10	448	3	364	0.77	825	1422
fam05	Leotiomycetes	38	420	29	338	0.57	825	1422
fam05	Orbiliomycetes	0	458	4	363	0.00	825	1422
fam05	Pezizomycetes	0	458	17	350	0.00	825	1422
fam05	Sordariomycetes	159	299	161	206	0.50	825	1422
fam05	Tremellomycetes	0	458	5	362	0.00	825	1422
fam05	Ustilaginomycetes	0	458	6	361	0.00	825	1422
fam06	Agaricomycetes	9	314	54	448	0.14	825	1422
fam06	Dothideomycetes	22	301	108	394	0.17	825	1422
fam06	Eurotiomycetes	141	182	59	443	0.70	825	1422
fam06	Lecanoromycetes	4	319	9	493	0.31	825	1422
fam06	Leotiomycetes	26	297	41	461	0.39	825	1422
fam06	Orbiliomycetes	0	323	4	498	0.00	825	1422
fam06	Pezizomycetes	0	323	17	485	0.00	825	1422
fam06	Sordariomycetes	121	202	199	303	0.38	825	1422
fam06	Tremellomycetes	0	323	5	497	0.00	825	1422
fam06	Ustilaginomycetes	0	323	6	496	0.00	825	1422
fam07	Agaricomycetes	0	154	63	608	0.00	825	1422
fam07	Dothideomycetes	1	153	129	542	0.01	825	1422
fam07	Eurotiomycetes	89	65	111	560	0.45	825	1422
fam07	Lecanoromycetes	2	152	11	660	0.15	825	1422
fam07	Leotiomycetes	2	152	65	606	0.03	825	1422
fam07	Orbiliomycetes	0	154	4	667	0.00	825	1422
fam07	Pezizomycetes	0	154	17	654	0.00	825	1422
fam07	Sordariomycetes	60	94	260	411	0.19	825	1422
fam07	Tremellomycetes	0	154	5	666	0.00	825	1422
fam07	Ustilaginomycetes	0	154	6	665	0.00	825	1422
fam08	Agaricomycetes	7	61	56	701	0.11	825	1422
fam08	Dothideomycetes	6	62	124	633	0.05	825	1422
fam08	Eurotiomycetes	3	65	197	560	0.01	825	1422
fam08	Lecanoromycetes	2	66	11	746	0.15	825	1422
fam08	Leotiomycetes	37	31	30	727	0.55	825	1422
fam08	Orbiliomycetes	1	67	3	754	0.25	825	1422
fam08	Pezizomycetes	12	56	5	752	0.71	825	1422
fam08	Sordariomycetes	0	68	320	437	0.00	825	1422
fam08	Tremellomycetes	0	68	5	752	0.00	825	1422
fam08	Ustilaginomycetes	0	68	6	751	0.00	825	1422
fam09	Agaricomycetes	12	193	51	569	0.19	825	1422
fam09	Dothideomycetes	15	190	115	505	0.12	825	1422
fam09	Eurotiomycetes	4	201	196	424	0.02	825	1422
fam09	Lecanoromycetes	1	204	12	608	0.08	825	1422
fam09	Leotiomycetes	4	201	63	557	0.06	825	1422
fam09	Orbiliomycetes	0	205	4	616	0.00	825	1422
fam09	Pezizomycetes	0	205	17	603	0.00	825	1422
fam09	Sordariomycetes	169	36	151	469	0.53	825	1422
fam09	Tremellomycetes	0	205	5	615	0.00	825	1422
fam09	Ustilaginomycetes	0	205	6	614	0.00	825	1422
fam10	Agaricomycetes	2	112	61	650	0.03	825	1422
fam10	Dothideomycetes	83	31	47	664	0.64	825	1422
fam10	Eurotiomycetes	3	111	197	514	0.01	825	1422
fam10	Lecanoromycetes	0	114	13	698	0.00	825	1422
fam10	Leotiomycetes	11	103	56	655	0.16	825	1422
fam10	Orbiliomycetes	0	114	4	707	0.00	825	1422
fam10	Pezizomycetes	2	112	15	696	0.12	825	1422
fam10	Sordariomycetes	13	101	307	404	0.04	825	1422
fam10	Tremellomycetes	0	114	5	706	0.00	825	1422
fam10	Ustilaginomycetes	0	114	6	705	0.00	825	1422
fam11	Agaricomycetes	27	53	36	709	0.43	825	1422
fam11	Dothideomycetes	4	76	126	619	0.03	825	1422
fam11	Eurotiomycetes	2	78	198	547	0.01	825	1422
fam11	Lecanoromycetes	1	79	12	733	0.08	825	1422
fam11	Leotiomycetes	16	64	51	694	0.24	825	1422
fam11	Orbiliomycetes	0	80	4	741	0.00	825	1422
fam11	Pezizomycetes	0	80	17	728	0.00	825	1422
fam11	Sordariomycetes	20	60	300	445	0.06	825	1422
fam11	Tremellomycetes	4	76	1	744	0.80	825	1422
fam11	Ustilaginomycetes	6	74	0	745	1.00	825	1422
