ID,Species,Outgroup,Taxonomy,Source,Protein annotation,Reference
SAMEA115359166,Xanthoria parietina Ellen,N,Ascomycota; Lecanoromycetes; Teloschistales,This paper,This paper,
GTX0491,Xanthoria calcicola,N,Ascomycota; Lecanoromycetes; Teloschistales,This paper,This paper,
SAMEA111342678,Xanthoria parietina ASG,N,Ascomycota; Lecanoromycetes; Teloschistales,NCBI,This paper,
GTX0501,Xanthoria parietina,N,Ascomycota; Lecanoromycetes; Teloschistales,NCBI,Tagirdzhanova et al. Curr Biol. 2025,Tagirdzhanova et al. Curr Biol. 2025
SacceM3707,Saccharomyces cerevisiae,Y,Ascomycota; Saccaromycetes; Saccharomycetales,JGI,JGI,Brown et al. Genome Announc. 2013
Ascim1,Ascobolus immersus,N,Ascomycota; Pezizomycetes; Pezizales,JGI,JGI,Murat et al. Nat Ecol Evol. 2018
Morco1,Morchella importuna,N,Ascomycota; Pezizomycetes; Pezizales,JGI,JGI,Murat et al. Nat Ecol Evol. 2018
Neucr,Neurospora crassa trp3,N,Ascomycota; Sordariomycetes; Sordariales,JGI,JGI,Baker et al. Genome Announc. 2015 
Podan3,Podospora anserina,N,Ascomycota; Sordariomycetes; Sordariales,JGI,JGI,Espagne et al. Genome Biol. 2008
Fusgr1,Fusarium graminearum,N,Ascomycota; Sordariomycetes; Hypocreales,JGI,JGI,Cuomo et al. Science. 2007
Aurpu,Aureobasidium pullulans var. melanogenum,N,Ascomycota; Dothideomycetes; Botryosphaeriales,JGI,JGI,Gostincar et al. BMC Genomics. 2014
Altal1,Alternaria alternata,N,Ascomycota; Dothideomycetes; Pleosporales,JGI,JGI,Zeiner et al. PLoS One. 2016
Claba1,Cladophialophora bantiana CBS 173.52,N,Ascomycota; Eurotiomycetes; Chaetothyriales,JGI,JGI,Teixeira et al. Stud Mycol. 2017
Capcor1,Capronia coronata,N,Ascomycota; Eurotiomycetes; Chaetothyriales,JGI,JGI,Teixeira et al. Stud Mycol. 2017
Exoaq1,Exophiala aquamarina,N,Ascomycota; Eurotiomycetes; Chaetothyriales,JGI,JGI,Teixeira et al. Stud Mycol. 2017
JAPDRQ01,Knufia sp. JES_112,N,Ascomycota; Eurotiomycetes; Chaetothyriales,NCBI,NCBI,"Kurbessoian,T. and Stajich,J.E."
Fonmu1,Fonsecaea multimorphosa,N,Ascomycota; Eurotiomycetes; Chaetothyriales,JGI,JGI,Teixeira et al. Stud Mycol. 2017
AOBU01,Cyphellophora europaea,N,Ascomycota; Eurotiomycetes; Chaetothyriales,NCBI,NCBI,Broad Institute
Phach1,Phaeomoniella chlamydospora,N,Ascomycota; Eurotiomycetes; Phaeomoniellales,JGI,JGI,Morales-Cruz et al. BMC Genomics. 2015
EndpusZ1,Endocarpon pusillum,N,Ascomycota; Eurotiomycetes; Verrucariales,JGI,JGI,Wang et al. BMC Genomics. 2014
Aspni,Aspergillus niger CBS 513.88,N,Ascomycota; Eurotiomycetes; Eurotiales,JGI,JGI,Pel et al. Nat Biotechnol. 2007
