Captain_Sequence,taxon,lifestyle
chaetothyriales.sp..1_tyr3637,Chaetothyriales,Endolichenic
chaetothyriales.sp..1_tyr954,Chaetothyriales,Endolichenic
cladophialophora.endolichena.1_tyr5,Chaetothyriales,Endolichenic
cladophialophora.endolichena.1_tyr969,Chaetothyriales,Endolichenic
cladophialophora.endolichena.1_tyr7,Chaetothyriales,Endolichenic
cladophialophora.sp..1_tyr3153,Chaetothyriales,Endolichenic
cladophialophora.sp..2_tyr3779,Chaetothyriales,Endolichenic
cladophialophora.sp..2_tyr3780,Chaetothyriales,Endolichenic
cladophialophora.sp..2_tyr403,Chaetothyriales,Endolichenic
clapsa1_10577,Chaetothyriales,Non-Lichen
clapsa1_9549,Chaetothyriales,Non-Lichen
cypeur1_114146,Chaetothyriales,Non-Lichen
exospi1_9399,Chaetothyriales,Non-Lichen
melanina.sp..1_tyr579,Chaetothyriales,Endolichenic
melanina.sp..2_tyr2558,Chaetothyriales,Endolichenic
melanina.sp..2_tyr361,Chaetothyriales,Endolichenic
melanina.sp..2_tyr580,Chaetothyriales,Endolichenic
melanina.sp..2_tyr4104,Chaetothyriales,Endolichenic
rhimac1_11078,Chaetothyriales,Non-Lichen
botryolepraria.lesdainii.1_tyr1357,Lecanoromycetes,Lichenized
dermiscellum.oulocheilum.1_tyr302,Lecanoromycetes,Lichenized
gyalecta.farlowii.1_tyr1367,Lecanoromycetes,Lichenized
gyalolechia.sp..2_tyr1934,Lecanoromycetes,Lichenized
gypsoplaca.macrophylla.1_tyr2626,Lecanoromycetes,Lichenized
lambiella.insularis.1_tyr2208,Lecanoromycetes,Lichenized
lambiella.insularis.1_tyr2292,Lecanoromycetes,Lichenized
phlyctis.petraea.1_tyr3429,Lecanoromycetes,Lichenized
pseudosagedia.isidiata.1_tyr707,Lecanoromycetes,Lichenized
rhizocarpon.geographicum.1_tyr3008,Lecanoromycetes,Lichenized
sticta.canariensis.1_tyr1098,Lecanoromycetes,Lichenized
umbilicaria.freyi.1_tyr3723,Lecanoromycetes,Lichenized
umbilicaria.grisea.1_tyr3321,Lecanoromycetes,Lichenized
umbilicaria.grisea.2_tyr2582,Lecanoromycetes,Lichenized
umbilicaria.grisea.3_tyr2971,Lecanoromycetes,Lichenized
umbilicaria.mammulata.1_tyr2778,Lecanoromycetes,Lichenized
umbilicaria.polyphylla.2_tyr2880,Lecanoromycetes,Lichenized
umbilicaria.spodochroa.1_tyr3402,Lecanoromycetes,Lichenized
umbilicaria.spodochroa.3_tyr1175,Lecanoromycetes,Lichenized
umbilicaria.spodochroa.4_tyr2480,Lecanoromycetes,Lichenized
chasp.7_tyr3993,Other Eurotiomycetes,Non-Lichen
elagra1_tyr4783,Other Eurotiomycetes,Non-Lichen
elagra2_tyr4830,Other Eurotiomycetes,Non-Lichen
endocarpon.pusillum.2_tyr109,Other Eurotiomycetes,Lichenized
endocarpon.pusillum.2_tyr1208,Other Eurotiomycetes,Lichenized
endocarpon.pusillum.2_tyr1874,Other Eurotiomycetes,Lichenized
endocarpon.pusillum.2_tyr350,Other Eurotiomycetes,Lichenized
endocarpon.pusillum.3_tyr1094,Other Eurotiomycetes,Lichenized
endocarpon.pusillum.3_tyr187,Other Eurotiomycetes,Lichenized
muellerella.sp..1_tyr1791,Other Eurotiomycetes,Endolichenic
phachl1_4316,Other Eurotiomycetes,Non-Lichen
phachl1_5955,Other Eurotiomycetes,Non-Lichen
beabas1_10106,Outgroup,Outgroup
colnym1_1013311,Sordariomycetes,Non-Lichen
