Captain_Sequence	taxon	lifestyle
chrysothrix.sp..1_tyr3844	Arthoniomycetes	Lichenized
coniocarpon.cinnabarinum.2_tyr3740	Arthoniomycetes	Lichenized
coniocarpon.cinnabarinum.2_tyr169	Arthoniomycetes	Lichenized
opegrapha.moroziana.1_tyr3182	Arthoniomycetes	Lichenized
cladophialophora.endolichena.1_tyr430	Chaetothyriales	Endolichenic
exosid1_tyr5117	Chaetothyriales	Non-Lichen
exoxen1_tyr5127	Chaetothyriales	Non-Lichen
rhilig1_72239	Dothideomycetes	Non-Lichen
acanthothecis.fontana.1_tyr2875	Lecanoromycetes	Lichenized
bacidia.gigantensis.1_tyr1202	Lecanoromycetes	Lichenized
bacidia.rubella.1_tyr2101	Lecanoromycetes	Lichenized
baeomycetales.sp..4_tyr2128	Lecanoromycetes	Endolichenic
biatora.pontica.1_tyr1294	Lecanoromycetes	Lichenized
brianaria.bauschiana.1_tyr2644	Lecanoromycetes	Lichenized
brianaria.bauschiana.1_tyr3821	Lecanoromycetes	Lichenized
bryoria.fremontii.1_tyr2985	Lecanoromycetes	Lichenized
bryoria.fremontii.1_tyr796	Lecanoromycetes	Lichenized
bulbothrix.scortella.1_tyr1565	Lecanoromycetes	Lichenized
bulbothrix.scortella.1_tyr2019	Lecanoromycetes	Lichenized
byssoloma.subdiscordans.1_tyr3807	Lecanoromycetes	Lichenized
cetrelia.chicitae.1_tyr1584	Lecanoromycetes	Lichenized
cladonia.ochrochlora.1_tyr1069	Lecanoromycetes	Lichenized
cladonia.petrophila.1_tyr211	Lecanoromycetes	Lichenized
cladonia.pyxidata.1_tyr2964	Lecanoromycetes	Lichenized
cladonia.rangiferina.2_tyr2351	Lecanoromycetes	Lichenized
cladonia.rangiferina.3_tyr774	Lecanoromycetes	Lichenized
cladonia.sp..3_tyr3641	Lecanoromycetes	Lichenized
cladonia.sp..8_tyr24	Lecanoromycetes	Lichenized
cladonia.sp..9_tyr1278	Lecanoromycetes	Lichenized
cladonia.squamosa.1_tyr159	Lecanoromycetes	Lichenized
cladonia.squamosa.4_tyr3051	Lecanoromycetes	Lichenized
cladonia.subtenuis.1_tyr676	Lecanoromycetes	Lichenized
cladonia.uncialis.1_tyr1299	Lecanoromycetes	Lichenized
cladonia.uncialis.4_tyr103	Lecanoromycetes	Lichenized
clagra1_11292	Lecanoromycetes	Lichenized
cornicularia.normoerica.2_tyr176	Lecanoromycetes	Lichenized
crespoa.crozalsiana.1_tyr3017	Lecanoromycetes	Lichenized
dermiscellum.oulocheilum.1_tyr3730	Lecanoromycetes	Lichenized
dimelaena.oreina.1_tyr4064	Lecanoromycetes	Lichenized
evernia.divaricata.1_tyr246	Lecanoromycetes	Lichenized
evernia.prunastri.1_tyr3467	Lecanoromycetes	Lichenized
evernia.prunastri.1_tyr2325	Lecanoromycetes	Lichenized
evernia.prunastri.1_tyr3163	Lecanoromycetes	Lichenized
evernia.prunastri.1_tyr3751	Lecanoromycetes	Lichenized
evernia.prunastri.1_tyr3749	Lecanoromycetes	Lichenized
flavocetraria.cucullata.1_tyr3192	Lecanoromycetes	Lichenized
flavopunctelia.flaventior.1_tyr3604	Lecanoromycetes	Lichenized
fulgogasparrea.decipioides.1_tyr2952	Lecanoromycetes	Lichenized
fuscopannaria.leucosticta.1_tyr817	Lecanoromycetes	Lichenized
grascr1_10188	Lecanoromycetes	Non-Lichen
imsale1_tyr7676	Lecanoromycetes	Non-Lichen
imshaugia.aleurites.1_tyr890	Lecanoromycetes	Lichenized
imshaugia.aleurites.1_tyr2162	Lecanoromycetes	Lichenized
imshaugia.aleurites.1_tyr304	Lecanoromycetes	Lichenized
imshaugia.aleurites.1_tyr2620	Lecanoromycetes	Lichenized
imshaugia.aleurites.2_tyr2746	Lecanoromycetes	Lichenized
imshaugia.aleurites.2_tyr183	Lecanoromycetes	Lichenized
imshaugia.aleurites.2_tyr1162	Lecanoromycetes	Lichenized
lecanora.strobilina.1_tyr1096	Lecanoromycetes	Lichenized
lecanora.subimmergens.1_tyr3127	Lecanoromycetes	Lichenized
lecanora.subimmergens.1_tyr531	Lecanoromycetes	Lichenized
lecanorales.sp..1_tyr3277	Lecanoromycetes	Lichenized
lecanoromycetes.sp..2_tyr232	Lecanoromycetes	Endoclichenic
lecanoromycetes.sp..5_tyr214	Lecanoromycetes	Endoclichenic
lecanoromycetes.sp..5_tyr2729	Lecanoromycetes	Endoclichenic
lecidella.sp..1_tyr1433	Lecanoromycetes	Lichenized
lepraria.oxybapha.1_tyr2815	Lecanoromycetes	Lichenized
lepraria.sp..1_tyr911	Lecanoromycetes	Lichenized
letrouitia.sp..1_tyr120	Lecanoromycetes	Lichenized
letrouitia.subvulpina.1_tyr3600	Lecanoromycetes	Lichenized
letrouitia.subvulpina.1_tyr2785	Lecanoromycetes	Lichenized
letrouitia.transgressa.1_tyr741	Lecanoromycetes	Lichenized
letrouitia.transgressa.1_tyr1835	Lecanoromycetes	Lichenized
letrouitia.transgressa.1_tyr1836	Lecanoromycetes	Lichenized
letrouitia.transgressa.2_tyr37	Lecanoromycetes	Lichenized
letrouitia.transgressa.2_tyr670	Lecanoromycetes	Lichenized
micareopsis.irriguata.1_tyr82	Lecanoromycetes	Lichenized
mycoblastus.sanguinarius.1_tyr1766	Lecanoromycetes	Lichenized
mycoblastus.sanguinarius.2_tyr3880	Lecanoromycetes	Lichenized
nadvornikia.sorediata.1_tyr881	Lecanoromycetes	Lichenized
nadvornikia.sorediata.1_tyr3379	Lecanoromycetes	Lichenized
nephroma.helveticum.1_tyr1188	Lecanoromycetes	Lichenized
niebla.homalea.1_tyr2552	Lecanoromycetes	Lichenized
ochrolechia.trochophora.1_tyr1000	Lecanoromycetes	Lichenized
ochrolechia.trochophora.1_tyr784	Lecanoromycetes	Lichenized
parmeliaceae.sp..15_tyr1785	Lecanoromycetes	Endoclichenic
parmeliaceae.sp..2_tyr3179	Lecanoromycetes	Endoclichenic
parmeliaceae.sp..2_tyr1548	Lecanoromycetes	Endoclichenic
parmeliaceae.sp..3_tyr570	Lecanoromycetes	Endoclichenic
parmeliaceae.sp..6_tyr3757	Lecanoromycetes	Endoclichenic
parmeliaceae.sp..6_tyr1684	Lecanoromycetes	Endoclichenic
parmotrema.hypotropum.1_tyr1906	Lecanoromycetes	Lichenized
parmotrema.hypotropum.1_tyr1144	Lecanoromycetes	Lichenized
parmotrema.perlatum.1_tyr3500	Lecanoromycetes	Lichenized
phaeophyscia.rubropulchra.1_tyr537	Lecanoromycetes	Lichenized
phlyctis.petraea.1_tyr2956	Lecanoromycetes	Lichenized
platismatia.glauca.1_tyr3613	Lecanoromycetes	Lichenized
platismatia.glauca.1_tyr1582	Lecanoromycetes	Lichenized
platismatia.glauca.1_tyr1012	Lecanoromycetes	Lichenized
platismatia.glauca.1_tyr3612	Lecanoromycetes	Lichenized
platismatia.glauca.1_tyr3812	Lecanoromycetes	Lichenized
platismatia.glauca.2_tyr3893	Lecanoromycetes	Lichenized
platismatia.glauca.3_tyr2295	Lecanoromycetes	Lichenized
platismatia.glauca.3_tyr1502	Lecanoromycetes	Lichenized
porina.heterospora.1_tyr1249	Lecanoromycetes	Lichenized
porpidia.albocaerulescens.1_tyr665	Lecanoromycetes	Lichenized
porpidia.macrocarpa.1_tyr578	Lecanoromycetes	Lichenized
protoblastenia.rupestris.1_tyr3083	Lecanoromycetes	Lichenized
pseudephebe.minuscula.1_tyr3984	Lecanoromycetes	Lichenized
pseudevernia.cladonia.1_tyr1027	Lecanoromycetes	Lichenized
pseudevernia.consocians.1_tyr3771	Lecanoromycetes	Lichenized
pseudevernia.consocians.1_tyr2995	Lecanoromycetes	Lichenized
pseudevernia.furfuracea.1_tyr327	Lecanoromycetes	Lichenized
pseudevernia.furfuracea.1_tyr3916	Lecanoromycetes	Lichenized
pseudevernia.furfuracea.2_tyr1279	Lecanoromycetes	Lichenized
pseudevernia.furfuracea.3_tyr1486	Lecanoromycetes	Lichenized
pseudevernia.furfuracea.4_tyr3413	Lecanoromycetes	Lichenized
pseudosagedia.sp..1_tyr3004	Lecanoromycetes	Lichenized
psora.crenata.1_tyr1714	Lecanoromycetes	Lichenized
ramalina.petrina.1_tyr473	Lecanoromycetes	Lichenized
ramalina.siliquosa.1_tyr1191	Lecanoromycetes	Lichenized
solorina.crocea.1_tyr4188	Lecanoromycetes	Lichenized
stereocaulon.dactylophyllum.1_tyr2235	Lecanoromycetes	Lichenized
stereocaulon.dactylophyllum.1_tyr2574	Lecanoromycetes	Lichenized
sticta.canariensis.1_tyr4091	Lecanoromycetes	Lichenized
stictis.urceolata.1_tyr2397	Lecanoromycetes	Lichenized
stictis.urceolata.1_tyr2464	Lecanoromycetes	Lichenized
stictis.urceolata.2_tyr1764	Lecanoromycetes	Lichenized
stictis.urceolata.2_tyr738	Lecanoromycetes	Lichenized
trapelia.coarctata.1_tyr2449	Lecanoromycetes	Lichenized
trapelia.coarctata.1_tyr3269	Lecanoromycetes	Lichenized
trapelia.coarctata.2_tyr1443	Lecanoromycetes	Lichenized
umbilicaria.crustulosa.1_tyr1108	Lecanoromycetes	Lichenized
umbilicaria.crustulosa.1_tyr2611	Lecanoromycetes	Lichenized
umbilicaria.crustulosa.1_tyr450	Lecanoromycetes	Lichenized
umbilicaria.crustulosa.2_tyr1386	Lecanoromycetes	Lichenized
umbilicaria.crustulosa.2_tyr1223	Lecanoromycetes	Lichenized
umbilicaria.crustulosa.2_tyr1382	Lecanoromycetes	Lichenized
