Captain_Sequence,taxon
acanthothecis.fontana.1_tyr1446,Ostropales
acanthothecis.fontana.1_tyr2209,Ostropales
acarospora.sp..1_tyr498,Acarosporales
agyrium.rufum.1_tyr287,Pertusariales
buellia.spuria.2_tyr3704,Caliciales
byssoloma.meadii.1_tyr1250,Lecanorales
calogaya.arnoldii.1_tyr1881,Teloschistales
calogaya.arnoldii.2_tyr1401,Teloschistales
caloplaca.aetnensis.1_tyr1915,Teloschistales
caloplaca.sp..2_tyr2406,Teloschistales
cladonia.rangiferina.1_tyr305,Lecanorales
cyanodermella.asteris.1_tyr1869,Ostropales
cyanodermella.asteris.1_tyr2814,Ostropales
cyanodermella.asteris.1_tyr3466,Ostropales
dibaeis.baeomyces.1_tyr3092,Pertusariales
dibaeis.sorediata.1_tyr2623,Pertusariales
dibbae1_5584_5585,Pertusariales
fissurina.insidiosa.1_tyr1461,Ostropales
gallowayella.fulva.1_tyr2297,Teloschistales
gomphillus.americanus.1_tyr1053,Ostropales
gomphillus.americanus.2_tyr1205,Ostropales
gomphillus.calycioides.1_tyr105,Ostropales
gomphillus.calycioides.1_tyr2843,Ostropales
grascr1_11383,Ostropales
grascr1_687,Ostropales
gyalolechia.marmorata.1_tyr2081,Teloschistales
gyalolechia.marmorata.1_tyr3049,Teloschistales
icmadophila.ericetorum.1_tyr1628,Pertusariales
icmadophila.ericetorum.1_tyr3276,Pertusariales
icmadophila.ericetorum.1_tyr3921,Pertusariales
ionaspis.lacustris.1_tyr4127,Hymeneliales
kuettlingeria.erythrocarpa.1_tyr701,Teloschistales
laspus2_SLM39506.1,Umbilicariales
lecanorales.sp..3_tyr2207,Lecanorales
lecanorales.sp..6_tyr1295,Lecanorales
letharia.columbiana.1_tyr1459,Lecanorales
leucodecton.sp..1_tyr2657,Ostropales
nadvornikia.sorediata.1_tyr2598,Ostropales
nadvornikia.sorediata.1_tyr3603,Ostropales
nadvornikia.sorediata.1_tyr4112,Ostropales
OZ2100_002162-T1,Teloschistales
pertusaria.obruta.1_tyr2146,Pertusariales
pertusaria.plittiana.1_tyr1206,Pertusariales
phlyctis.petraea.1_tyr16,Gyalectales
polycauliona.sp..2_tyr3658,Teloschistales
porina.heterospora.1_tyr2130,Ostropales
pseudosagedia.sp..1_tyr1320,Pertusariales
scaffold_008752-T1,Teloschistales
squamulea.sp..1_tyr2986,Teloschistales
stictis.urceolata.1_tyr128,Ostropales
stictis.urceolata.1_tyr1442,Ostropales
stictis.urceolata.2_tyr224,Ostropales
stictis.urceolata.2_tyr3715,Ostropales
teloschistales.sp..1_tyr3330,Teloschistales
teloschistes.chrysophthalmus.1_tyr1428,Teloschistales
teloschistes.chrysophthalmus.1_tyr2102,Teloschistales
teloschistes.chrysophthalmus.1_tyr980,Teloschistales
teloschistes.chrysophthalmus.2_tyr2422,Teloschistales
teloschistes.chrysophthalmus.2_tyr3795,Teloschistales
teloschistes.exilis.1_tyr3101,Teloschistales
teloschistes.exilis.1_tyr3137,Teloschistales
teloschistes.exilis.1_tyr919,Teloschistales
teloschistes.exilis.2_tyr1555,Teloschistales
teloschistes.exilis.2_tyr2659,Teloschistales
teloschistes.exilis.2_tyr4051,Teloschistales
teloschistes.exilis.2_tyr4052,Teloschistales
teloschistes.exilis.3_tyr1984,Teloschistales
teloschistes.exilis.3_tyr2312,Teloschistales
teloschistes.exilis.3_tyr394,Teloschistales
teloschistes.exilis.3_tyr4193,Teloschistales
teloschistes.exilis.3_tyr560,Teloschistales
teloschistes.flavicans.2_tyr4102,Teloschistales
teloschistes.hypoglaucus.1_tyr3519,Teloschistales
teloschistes.peruensis.1_tyr1536,Teloschistales
teloschistes.peruensis.1_tyr2728,Teloschistales
teloschistes.peruensis.1_tyr3340,Teloschistales
teloschistes.peruensis.1_tyr3348,Teloschistales
teloschistes.peruensis.1_tyr4017,Teloschistales
teloschistes.peruensis.1_tyr623,Teloschistales
umbilicaria.iberica.1_tyr757,Umbilicariales
umbilicaria.spodochroa.4_tyr3267,Umbilicariales
umbpus1_103454,Umbilicariales
variospora.aurantia.1_tyr2779,Teloschistales
xanthocarpia.lactea.1_tyr1907,Teloschistales
xanthocarpia.ochracea.1_tyr156,Teloschistales
xanthoria.mediterranea.1_tyr2790,Teloschistales
xanthoria.sp..2_tyr633,Teloschistales
XpGTX0501_001716-T1,Teloschistales
tubmag1_tyr10586,Outgroup
