Table S14. Metadata of lichen-associated genomes used to find signatures of Starship horizontal transfer amongst lichen symbionts.								
Genome ID	Accession ID	Species	Genus	Class	Lifestyle	Host	Assembly Release Date	WGS project accession
alyxoria.varia.1	GCA_026054675.1	Alyxoria_varia	Alyxoria	Arthoniomycetes	Lichen-forming	N/A	11/7/22	JAPETI01
arthonia.radiata.1	GCA_002989075.1	Arthonia_radiata	Arthonia	Arthoniomycetes	Lichen-forming	N/A	3/9/18	PSQN01
arthonia.rubella.1	GCA_964256465.1	Arthonia_rubella	Arthonia	Arthoniomycetes	Lichen-forming	N/A	9/21/24	CAXVBU01
arthonia.susa.1	GCA_964256665.1	Arthonia_susa	Arthonia	Arthoniomycetes	Lichen-forming	N/A	9/21/24	CAXVBT01
arthoniomycete.sp..1	GCA_049996255.1	Arthoniomycete_sp.	Arthoniomycete_sp.	Arthoniomycetes	Non-mycobiont lichen-associated	Umbillicaria	4/29/25	JBAWTR01
arthoniomycete.sp..2	GCA_964257325.1	Arthoniomycete_sp.	Arthoniomycete_sp.	Arthoniomycetes	Lichen-forming	N/A	9/21/24	CAXVEJ01
arthothelium.ruanum.1	GCA_964255825.1	Arthothelium_ruanum	Arthothelium	Arthoniomycetes	Lichen-forming	N/A	9/21/24	CAXUZJ01
chrysothrix.sp..1	GCA_026023555.1	Chrysothrix_sp.	Chrysothrix	Arthoniomycetes	Lichen-forming	N/A	11/7/22	JAPETR01
coniocarpon.cinnabarinum.1	GCA_051942205.1	Coniocarpon_cinnabarinum	Coniocarpon	Arthoniomycetes	Lichen-forming	N/A	8/12/25	JAVECO01
coniocarpon.cinnabarinum.2	GCA_051942265.1	Coniocarpon_cinnabarinum	Coniocarpon	Arthoniomycetes	Lichen-forming	N/A	8/12/25	JAVECK01
opegrapha.moroziana.1	GCA_964257255.1	Opegrapha_moroziana	Opegrapha	Arthoniomycetes	Lichen-forming	N/A	9/21/24	CAXVED01
zwackhia.viridis.1	GCA_964255065.1	Zwackhia_viridis	Zwackhia	Arthoniomycetes	Lichen-forming	N/A	9/21/24	CAXUUG01
mycosphaerellales.sp..1	GCA_049996175.1	Mycosphaerellales_sp.	Mycosphaerellales_sp.	Dothidiomycetes	Non-mycobiont lichen-associated	Umbillicaria	4/29/25	JBAWTN01
mycosphaerellales.sp..2	GCA_049996215.1	Mycosphaerellales_sp.	Mycosphaerellales_sp.	Dothidiomycetes	Non-mycobiont lichen-associated	Umbillicaria	4/29/25	JBAWTP01
pseudopyrenochaetaceae.sp..1	GCA_049996235.1	Pseudopyrenochaetaceae_sp.	Pseudopyrenochaetaceae_sp.	Dothidiomycetes	Non-mycobiont lichen-associated	Umbillicaria	4/29/25	JBAWTQ01
teratosphaeriaceae.sp..1	GCA_049996275.1	Teratosphaeriaceae_sp.	Teratosphaeriaceae_sp.	Dothidiomycetes	Non-mycobiont lichen-associated	Umbillicaria	4/29/25	JBAWTS01
chaetothyriales.sp..1	GCA_049996355.1	Chaetothyriales_sp.	Chaetothyriales_sp.	Eurotiomycetes	Non-mycobiont lichen-associated	Umbillicaria	4/29/25	JBAWTW01
cladophialophora.endolichena.1	GCA_049996375.1	Cladophialophora_endolichena	Cladophialophora	Eurotiomycetes	Non-mycobiont lichen-associated	Umbillicaria	4/29/25	JBAWTX01
cladophialophora.sp..1	GCA_049996295.1	Cladophialophora_sp.	Cladophialophora	Eurotiomycetes	Non-mycobiont lichen-associated	Umbillicaria	4/29/25	JBAWTT01
cladophialophora.sp..2	GCA_049996315.1	Cladophialophora_sp.	Cladophialophora	Eurotiomycetes	Non-mycobiont lichen-associated	Umbillicaria	4/29/25	JBAWTU01
endocarpon.pusillum.1	GCA_000464535.1	Endocarpon_pusillum	Endocarpon	Eurotiomycetes	Lichen-forming	N/A	9/5/13	APWS01
endocarpon.pusillum.2	GCA_000611755.1	Endocarpon_pusillum	Endocarpon	Eurotiomycetes	Lichen-forming	N/A	4/2/14	JFDM01
endocarpon.pusillum.3	GCA_014607435.1	Endocarpon_pusillum	Endocarpon	Eurotiomycetes	Lichen-forming	N/A	9/16/20	JAACFV01
exophiala.sp..1	GCA_049996405.1	Exophiala_sp.	Exophiala	Eurotiomycetes	Non-mycobiont lichen-associated	Umbillicaria	4/29/25	JBAWTY01
melanina.sp..1	GCA_049996335.1	Melanina_sp.	Melanina	Eurotiomycetes	Non-mycobiont lichen-associated	Umbillicaria	4/29/25	JBAWTV01
melanina.sp..2	GCA_049996395.1	Melanina_sp.	Melanina	Eurotiomycetes	Non-mycobiont lichen-associated	Umbillicaria	4/29/25	JBAWTZ01
muellerella.sp..1	GCA_049996195.1	Muellerella_sp.	Muellerella	Eurotiomycetes	Non-mycobiont lichen-associated	Umbillicaria	4/29/25	JBAWTO01
paracladophialophora.sp..1	GCA_049996155.1	Paracladophialophora_sp.	Paracladophialophora	Eurotiomycetes	Non-mycobiont lichen-associated	Umbillicaria	4/29/25	JBAWTM01
acanthothecis.fontana.1	GCA_964256675.1	Acanthothecis_fontana	Acanthothecis	Lecanoromycetes	Lichen-forming	N/A	9/21/24	CAXVDH01
acarospora.socialis.1	GCA_025617375.2	Acarospora_socialis	Acarospora	Lecanoromycetes	Lichen-forming	N/A	3/31/23	JAMYGW02
acarospora.sp..1	GCA_964255005.1	Acarospora_sp.	Acarospora	Lecanoromycetes	Lichen-forming	N/A	9/21/24	CAXUUZ01
acarospora.strigata.1	GCA_022814355.1	Acarospora_strigata	Acarospora	Lecanoromycetes	Lichen-forming	N/A	4/4/22	JALDZA01
acarospora.strigata.2	GCA_964256185.1	Acarospora_strigata	Acarospora	Lecanoromycetes	Lichen-forming	N/A	9/21/24	CAXUZR01
agyrium.rufum.1	GCA_022814335.1	Agyrium_rufum	Agyrium	Lecanoromycetes	Lichen-forming	N/A	4/4/22	JALDZB01
alectoria.fallacina.1	GCA_905337325.1	Alectoria_fallacina	Alectoria	Lecanoromycetes	Lichen-forming	N/A	3/25/21	CAJPDR01
alectoria.fallacina.2	GCA_964255875.1	Alectoria_fallacina	Alectoria	Lecanoromycetes	Lichen-forming	N/A	9/21/24	CAXUZS01
alectoria.ochroleuca.1	GCA_964257205.1	Alectoria_ochroleuca	Alectoria	Lecanoromycetes	Lichen-forming	N/A	9/21/24	CAXVDO01
alectoria.sarmentosa.1	GCA_964255965.1	Alectoria_sarmentosa	Alectoria	Lecanoromycetes	Lichen-forming	N/A	9/21/24	CAXUYW01
alectoria.sarmentosa.2	GCA_009733775.1	Alectoria_sarmentosa	Alectoria	Lecanoromycetes	Lichen-forming	N/A	12/6/19	WOGZ01
