Orthogroup	Xanthoria_parietina_SAMEA115359166	Xanthoria_parietina_GTX0501
OG0000000	XANPARI20_006092-T1	XANPAGTX0501_005252-T1
OG0000000	XANPARI20_007787-T1	XANPAGTX0501_000926-T1
OG0000000	XANPARI20_004103-T1	XANPAGTX0501_010430-T1
OG0000000	XANPARI20_003355-T1	XANPAGTX0501_005935-T1
OG0000000	XANPARI20_006935-T1	XANPAGTX0501_004380-T1
OG0000001	XANPARI20_002582-T1, XANPARI20_005693-T1	XANPAGTX0501_001713-T1
OG0000001	XANPARI20_005800-T1	XANPAGTX0501_005585-T1
OG0000001	XANPARI20_005877-T1	XANPAGTX0501_005490-T1
OG0000002	XANPARI20_007334-T1	XANPAGTX0501_010464-T1
OG0000002	XANPARI20_001054-T1	XANPAGTX0501_004622-T1
OG0000002	XANPARI20_003186-T1	XANPAGTX0501_005742-T1
OG0000002	XANPARI20_008238-T1	XANPAGTX0501_008852-T1
OG0000002	XANPARI20_005003-T1	XANPAGTX0501_006319-T1
OG0000003	XANPARI20_003634-T1	XANPAGTX0501_006264-T1
OG0000003	XANPARI20_004872-T1	XANPAGTX0501_006467-T1
OG0000003	XANPARI20_002017-T1	XANPAGTX0501_003347-T1
OG0000003	XANPARI20_006275-T1, XANPARI20_000263-T1	XANPAGTX0501_009732-T1
OG0000004	XANPARI20_008858-T1	XANPAGTX0501_010016-T1, XANPAGTX0501_010016-T2
OG0000004	XANPARI20_001309-T1	XANPAGTX0501_003140-T1
OG0000004	XANPARI20_001699-T1	XANPAGTX0501_002692-T1
OG0000005	XANPARI20_005627-T1	XANPAGTX0501_007314-T2, XANPAGTX0501_007314-T1
OG0000005	XANPARI20_004109-T1	XANPAGTX0501_010425-T1
OG0000005	XANPARI20_006684-T1	XANPAGTX0501_000042-T1
OG0000006	XANPARI20_005998-T1	XANPAGTX0501_005346-T1
OG0000006	XANPARI20_004837-T1	XANPAGTX0501_006506-T1
OG0000006	XANPARI20_003021-T1	XANPAGTX0501_001214-T1
