>SBS000001 [organism=Pyricularia oryzae] [lineage=Fungi; Magnaporthales; Pyriculariaceae; Pyricularia] [location=CP034207.1:4887211.0-4979594.0] [assembly=GCA_004346965.1] [family=Arwing]
>SBS000003 [organism=Penicillium sp.] [lineage=Fungi; Eurotiales; Aspergillaceae; Penicillium] [location=JAASRZ010000050.1:1879560.0-1969731.0] [family=Galactica]
>SBS000004 [organism=Aspergillus pseudoterreus] [lineage=Fungi; Eurotiales; Aspergillaceae; Aspergillus] [location=scaffold112:490770.0-559856.0] [family=Enterprise]
>SBS000005 [organism=Alternaria consortialis] [lineage=Fungi; Pleosporales; Pleosporaceae; Alternaria] [location=BCGG01000003.1:1022776.0-1152266.0] [family=Voyager]
>SBS000006 [organism=Aspergillus fumigatus] [lineage=Fungi; Eurotiales; Aspergillaceae; Aspergillus] [location=JADLZR010000228.1:63364.0-112355.0] [family=Prometheus]
>SBS000007 [organism=Aspergillus niger] [lineage=Fungi; Eurotiales; Aspergillaceae; Aspergillus] [location=LLBX01000005.1:4704669.0-4743108.0] [family=Prometheus]
>SBS000008 [organism=Aspergillus nidulans] [lineage=Fungi; Eurotiales; Aspergillaceae; Aspergillus] [location=JAAFYL010000042.1:2248339.0-2309166.0] [family=Enterprise]
>SBS000009 [organism=Alternaria longipes] [lineage=Fungi; Pleosporales; Pleosporaceae; Alternaria] [location=CM032460.1:1618717.0-2006156.0] [family=Prometheus]
>SBS000010 [organism=Fusarium succisae] [lineage=Fungi; Hypocreales; Nectriaceae; Fusarium] [location=JAAOAW010000029.1:40625.0-114429.0] [family=Prometheus]
>SBS000011 [organism=Fusarium solani] [lineage=Fungi; Hypocreales; Nectriaceae; Fusarium] [location=WUYW01000005.1:2591027.0-2606210.0] [family=Phoenix]
>SBS000012 [organism=Fusarium fujikuroi] [lineage=Fungi; Hypocreales; Nectriaceae; Fusarium] [location=FMJU01000008.1:368994.0-455256.0] [family=Enterprise]
>SBS000013 [organism=Aspergillus niger] [lineage=Fungi; Eurotiales; Aspergillaceae; Aspergillus] [location=chr202:283494.0-399091.0] [family=Enterprise]
>SBS000014 [organism=Aspergillus glaucus] [lineage=Fungi; Eurotiales; Aspergillaceae; Aspergillus] [location=KV878902.1:682834.0-708644.0] [family=Tardis]
>SBS000015 [organism=Fusarium ussurianum] [lineage=Fungi; Hypocreales; Nectriaceae; Fusarium] [location=JAGDUN010000055.1:71217.0-89701.0] [family=Arwing]
>SBS000016 [organism=Chaetomium globosum] [lineage=Fungi; Sordariales; Chaetomiaceae; Chaetomium] [location=scaffold3:4791701.0-4809928.0] [assembly=GCF_020726465.1] [family=Serenity]
>SBS000017 [organism=Aspergillus novofumigatus] [lineage=Fungi; Eurotiales; Aspergillaceae; Aspergillus] [location=None:nan-nan] [family=Hephaestus]
>SBS000018 [organism=Aspergillus fischeri] [lineage=Fungi; Eurotiales; Aspergillaceae; Aspergillus] [location=WHVT01000034.1:87759.0-105014.0] [assembly=GCA_016748045.1] [family=Enterprise]
>SBS000019 [organism=Aspergillus terreus] [lineage=Fungi; Eurotiales; Aspergillaceae; Aspergillus] [location=JACVMK010000043.1:67318.0-87603.0] [family=Prometheus]
