TranscriptID	Sequence	Gene_Start	Gene_End	tyrID	navis	family_hit	tyr_Start	tyr_End	Distance	InterPro
XANPAOZ2100_002162-T1	OZ2100_30	306500	307018	XANPAOZ2100_002162-T1	navis0002	clade1	305825	307015	3	IPR021842 Protein of unknown function DUF3435
XANPAOZ2100_002163-T1	OZ2100_30	361238	362028	XANPAOZ2100_002162-T1	navis0002	clade1	305825	307015	54223	
XANPAOZ2100_002164-T1	OZ2100_30	362107	363397	XANPAOZ2100_002162-T1	navis0002	clade1	305825	307015	55092	IPR022198 Protein of unknown function DUF3723
XANPAOZ2100_002165-T1	OZ2100_30	363597	365731	XANPAOZ2100_002162-T1	navis0002	clade1	305825	307015	56582	IPR002641 Patatin-like phospholipase domain;IPR016035 Acyl transferase/acyl hydrolase/lysophospholipase
XANPAOZ2100_002166-T1	OZ2100_30	369244	370049	XANPAOZ2100_002162-T1	navis0002	clade1	305825	307015	62229	IPR013216 Methyltransferase type 11;IPR029063 S-adenosyl-L-methionine-dependent methyltransferase superfamily
XANPAOZ2100_002167-T1	OZ2100_30	370398	376212	XANPAOZ2100_002162-T1	navis0002	clade1	305825	307015	63383	IPR002110 Ankyrin repeat;IPR007111 NACHT nucleoside triphosphatase;IPR027417 P-loop containing nucleoside triphosphate hydrolase;IPR036770 Ankyrin repeat-containing domain superfamily
XANPAOZ2100_002168-T1	OZ2100_30	406900	409865	XANPAOZ2100_002162-T1	navis0002	clade1	305825	307015	99885	IPR003593 AAA+ ATPase domain;IPR003959 ATPase, AAA-type, core;IPR027417 P-loop containing nucleoside triphosphate hydrolase
XANPAOZ2100_003942-T1	OZ2100_32	1838538	1839537	XANPAOZ2100_003971-T1	navis0001	phoenixFam	1910251	1912801	71713	IPR001865 Ribosomal protein S2;IPR005707 Ribosomal protein S2, eukaryotic/archaeal;IPR018130 Ribosomal protein S2, conserved site;IPR023591 Ribosomal protein S2, flavodoxin-like domain superfamily;IPR027498 Ribosomal protein S2, eukaryotic;IPR032281 40S ribosomal protein SA, C-terminal domain
XANPAOZ2100_003943-T1	OZ2100_32	1839803	1840857	XANPAOZ2100_003971-T1	navis0001	phoenixFam	1910251	1912801	70448	IPR000589 Ribosomal protein S15;IPR005290 Ribosomal protein S15, bacterial-type;IPR009068 S15/NS1, RNA-binding
XANPAOZ2100_003944-T1	OZ2100_32	1841390	1845053	XANPAOZ2100_003971-T1	navis0001	phoenixFam	1910251	1912801	67748	
