geneID	repID_mmseqs90/80	repID_mmseqs50/80	familyID
aaoarx1_319010	aaoarx1_319010	aaoarx1_319010	fam10
aaoarx1_425506	aaoarx1_425506	altlon1_tyr172	fam05
aaoarx1_469047	aaoarx1_469047	lopmac1_KAF2650664.1	fam04
aaoarx1_475285	aaoarx1_475285	aaoarx1_475285	fam06
acastr1_121915	acastr1_121915	acastr1_121915	fam01
acastr1_tyr10	acastr1_tyr10	lachya1_TVY22339.1	fam05
acemac1_478033	acemac1_478033	acemac1_478033	fam06
acemac1_585016	acemac1_585016	acemac1_585016	fam06
acemac1_603113	acemac1_603113	zalvar1_538602	fam01
acemac1_608082	acemac1_608082	acemac1_707798	fam05
acemac1_636726_665509	acemac1_636726_665509	cadmal1_KAG4411212.1	n.d.
acemac1_681948	acemac1_681948	acemac1_681948	fam08
acemac1_707798	acemac1_707798	acemac1_707798	fam05
acemac1_715553	acemac1_715553	lacari1_TVY12806.1	fam05
acemac1_752179	acemac1_752179	melbic1_634125	fam01
acemac1_755078	acemac1_755078	lenflu1_KAF2676861.1	fam05
acemac1_755931	acemac1_755931	melbic1_634125	fam01
acemac1_787526	acemac1_787526	leosp.1_206943_730274	fam01
acemac1_tyr16	acemac1_tyr16	acemac1_707798	fam05
acemac1_tyr24	acemac1_tyr24	acemac1_tyr24	fam01
acemac1_tyr29	acemac1_tyr29	acemac1_707798	fam05
aciric2_130832	aciric2_130832	aciric2_130832	clade01
aciric2_139628	acisp.1_KXL45212.1	aspuda5_tyr3030	fam05
aciric2_2066	acisp.1_KXL50416.1	acisp.1_KXL50416.1	fam01
aciric2_7149	acisp.1_KXL50879.1	xylbam1_657765	fam09
acisp.1_KXL45212.1	acisp.1_KXL45212.1	aspuda5_tyr3030	fam05
acisp.1_KXL50416.1	acisp.1_KXL50416.1	acisp.1_KXL50416.1	clade01
acisp.1_KXL50879.1	acisp.1_KXL50879.1	xylbam1_657765	fam09
acrchr1_8099	acrchr1_8099	acrchr1_8099	fam01
acrchr1_tyr48	acrchr1_tyr48	acrchr1_tyr48	fam01
akalec1_OAA56922.1	leclec1_6749	leclec1_6749	fam01
akalec1_OAA57345.1	leclec1_6727	leclec1_6727	fam04
akalec1_OAA71705.1_OAA71706.1	leclec1_10243_10244	metmaj1_10173	n.d.
akalec1_OAA71748.1	leclec1_10286	leclec1_10286	fam09
akalec1_tyr51	leclec1_tyr7830	beabro1_tyr3291	fam01
alefal1_CAF9915422.1	alefal1_CAF9915422.1	alefal1_CAF9915422.1	fam06
altals1_tyr64	altals1_tyr64	lenflu1_KAF2676861.1	fam05
