genome1,genome2,chr1,chr2,blkID,startBp1,endBp1,startOrd1,endOrd1,firstGene1,lastGene1,nHits1,minBp2,maxBp2,minOrd2,maxOrd2,minGene2,maxGene2,nHits2,orient,startBp2,endBp2,startOrd2,endOrd2,firstGene2,lastGene2
Xanthoria_calcicola_GTX0491,Xanthoria_parietina_GTX0501,Xc_GTX0491_1,Xp_GTX0501_20,Xanthoria_parietina_GTX0501_vs_Xanthoria_calcicola_GTX0491: 3,2446397,2916971,713,840,0_705,0_830,105,1158,330849,9611,9749,1_9557,1_9693,105,+,1158,330849,9611,9749,1_9557,1_9693
Xanthoria_calcicola_GTX0491,Xanthoria_parietina_GTX0501,Xc_GTX0491_1,Xp_GTX0501_4,Xanthoria_parietina_GTX0501_vs_Xanthoria_calcicola_GTX0491: 2,54022,2465821,15,719,0_14,0_711,594,71684,1878232,2574,3323,1_2559,1_3304,594,+,71684,1878232,2574,3323,1_2559,1_3304
Xanthoria_calcicola_GTX0491,Xanthoria_parietina_GTX0501,Xc_GTX0491_1,Xp_GTX0501_7,Xanthoria_parietina_GTX0501_vs_Xanthoria_calcicola_GTX0491: 4,2917491,4640737,841,1446,0_831,0_1428,527,2290,1554405,4699,5344,1_4668,1_5308,527,+,2290,1554405,4699,5344,1_4668,1_5308
Xanthoria_calcicola_GTX0491,Xanthoria_parietina_GTX0501,Xc_GTX0491_10,Xp_GTX0501_17,Xanthoria_parietina_GTX0501_vs_Xanthoria_calcicola_GTX0491: 27,1011370,1658065,7969,8118,0_7892,0_8040,131,16807,459780,9088,9257,1_9035,1_9203,131,+,16807,459780,9088,9257,1_9035,1_9203
Xanthoria_calcicola_GTX0491,Xanthoria_parietina_GTX0501,Xc_GTX0491_11,Xp_GTX0501_9,Xanthoria_parietina_GTX0501_vs_Xanthoria_calcicola_GTX0491: 30,181076,242303,8226,8262,0_8148,0_8183,30,1417598,1481236,6502,6536,1_6460,1_6493,30,+,1417598,1481236,6502,6536,1_6460,1_6493
Xanthoria_calcicola_GTX0491,Xanthoria_parietina_GTX0501,Xc_GTX0491_12,Xp_GTX0501_35,Xanthoria_parietina_GTX0501_vs_Xanthoria_calcicola_GTX0491: 37,1549133,1615275,9205,9229,0_9122,0_9146,21,3658,74145,10840,10867,1_10779,1_10806,21,+,3658,74145,10840,10867,1_10779,1_10806
Xanthoria_calcicola_GTX0491,Xanthoria_parietina_GTX0501,Xc_GTX0491_13,Xp_GTX0501_19,Xanthoria_parietina_GTX0501_vs_Xanthoria_calcicola_GTX0491: 41,1033541,1494545,9552,9686,0_9468,0_9602,122,721,371384,9445,9608,1_9391,1_9554,122,+,721,371384,9445,9608,1_9391,1_9554
Xanthoria_calcicola_GTX0491,Xanthoria_parietina_GTX0501,Xc_GTX0491_13,Xp_GTX0501_28,Xanthoria_parietina_GTX0501_vs_Xanthoria_calcicola_GTX0491: 40,692209,943915,9468,9551,0_9384,0_9467,70,490,202810,10445,10531,1_10386,1_10472,70,+,490,202810,10445,10531,1_10386,1_10472
Xanthoria_calcicola_GTX0491,Xanthoria_parietina_GTX0501,Xc_GTX0491_14,Xp_GTX0501_22,Xanthoria_parietina_GTX0501_vs_Xanthoria_calcicola_GTX0491: 43,691695,1017096,9853,9962,0_9768,0_9877,102,12206,300794,9889,10009,1_9832,1_9952,102,+,12206,300794,9889,10009,1_9832,1_9952
Xanthoria_calcicola_GTX0491,Xanthoria_parietina_GTX0501,Xc_GTX0491_14,Xp_GTX0501_24,Xanthoria_parietina_GTX0501_vs_Xanthoria_calcicola_GTX0491: 42,36840,328735,9697,9781,0_9613,0_9696,65,1366,269941,10098,10190,1_10041,1_10133,65,+,1366,269941,10098,10190,1_10041,1_10133
