Orthogroup	Species Tree Node	Gene Tree Node	Support	Type	Genes 1	Genes 2
OG0000000	N0	n0	1.0	Non-Terminal	XANPAGTX0501_005252-T1, XANPAOZ2100_004846-T1, XANPARI20_006092-T1, XANCAGTX0491_004828-T1	XANPARI20_003888-T1, XANCAGTX0491_005450-T1, XANPAOZ2100_004643-T1, XANPAOZ2100_002750-T1, XANPAGTX0501_003177-T1, XANCAGTX0491_006784-T1, XANPAOZ2100_001258-T1, XANPARI20_007787-T1, XANPAGTX0501_000926-T1, XANCAGTX0491_002501-T1, XANPAOZ2100_007161-T1, XANCAGTX0491_006655-T1, XANPAOZ2100_005621-T1, XANCAGTX0491_008830-T1, XANPAGTX0501_010430-T1, XANPARI20_004103-T1, XANPAOZ2100_005622-T1, XANPAOZ2100_007168-T1, XANPAGTX0501_005935-T1, XANPAOZ2100_007354-T1, XANPARI20_003355-T1, XANPAGTX0501_005070-T1, XANPAOZ2100_000020-T1, XANPARI20_006272-T1, XANPAOZ2100_004668-T1, XANCAGTX0491_006768-T1, XANPAGTX0501_003194-T1, XANPAOZ2100_002767-T1, XANPAOZ2100_004006-T1, XANPAOZ2100_005743-T1, XANPARI20_006935-T1, XANPAGTX0501_004380-T1, XANPAOZ2100_004642-T1
OG0000000	N0	n4	0.25	Non-Terminal	XANPARI20_003888-T1	XANCAGTX0491_005450-T1, XANPAOZ2100_004643-T1, XANPAOZ2100_002750-T1, XANPAGTX0501_003177-T1, XANCAGTX0491_006784-T1, XANPAOZ2100_001258-T1, XANPARI20_007787-T1, XANPAGTX0501_000926-T1, XANCAGTX0491_002501-T1, XANPAOZ2100_007161-T1, XANCAGTX0491_006655-T1, XANPAOZ2100_005621-T1, XANCAGTX0491_008830-T1, XANPAGTX0501_010430-T1, XANPARI20_004103-T1, XANPAOZ2100_005622-T1, XANPAOZ2100_007168-T1, XANPAGTX0501_005935-T1, XANPAOZ2100_007354-T1, XANPARI20_003355-T1, XANPAGTX0501_005070-T1, XANPAOZ2100_000020-T1, XANPARI20_006272-T1, XANPAOZ2100_004668-T1, XANCAGTX0491_006768-T1, XANPAGTX0501_003194-T1, XANPAOZ2100_002767-T1, XANPAOZ2100_004006-T1, XANPAOZ2100_005743-T1, XANPARI20_006935-T1, XANPAGTX0501_004380-T1, XANPAOZ2100_004642-T1
OG0000000	N0	n5	0.25	Non-Terminal	XANCAGTX0491_005450-T1	XANPAOZ2100_004643-T1, XANPAOZ2100_002750-T1, XANPAGTX0501_003177-T1, XANCAGTX0491_006784-T1, XANPAOZ2100_001258-T1, XANPARI20_007787-T1, XANPAGTX0501_000926-T1, XANCAGTX0491_002501-T1, XANPAOZ2100_007161-T1, XANCAGTX0491_006655-T1, XANPAOZ2100_005621-T1, XANCAGTX0491_008830-T1, XANPAGTX0501_010430-T1, XANPARI20_004103-T1, XANPAOZ2100_005622-T1, XANPAOZ2100_007168-T1, XANPAGTX0501_005935-T1, XANPAOZ2100_007354-T1, XANPARI20_003355-T1, XANPAGTX0501_005070-T1, XANPAOZ2100_000020-T1, XANPARI20_006272-T1, XANPAOZ2100_004668-T1, XANCAGTX0491_006768-T1, XANPAGTX0501_003194-T1, XANPAOZ2100_002767-T1, XANPAOZ2100_004006-T1, XANPAOZ2100_005743-T1, XANPARI20_006935-T1, XANPAGTX0501_004380-T1, XANPAOZ2100_004642-T1
OG0000000	N0	n6	1.0	Non-Terminal	XANPAOZ2100_004643-T1, XANPAOZ2100_002750-T1, XANPAGTX0501_003177-T1, XANCAGTX0491_006784-T1, XANPAOZ2100_001258-T1, XANPARI20_007787-T1, XANPAGTX0501_000926-T1, XANCAGTX0491_002501-T1, XANPAOZ2100_007161-T1, XANCAGTX0491_006655-T1	XANPAOZ2100_005621-T1, XANCAGTX0491_008830-T1, XANPAGTX0501_010430-T1, XANPARI20_004103-T1, XANPAOZ2100_005622-T1, XANPAOZ2100_007168-T1, XANPAGTX0501_005935-T1, XANPAOZ2100_007354-T1, XANPARI20_003355-T1, XANPAGTX0501_005070-T1, XANPAOZ2100_000020-T1, XANPARI20_006272-T1, XANPAOZ2100_004668-T1, XANCAGTX0491_006768-T1, XANPAGTX0501_003194-T1, XANPAOZ2100_002767-T1, XANPAOZ2100_004006-T1, XANPAOZ2100_005743-T1, XANPARI20_006935-T1, XANPAGTX0501_004380-T1, XANPAOZ2100_004642-T1
OG0000000	N0	n7	0.5	Non-Terminal	XANPAOZ2100_004643-T1, XANPAOZ2100_002750-T1, XANPAGTX0501_003177-T1, XANCAGTX0491_006784-T1, XANPAOZ2100_001258-T1, XANPARI20_007787-T1, XANPAGTX0501_000926-T1, XANCAGTX0491_002501-T1	XANPAOZ2100_007161-T1, XANCAGTX0491_006655-T1
OG0000000	N0	n8	0.25	Non-Terminal	XANPAOZ2100_004643-T1	XANPAOZ2100_002750-T1, XANPAGTX0501_003177-T1, XANCAGTX0491_006784-T1, XANPAOZ2100_001258-T1, XANPARI20_007787-T1, XANPAGTX0501_000926-T1, XANCAGTX0491_002501-T1
OG0000000	N0	n9	0.75	Non-Terminal	XANPAOZ2100_002750-T1, XANPAGTX0501_003177-T1, XANCAGTX0491_006784-T1	XANPAOZ2100_001258-T1, XANPARI20_007787-T1, XANPAGTX0501_000926-T1, XANCAGTX0491_002501-T1
OG0000000	N0	n16	1.0	Non-Terminal	XANPAOZ2100_005621-T1, XANCAGTX0491_008830-T1, XANPAGTX0501_010430-T1, XANPARI20_004103-T1, XANPAOZ2100_005622-T1, XANPAOZ2100_007168-T1	XANPAGTX0501_005935-T1, XANPAOZ2100_007354-T1, XANPARI20_003355-T1, XANPAGTX0501_005070-T1, XANPAOZ2100_000020-T1, XANPARI20_006272-T1, XANPAOZ2100_004668-T1, XANCAGTX0491_006768-T1, XANPAGTX0501_003194-T1, XANPAOZ2100_002767-T1, XANPAOZ2100_004006-T1, XANPAOZ2100_005743-T1, XANPARI20_006935-T1, XANPAGTX0501_004380-T1, XANPAOZ2100_004642-T1
OG0000000	N0	n17	0.25	Non-Terminal	XANPAOZ2100_005621-T1, XANCAGTX0491_008830-T1, XANPAGTX0501_010430-T1, XANPARI20_004103-T1, XANPAOZ2100_005622-T1	XANPAOZ2100_007168-T1
OG0000000	N0	n18	0.25	Non-Terminal	XANPAOZ2100_005621-T1, XANCAGTX0491_008830-T1	XANPAGTX0501_010430-T1, XANPARI20_004103-T1, XANPAOZ2100_005622-T1
