HOG	OG	Gene Tree Parent Clade	Xanthoria_calcicola_GTX0491	Xanthoria_parietina_GTX0501	Xanthoria_parietina_SAMEA111342678	Xanthoria_parietina_SAMEA115359166
N2.HOG0000000	OG0000000	n1	XANCAGTX0491_004828-T1	XANPAGTX0501_005252-T1		
N2.HOG0000001	OG0000000	n10	XANCAGTX0491_006784-T1	XANPAGTX0501_003177-T1		
N2.HOG0000002	OG0000000	n12	XANCAGTX0491_002501-T1	XANPAGTX0501_000926-T1		
N2.HOG0000003	OG0000000	n15	XANCAGTX0491_006655-T1			
N2.HOG0000004	OG0000000	n19	XANCAGTX0491_008830-T1			
N2.HOG0000005	OG0000000	n20		XANPAGTX0501_010430-T1		
N2.HOG0000006	OG0000000	n23		XANPAGTX0501_005935-T1		
N2.HOG0000007	OG0000000	n26		XANPAGTX0501_005070-T1		
N2.HOG0000008	OG0000000	n30	XANCAGTX0491_006768-T1	XANPAGTX0501_003194-T1		
N2.HOG0000009	OG0000000	n32		XANPAGTX0501_004380-T1		
N2.HOG0000010	OG0000001	n1	XANCAGTX0491_001389-T1	XANPAGTX0501_001713-T1		
N2.HOG0000011	OG0000001	n7	XANCAGTX0491_006095-T1			
N2.HOG0000012	OG0000001	n10	XANCAGTX0491_005583-T1	XANPAGTX0501_005585-T1		
N2.HOG0000013	OG0000001	n13	XANCAGTX0491_005665-T1	XANPAGTX0501_005490-T1		
N2.HOG0000014	OG0000001	n17	XANCAGTX0491_007841-T1	XANPAGTX0501_009609-T1		
N2.HOG0000015	OG0000001	n19	XANCAGTX0491_006779-T1	XANPAGTX0501_003182-T1		
N2.HOG0000016	OG0000002	n1	XANCAGTX0491_004802-T1	XANPAGTX0501_010464-T1		
N2.HOG0000017	OG0000002	n7	XANCAGTX0491_000938-T1	XANPAGTX0501_004622-T1		
N2.HOG0000018	OG0000002	n10	XANCAGTX0491_008354-T1	XANPAGTX0501_005742-T1		
N2.HOG0000019	OG0000002	n13	XANCAGTX0491_007749-T1	XANPAGTX0501_008852-T1		
N2.HOG0000020	OG0000002	n16	XANCAGTX0491_007322-T1, XANCAGTX0491_007322-T2	XANPAGTX0501_006319-T1		
N2.HOG0000021	OG0000003	n1	XANCAGTX0491_007861-T1	XANPAGTX0501_006264-T1		
N2.HOG0000022	OG0000003	n5	XANCAGTX0491_007178-T1	XANPAGTX0501_006467-T1		
N2.HOG0000023	OG0000003	n10	XANCAGTX0491_006619-T1	XANPAGTX0501_003347-T1		
N2.HOG0000024	OG0000003	n15	XANCAGTX0491_006062-T1			
N2.HOG0000025	OG0000003	n17	XANCAGTX0491_009324-T1			
N2.HOG0000026	OG0000004	n1	XANCAGTX0491_009977-T1	XANPAGTX0501_010016-T1, XANPAGTX0501_010016-T2		
N2.HOG0000027	OG0000004	n7	XANCAGTX0491_000662-T1	XANPAGTX0501_003140-T1		
N2.HOG0000028	OG0000004	n10	XANCAGTX0491_004132-T1	XANPAGTX0501_010327-T1		
N2.HOG0000029	OG0000004	n14	XANCAGTX0491_004805-T1	XANPAGTX0501_010458-T1		
N2.HOG0000030	OG0000004	n15	XANCAGTX0491_000238-T1	XANPAGTX0501_002692-T1		
N2.HOG0000031	OG0000005	n1	XANCAGTX0491_004176-T3	XANPAGTX0501_007314-T2, XANPAGTX0501_007314-T1		
N2.HOG0000032	OG0000005	n6	XANCAGTX0491_004176-T1, XANCAGTX0491_004176-T2			
N2.HOG0000033	OG0000005	n8	XANCAGTX0491_006777-T1	XANPAGTX0501_003184-T1		
N2.HOG0000034	OG0000005	n11	XANCAGTX0491_008825-T1	XANPAGTX0501_010425-T1		
N2.HOG0000035	OG0000005	n14	XANCAGTX0491_009334-T1, XANCAGTX0491_003310-T1	XANPAGTX0501_000042-T1		
N2.HOG0000036	OG0000006	n1	XANCAGTX0491_005799-T1	XANPAGTX0501_005346-T1		
N2.HOG0000037	OG0000006	n5		XANPAGTX0501_005346-T3, XANPAGTX0501_005346-T2		
N2.HOG0000038	OG0000006	n8	XANCAGTX0491_007143-T1	XANPAGTX0501_006506-T1		
N2.HOG0000039	OG0000006	n11	XANCAGTX0491_001870-T1	XANPAGTX0501_001214-T1		
N2.HOG0000040	OG0000006	n14	XANCAGTX0491_001080-T1	XANPAGTX0501_004771-T1		
N2.HOG0000041	OG0000007	n1	XANCAGTX0491_007444-T1	XANPAGTX0501_007881-T1		
N2.HOG0000042	OG0000007	n5	XANCAGTX0491_001034-T1	XANPAGTX0501_004725-T1		
N2.HOG0000043	OG0000007	n9	XANCAGTX0491_007747-T1	XANPAGTX0501_008850-T1		
N2.HOG0000044	OG0000007	n12	XANCAGTX0491_004172-T1	XANPAGTX0501_007302-T1		
N2.HOG0000045	OG0000008	n1	XANCAGTX0491_003093-T1	XANPAGTX0501_000281-T1		
