"Name","Start","End","Size","Count Of Windows","Product","Substrate","Composite","GC Content"
"scaffold_2",1499500,1572500,73000,145,1.73,0.26,1.47,39.39
"scaffold_2",1780500,1785000,4500,8,1.63,0.56,1.07,46.67
"scaffold_2",1877000,1889000,12000,23,1.7,0.38,1.32,43.42
"scaffold_2",1889000,1899000,10000,19,1.58,0.45,1.13,40.67
"scaffold_2",1906000,1914000,8000,15,1.7,0.37,1.33,42.01
"scaffold_2",1915500,1921000,5500,10,1.57,0.45,1.13,38.71
"scaffold_2",1938000,1945000,7000,13,1.61,0.43,1.17,43.23
"scaffold_2",1985000,1998000,13000,25,1.63,0.46,1.17,43.16
"scaffold_2",2003000,2011000,8000,15,1.52,0.49,1.03,38.62
"scaffold_2",2029500,2034500,5000,9,1.58,0.47,1.11,42.2
"scaffold_2",2187000,2200000,13000,25,1.66,0.22,1.43,37.04
"scaffold_2",2204500,2209500,5000,9,1.45,0.45,1,37.46
"scaffold_2",3017000,3024000,7000,13,1.58,0.32,1.26,38.56
"scaffold_2",3028000,3033500,5500,10,1.64,0.29,1.35,39.35
"scaffold_2",3040500,3067500,27000,53,1.63,0.28,1.35,37.15
"scaffold_2",3067500,3076000,8500,16,1.54,0.39,1.15,37.71
"scaffold_2",3078000,3122000,44000,87,1.73,0.22,1.51,39.14
"scaffold_2",3124500,3129000,4500,8,1.41,0.41,1.01,35.93
"scaffold_2",3137500,3143000,5500,10,1.69,0.4,1.29,42.6
"scaffold_2",3146000,3193000,47000,93,1.62,0.34,1.28,39.74
"scaffold_2",3193500,3211000,17500,34,1.65,0.3,1.35,39.1
"scaffold_2",3855500,3864000,8500,16,1.66,0.33,1.33,37.66
"scaffold_2",3867500,3899500,32000,63,1.62,0.31,1.31,37.25
"scaffold_2",3903500,3909500,6000,11,1.28,0.53,0.75,44.02
"scaffold_2",3910500,3940000,29500,58,1.61,0.38,1.23,39.19
"scaffold_1",427500,468500,41000,81,1.68,0.31,1.37,39.97
"scaffold_1",473000,510500,37500,74,1.76,0.26,1.5,41.01
"scaffold_1",521000,526500,5500,10,1.7,0.3,1.4,42.73
"scaffold_1",526500,541500,15000,29,1.82,0.28,1.54,42.09
"scaffold_1",544000,551500,7500,14,1.57,0.39,1.19,40.11
"scaffold_1",551500,563500,12000,23,1.68,0.29,1.39,40.37
"scaffold_1",579500,587500,8000,15,1.75,0.24,1.51,39.14
"scaffold_1",962000,967500,5500,10,1.64,0.43,1.2,40.87
"scaffold_1",967500,977500,10000,19,1.6,0.43,1.16,42
"scaffold_1",984000,1002000,18000,35,1.68,0.31,1.37,40.51
"scaffold_1",1114500,1126500,12000,23,1.56,0.34,1.22,38.96
"scaffold_1",1332500,1350500,18000,35,1.62,0.32,1.3,40.62
"scaffold_1",2199500,2204500,5000,9,1.57,0.42,1.15,39.88
"scaffold_1",2209000,2218500,9500,18,1.75,0.3,1.45,42
"scaffold_1",2223000,2233500,10500,20,1.55,0.43,1.12,41.3
"scaffold_1",2233500,2244500,11000,21,1.62,0.42,1.2,39.42
"scaffold_1",3005000,3016000,11000,21,1.67,0.25,1.43,38.54
"scaffold_1",4456000,4508000,52000,103,1.7,0.25,1.44,38.85
"scaffold_1",5596500,5604000,7500,14,1.56,0.38,1.18,42.67
"scaffold_1",5606500,5613000,6500,12,1.69,0.33,1.36,41.28
"scaffold_1",5638000,5643000,5000,9,1.77,0.32,1.46,41.72
"scaffold_3",7000,11500,4500,8,1.45,0.48,0.98,41.96
"scaffold_3",87000,97000,10000,19,1.67,0.32,1.35,39.87
"scaffold_3",872500,879000,6500,12,1.6,0.29,1.31,37.25
"scaffold_3",879000,917000,38000,75,1.63,0.32,1.3,39.37
"scaffold_3",917500,925000,7500,14,1.56,0.32,1.24,39.57
"scaffold_3",934000,942000,8000,15,1.55,0.4,1.15,39.7
"scaffold_3",942500,987500,45000,89,1.71,0.28,1.44,39.72
"scaffold_3",1621500,1637500,16000,31,1.56,0.39,1.17,41.44
"scaffold_3",2267500,2273500,6000,11,1.63,0.25,1.38,38.33
"scaffold_3",2275000,2288000,13000,25,1.67,0.34,1.33,39.82
"scaffold_3",2296500,2308000,11500,22,1.77,0.29,1.49,40.88
"scaffold_3",2308000,2316000,8000,15,1.59,0.28,1.3,36.95
"scaffold_3",2531500,2617500,86000,171,1.71,0.23,1.49,37.97
"scaffold_3",2617500,2630000,12500,24,1.64,0.32,1.32,37.87
"scaffold_3",2960000,2967500,7500,14,1.65,0.43,1.22,42.33
"scaffold_3",2972500,2980000,7500,14,1.6,0.44,1.16,40.68
"scaffold_3",2981500,2987500,6000,11,1.84,0.32,1.52,43.73
"scaffold_3",2987500,3008000,20500,40,1.61,0.35,1.26,38.91
"scaffold_5",164000,169000,5000,9,1.69,0.43,1.26,43.76
"scaffold_5",174500,192000,17500,34,1.67,0.33,1.34,40.19
"scaffold_5",197000,205500,8500,16,1.63,0.42,1.21,41.92
"scaffold_5",211500,261500,50000,99,1.69,0.33,1.36,40.92
"scaffold_5",883000,900000,17000,33,1.58,0.39,1.19,41.2
"scaffold_5",900000,915000,15000,29,1.62,0.28,1.34,37.95
"scaffold_5",926500,932500,6000,11,1.59,0.43,1.16,40.4
"scaffold_5",936500,961000,24500,48,1.69,0.26,1.43,38.79
"scaffold_5",965500,983500,18000,35,1.71,0.21,1.5,36.85
"scaffold_5",987500,1010000,22500,44,1.66,0.29,1.36,38.92
"scaffold_5",1031500,1039500,8000,15,1.6,0.43,1.17,40.45
"scaffold_5",1045000,1075000,30000,59,1.59,0.35,1.24,39.32
"scaffold_5",1097500,1102000,4500,8,1.65,0.29,1.36,38.42
"scaffold_5",1105000,1152500,47500,94,1.68,0.28,1.4,40.65
"scaffold_5",1152500,1162500,10000,19,1.53,0.44,1.09,39.45
"scaffold_5",1168000,1180500,12500,24,1.52,0.4,1.13,39.28
"scaffold_5",2125500,2146000,20500,40,1.57,0.43,1.14,42.32
"scaffold_5",2146000,2151500,5500,10,1.5,0.55,0.96,43.35
"scaffold_5",2154500,2163500,9000,17,1.62,0.4,1.21,41.52
"scaffold_4",27000,33500,6500,12,1.57,0.58,0.99,44.78
