Orthogroup	Xanthoria_parietina_GTX0501	Xanthoria_parietina_SAMEA115359166
OG0000000	XANPAGTX0501_005252-T1	XANPARI20_006092-T1
OG0000000	XANPAGTX0501_000926-T1	XANPARI20_007787-T1
OG0000000	XANPAGTX0501_010430-T1	XANPARI20_004103-T1
OG0000000	XANPAGTX0501_005935-T1	XANPARI20_003355-T1
OG0000000	XANPAGTX0501_004380-T1	XANPARI20_006935-T1
OG0000001	XANPAGTX0501_001713-T1	XANPARI20_002582-T1, XANPARI20_005693-T1
OG0000001	XANPAGTX0501_005585-T1	XANPARI20_005800-T1
OG0000001	XANPAGTX0501_005490-T1	XANPARI20_005877-T1
OG0000002	XANPAGTX0501_010464-T1	XANPARI20_007334-T1
OG0000002	XANPAGTX0501_004622-T1	XANPARI20_001054-T1
OG0000002	XANPAGTX0501_005742-T1	XANPARI20_003186-T1
OG0000002	XANPAGTX0501_008852-T1	XANPARI20_008238-T1
OG0000002	XANPAGTX0501_006319-T1	XANPARI20_005003-T1
OG0000003	XANPAGTX0501_006264-T1	XANPARI20_003634-T1
OG0000003	XANPAGTX0501_006467-T1	XANPARI20_004872-T1
OG0000003	XANPAGTX0501_003347-T1	XANPARI20_002017-T1
OG0000003	XANPAGTX0501_009732-T1	XANPARI20_006275-T1, XANPARI20_000263-T1
OG0000004	XANPAGTX0501_010016-T1, XANPAGTX0501_010016-T2	XANPARI20_008858-T1
OG0000004	XANPAGTX0501_003140-T1	XANPARI20_001309-T1
OG0000004	XANPAGTX0501_002692-T1	XANPARI20_001699-T1
OG0000005	XANPAGTX0501_007314-T2, XANPAGTX0501_007314-T1	XANPARI20_005627-T1
OG0000005	XANPAGTX0501_010425-T1	XANPARI20_004109-T1
OG0000005	XANPAGTX0501_000042-T1	XANPARI20_006684-T1
OG0000006	XANPAGTX0501_005346-T1	XANPARI20_005998-T1
OG0000006	XANPAGTX0501_006506-T1	XANPARI20_004837-T1
OG0000006	XANPAGTX0501_001214-T1	XANPARI20_003021-T1
OG0000006	XANPAGTX0501_004771-T1	XANPARI20_000919-T1
OG0000007	XANPAGTX0501_007881-T1	XANPARI20_008530-T1
OG0000007	XANPAGTX0501_004725-T1	XANPARI20_000964-T1
OG0000007	XANPAGTX0501_008850-T1	XANPARI20_008240-T1
OG0000007	XANPAGTX0501_007302-T1	XANPARI20_005636-T1
OG0000008	XANPAGTX0501_000281-T1	XANPARI20_006475-T1
OG0000008	XANPAGTX0501_004383-T1	XANPARI20_006932-T1
OG0000008	XANPAGTX0501_005295-T1	XANPARI20_006038-T1
OG0000009	XANPAGTX0501_002775-T1, XANPAGTX0501_002774-T1	XANPARI20_001633-T1
OG0000009	XANPAGTX0501_007323-T1	XANPARI20_005616-T1
OG0000009	XANPAGTX0501_009737-T1	XANPARI20_000258-T1
OG0000010	XANPAGTX0501_000598-T1	XANPARI20_008062-T1
OG0000010	XANPAGTX0501_003236-T1	XANPARI20_001919-T1
OG0000010	XANPAGTX0501_009037-T1	XANPARI20_004468-T1
OG0000011	XANPAGTX0501_004366-T1	XANPARI20_006947-T1
OG0000011	XANPAGTX0501_004057-T1	XANPARI20_007214-T1
OG0000011	XANPAGTX0501_007636-T1	XANPARI20_005348-T1
OG0000012	XANPAGTX0501_007975-T1	XANPARI20_005761-T1
OG0000012	XANPAGTX0501_003384-T1	XANPARI20_002047-T1
OG0000012	XANPAGTX0501_010130-T1	XANPARI20_004163-T1
OG0000013	XANPAGTX0501_002582-T1	XANPARI20_001794-T1
OG0000013	XANPAGTX0501_008442-T1	XANPARI20_008992-T1
OG0000014	XANPAGTX0501_007526-T1	XANPARI20_005445-T1
OG0000014	XANPAGTX0501_006851-T1	XANPARI20_007755-T1
OG0000014	XANPAGTX0501_004489-T1	XANPARI20_001168-T1
OG0000015	XANPAGTX0501_000444-T1	XANPARI20_006320-T1, XANPARI20_008195-T1
OG0000015	XANPAGTX0501_008866-T1	XANPARI20_008227-T1
OG0000015	XANPAGTX0501_008378-T1	XANPARI20_009055-T1
OG0000016	XANPAGTX0501_002418-T1	XANPARI20_000703-T1
