geneID	familyID	length
HEPHAESTUS_Pvar-Captain	fam02	896
Starship-1_Afel-Captain	fam02	920
Starship-1_Afum-Captain	fam02	812
aspnig10_tyr2036	fam02	615
aspgla1_OJJ83717.1	fam02	627
aspsyd2_tyr2767	fam02	378
Starship-1_Tmar-Captain	fam02	808
talver1_KUL81284.1	fam02	501
talisl1_2669	fam02	565
blader3_11177	fam02	490
lizemp1_186564	fam04	477
pletra1_KAF2844130.1	fam04	547
didker1_KAF3049100.1	fam04	509
amnlig1_424037	fam04	341
polfus1_599705	fam04	443
moncan1_RYO85021.1	fam04	293
cengeo1_542205	fam04	423
cengeo1_tyr3818	fam04	307
cengeo1_591310	fam04	299
leppal1_OCK79459.1	fam04	639
leppal1_tyr7885	fam04	424
cloaqu1_tyr4087	fam04	308
polfus1_606100	fam04	671
claban1_134700	fam04	757
cadmal1_KAG4411212.1	fam04	648
sclcep1_KAF7866863.1	fam04	391
sclcep1_KAF7870603.1	fam04	421
psesp.14_KFY31966.1	fam04	458
psesp.14_tyr9380	fam04	290
stacha2_KFA51963.1	fam04	247
plecuc2_353822	fam04	556
verdah2_tyr10676	fam04	626
monsp.2_RYP32009.1	fam04	406
madmyc1_9294	fam04	688
fussub5_tyr6719	fam04	325
hirrho1_KAH0968669.1	fam04	458
neodit1_2170	fam04	402
madmyc1_9889	fam04	459
micbol1_109359	fam04	623
helsp.4_KAE8442194.1	fam04	635
Phoenix_Mpha_mp053-Captain	fam01	516
chasp.7_RMZ87469.1	fam01	501
exooli1_134015	fam01	712
rhimac1_8905	fam01	519
beabas1_10225	fam01	377
metrob3_tyr8212	fam01	455
toloph1_tyr10453	fam01	400
ilysp.2_681009	fam01	405
podcom1_tyr9194	fam01	506
aspasp2_tyr552	fam01	383
penrub2_KAF3021169.1	fam01	751
zalvar1_685428	fam01	602
neopar1_6999	fam01	228
psesp.15_KFY65136.1	fam01	844
scylig1_RFU28318.1	fam01	714
monlax1_KAB8302114.1	fam01	417
monfru1_KAA8574662.1	fam01	454
hirmin1_5623	fam01	782
metani1_5588	fam01	539
metrob3_EFZ00634.1	fam01	553
stachl1_3593	fam01	310
phamin1_EOO01307.1	fam01	595
fuscir3_tyr5364	fam01	567
fusxyl4_KAG5801712.1	fam01	522
fusoxy42_ENH71189.1	fam01	776
fuscom2_tyr5400	fam01	496
coltof2_tyr4412	fam01	352
