genome1,genome2,chr1,chr2,blkID,startBp1,endBp1,startOrd1,endOrd1,firstGene1,lastGene1,nHits1,minBp2,maxBp2,minOrd2,maxOrd2,minGene2,maxGene2,nHits2,orient,startBp2,endBp2,startOrd2,endOrd2,firstGene2,lastGene2,refChr,refGenome
Xanthoria_calcicola_GTX0491,Xanthoria_parietina_GTX0501,Xc_GTX0491_1,Xp_GTX0501_20,Xanthoria_parietina_GTX0501_vs_Xanthoria_calcicola_GTX0491: 22_1,2446397,2916971,713,840,0_705,0_830,105,1158,330849,9611,9749,1_9557,1_9693,105,+,1158,330849,9611,9749,1_9557,1_9693,Xp_GTX0501_20,Xanthoria_parietina_GTX0501
Xanthoria_calcicola_GTX0491,Xanthoria_parietina_GTX0501,Xc_GTX0491_1,Xp_GTX0501_4,Xanthoria_parietina_GTX0501_vs_Xanthoria_calcicola_GTX0491: 4_1,27552,2465821,5,719,0_4,0_711,602,47021,1878232,2564,3323,1_2549,1_3304,602,+,47021,1878232,2564,3323,1_2549,1_3304,Xp_GTX0501_4,Xanthoria_parietina_GTX0501
Xanthoria_calcicola_GTX0491,Xanthoria_parietina_GTX0501,Xc_GTX0491_1,Xp_GTX0501_7,Xanthoria_parietina_GTX0501_vs_Xanthoria_calcicola_GTX0491: 7_1,2917491,4640737,841,1446,0_831,0_1428,527,2290,1554405,4699,5344,1_4668,1_5308,527,+,2290,1554405,4699,5344,1_4668,1_5308,Xp_GTX0501_7,Xanthoria_parietina_GTX0501
Xanthoria_calcicola_GTX0491,Xanthoria_parietina_GTX0501,Xc_GTX0491_10,Xp_GTX0501_17,Xanthoria_parietina_GTX0501_vs_Xanthoria_calcicola_GTX0491: 19_1,1011370,1658065,7969,8118,0_7892,0_8040,131,16807,459780,9088,9257,1_9035,1_9203,131,+,16807,459780,9088,9257,1_9035,1_9203,Xp_GTX0501_17,Xanthoria_parietina_GTX0501
Xanthoria_calcicola_GTX0491,Xanthoria_parietina_GTX0501,Xc_GTX0491_11,Xp_GTX0501_9,Xanthoria_parietina_GTX0501_vs_Xanthoria_calcicola_GTX0491: 10_1,181076,242303,8226,8262,0_8148,0_8183,30,1417598,1481236,6502,6536,1_6460,1_6493,30,+,1417598,1481236,6502,6536,1_6460,1_6493,Xp_GTX0501_9,Xanthoria_parietina_GTX0501
Xanthoria_calcicola_GTX0491,Xanthoria_parietina_GTX0501,Xc_GTX0491_12,Xp_GTX0501_35,Xanthoria_parietina_GTX0501_vs_Xanthoria_calcicola_GTX0491: 37_1,1549133,1615275,9205,9229,0_9122,0_9146,21,3658,74145,10840,10867,1_10779,1_10806,21,+,3658,74145,10840,10867,1_10779,1_10806,Xp_GTX0501_35,Xanthoria_parietina_GTX0501
Xanthoria_calcicola_GTX0491,Xanthoria_parietina_GTX0501,Xc_GTX0491_13,Xp_GTX0501_19,Xanthoria_parietina_GTX0501_vs_Xanthoria_calcicola_GTX0491: 21_1,1033541,1494545,9552,9686,0_9468,0_9602,122,721,371384,9445,9608,1_9391,1_9554,122,+,721,371384,9445,9608,1_9391,1_9554,Xp_GTX0501_19,Xanthoria_parietina_GTX0501
Xanthoria_calcicola_GTX0491,Xanthoria_parietina_GTX0501,Xc_GTX0491_13,Xp_GTX0501_28,Xanthoria_parietina_GTX0501_vs_Xanthoria_calcicola_GTX0491: 30_1,692209,943915,9468,9551,0_9384,0_9467,70,490,202810,10445,10531,1_10386,1_10472,70,+,490,202810,10445,10531,1_10386,1_10472,Xp_GTX0501_28,Xanthoria_parietina_GTX0501
Xanthoria_calcicola_GTX0491,Xanthoria_parietina_GTX0501,Xc_GTX0491_14,Xp_GTX0501_22,Xanthoria_parietina_GTX0501_vs_Xanthoria_calcicola_GTX0491: 24_1,691695,1017096,9853,9962,0_9768,0_9877,102,12206,300794,9889,10009,1_9832,1_9952,102,+,12206,300794,9889,10009,1_9832,1_9952,Xp_GTX0501_22,Xanthoria_parietina_GTX0501
Xanthoria_calcicola_GTX0491,Xanthoria_parietina_GTX0501,Xc_GTX0491_14,Xp_GTX0501_24,Xanthoria_parietina_GTX0501_vs_Xanthoria_calcicola_GTX0491: 26_1,36840,328735,9697,9781,0_9613,0_9696,65,1366,269941,10098,10190,1_10041,1_10133,65,+,1366,269941,10098,10190,1_10041,1_10133,Xp_GTX0501_24,Xanthoria_parietina_GTX0501
Xanthoria_calcicola_GTX0491,Xanthoria_parietina_GTX0501,Xc_GTX0491_14,Xp_GTX0501_25,Xanthoria_parietina_GTX0501_vs_Xanthoria_calcicola_GTX0491: 27_1,1025412,1350395,9966,10059,0_9881,0_9971,80,11107,225419,10193,10300,1_10136,1_10241,80,+,11107,225419,10193,10300,1_10136,1_10241,Xp_GTX0501_25,Xanthoria_parietina_GTX0501
Xanthoria_calcicola_GTX0491,Xanthoria_parietina_GTX0501,Xc_GTX0491_15,Xp_GTX0501_15,Xanthoria_parietina_GTX0501_vs_Xanthoria_calcicola_GTX0491: 17_1,89554,793061,10083,10292,0_9995,0_10203,182,11789,601217,8623,8856,1_8572,1_8804,182,+,11789,601217,8623,8856,1_8572,1_8804,Xp_GTX0501_15,Xanthoria_parietina_GTX0501
Xanthoria_calcicola_GTX0491,Xanthoria_parietina_GTX0501,Xc_GTX0491_15,Xp_GTX0501_27,Xanthoria_parietina_GTX0501_vs_Xanthoria_calcicola_GTX0491: 29_1,1087506,1281108,10354,10412,0_10263,0_10320,52,775,175980,10373,10442,1_10314,1_10383,52,+,775,175980,10373,10442,1_10314,1_10383,Xp_GTX0501_27,Xanthoria_parietina_GTX0501
Xanthoria_calcicola_GTX0491,Xanthoria_parietina_GTX0501,Xc_GTX0491_2,Xp_GTX0501_11,Xanthoria_parietina_GTX0501_vs_Xanthoria_calcicola_GTX0491: 13_1,2343680,3631946,2178,2561,0_2156,0_2534,316,33955,1213113,7146,7581,1_7102,1_7534,316,+,33955,1213113,7146,7581,1_7102,1_7534,Xp_GTX0501_11,Xanthoria_parietina_GTX0501
Xanthoria_calcicola_GTX0491,Xanthoria_parietina_GTX0501,Xc_GTX0491_4,Xp_GTX0501_32,Xanthoria_parietina_GTX0501_vs_Xanthoria_calcicola_GTX0491: 34_1,1995970,2275251,4275,4332,0_4230,0_4286,37,2916,122665,10705,10763,1_10645,1_10702,37,+,2916,122665,10705,10763,1_10645,1_10702,Xp_GTX0501_32,Xanthoria_parietina_GTX0501
Xanthoria_calcicola_GTX0491,Xanthoria_parietina_GTX0501,Xc_GTX0491_5,Xp_GTX0501_12,Xanthoria_parietina_GTX0501_vs_Xanthoria_calcicola_GTX0491: 14_1,9156,1379076,4336,4733,0_4290,0_4682,346,6026,1204894,7583,8016,1_7536,1_7968,346,+,6026,1204894,7583,8016,1_7536,1_7968,Xp_GTX0501_12,Xanthoria_parietina_GTX0501
