Name,Xanthoria_calcicola_GTX0491.scaffolds.fa
Genome Size (bp),36282728
Count of Genomic Windows Investigated,72565
GC Content of Genome Assembly (%),45.59
Number of RIP Affected Windows,19346
RIP Affected Genomic Proportion (%),26.66
Count of LRARs,286
Average Size of LRARs (bp),32098.79
Average GC Content of LRARs (%),29.3
Genomic Proportion of LRARs (bp),9180254
Product Value for LRARs,1.55
Substrate Value for LRARs,0.18
Composite Value for LRARs,1.37
