DATASET_SIMPLEBAR
SEPARATOR COMMA
DATASET_LABEL,Length
COLOR,#16537e
DATA
7_Starship-1_Ooli-Captain,681
272_trihyb1_897299,629
6_Starship-1_Mimp-Captain,610
144_hetspe1_CAF9941352.1,634
297_zymtri5_SMR62249.1,586
193_orboli2_TGJ70084.1,711
95_daccio1_otherdc0103420,561
29_aspgla1_OJJ87743.1,437
206_penfla1_2705,794
23_aspcro1_tyr1048,430
281_wilmik1_113864,701
65_blaper1_5882,621
62_blaper1_4528,433
89_cocpos5_KMM73308.1,674
66_blaper1_6736,322
142_grascr1_687,527
101_dibbae1_5584_5585,568
200_parlut1_5370,1012
82_choven1_786032,356
274_tubmag1_tyr10581,209
143_helsp.4_KAE8442194.1,635
172_micbol1_109359,623
166_madmyc1_9889,459
165_madmyc1_9294,688
279_verdah2_tyr10676,626
225_polfus1_606100,671
83_claban1_134700,757
102_didker1_KAF3049100.1,509
265_talver1_KUL81284.1,501
58_blader3_11177,490
1_HEPHAESTUS_Pvar-Captain,896
28_aspgla1_OJJ83717.1,627
3_Starship-1_Afel-Captain,920
4_Starship-1_Afum-Captain,812
8_Starship-1_Tmar-Captain,808
12_artunc1_KAF3492431.1,868
60_blagil1_OAT07656.1,832
280_virvir1_581593,708
201_parmin1_KAF9728395.1,556
293_zoprhi1_KAF2174473.1,455
239_pyrtri10_PZD03750.1,937
294_zoprhi1_KAF2179529.1,742
16_aspasp2_tyr552,383
213_penrub2_KAF3021169.1,751
110_exooli1_134015,712
81_chasp.7_RMZ87469.1,501
275_umbpus1_103454,902
112_friend1_TKA26544.1,710
288_xylsp.2_355315,311
114_funsp.2_GAW15977.1,434
76_cengeo1_542205,423
160_leppal1_OCK79459.1,639
222_pletra1_KAF2844130.1,547
164_lizemp1_186564,477
72_cadmal1_KAG4411212.1,648
221_plecuc2_353822,556
256_stacha2_KFA51963.1,247
234_psesp.14_tyr9380,290
133_fussub5_tyr6719,325
191_neodit1_2170,402
171_metrob3_tyr8212,455
223_podcom1_tyr9194,506
64_blaper1_5625,534
32_asplat1_tyr1608,447
24_aspfis5_tyr1169,590
63_blaper1_4705,633
30_asphir2_tyr1512,344
141_grascr1_10188,342
248_rutsp.1_PQE28656.1,2446
290_zalvar1_689006,538
175_mictri1_377953,656
186_monsp.2_RYP34851.1,591
232_psesp.13_tyr9350,354
173_micbol1_226188,499
231_psesp.13_KFX93134.1,283
134_fustri4_tyr6766,265
116_fusbra1_tyr5309,237
98_dalgra1_438190,459
92_coltof2_tyr4412,352
254_spoins1_661,580
154_kredeu2_tyr7716,811
128_fusoxy42_ENH71189.1,776
119_fuscir3_tyr5364,567
235_psesp.15_KFY65136.1,844
145_hirmin1_5623,782
168_metani1_5588,539
218_phamin1_EOO01307.1,595
253_scylig1_RFU28318.1,714
188_mytres1_375477,249
184_monsp.2_RYP22820.1,506
278_valmal3_tyr10655,349
67_blaper1_675,420
262_talpin1_KAF3392106.1,430
170_metrob3_EFZ00634.1,553
138_fusxyl4_KAG5801712.1,522
250_sclcep1_KAF7865656.1,563
257_stachl1_3593,310
249_rutsp.2_PQE09269.1,811
180_monfru1_KAA8565543.1,862
52_bacgig1_KAG8531634.1,394
192_neopar1_6999,228
127_fusmus1_tyr6092,251
255_spoins1_7186,572
187_monsp.3_RYP20312.1,486
227_psedes1_5938,327
202_parpol1_3559,586
204_parpol1_tyr8652,478
241_rhesp.1_195900,422
291_zascel1_66988,627
96_dacmac1_34260,321
140_golmag1_tyr7146,238
269_triaru1_7814,420
182_monibe1_RYO96122.1,482
246_rusear1_1273445,355
151_hypsp.2_644004,484
93_crydep1_ODN97795.1,726
174_mictri1_300110,731
270_triham1_3351,749
123_fusfus24_tyr5659,705
158_leclec1_6749,765
99_dalsp.1_361367,724
129_fusoxy45_KAG7413195.1,874
86_clorhi1_VUC06060.1,764
289_zalvar1_685428,602
2_Phoenix_Mpha_mp053-Captain,516
152_ilysp.2_681009,405
267_toloph1_tyr10453,400
147_hirrho1_KAH0968669.1,458
233_psesp.14_KFY31966.1,458
298_XANPAGTX0501_001716-T1,283
300_XANPARI20_008752-T1,283
299_XANPAOZ2100_002162-T1,283
163_lepsp.1_739939,399
243_rhimac1_8905,519
183_monlax1_KAB8302114.1,417
94_crypar1_KAF3763523.1,305
109_emmcre2_KKZ67376.1,422
69_botacl1_KAF7955521.1,528
237_psesp.4_tyr9585,727
162_lepsp.1_674126,275
126_fusgad1_KAF4947046.1,688
31_aspind3_tyr1556,462
228_psedes1_tyr9258,563
113_frisim1_TKA68777.1,429
229_psehyp1_505659,677
259_talcel1_GAM41794.1,2136
19_aspasp7_tyr614,561
51_aspwen1_OJJ29631.1,618
40_aspory7_tyr2327,337
18_aspasp7_tyr613,237
38_aspnom1_155723,556
132_fussp.6_KAF5007163.1,306
258_talatr1_4403,229
264_talsti1_5901,438
273_triton1_5425,421
107_emmcre2_KKZ61489.1,496
21_aspber2_KAE8379024.1,433
14_aspara2_tyr470,561
195_paeniv1_62125,782
156_lachya1_TVY25215.1,205
42_asppho1_RDK41021.1,387
190_mytres1_491224,553
125_fusfus65_tyr5881,206
10_acemac1_707798,440
157_lasthe1_tyr7811,497
244_rhysec1_tyr10005,683
155_lacari1_TVY13717.1,637
97_dacmac1_659788,408
295_zoprhi1_KAF2184210.1,432
296_zoprhi1_tyr11022,324
75_calmar1_577054,441
13_ascrab1_tyr338,534
44_aspscl6_tyr2635,577
284_xylpal1_601133,576
100_diaamp1_10693,422
268_treper1_542511,700
159_lenflu1_KAF2676861.1,726
148_hiscap1_tyr7335,742
292_zascel1_tyr10949,452
61_blaper1_2381,528
214_pensp.11_PCG88942.1,938
36_aspnid4_tyr2028,643
9_Starship-2_Afla-Captain,753
57_bipmay2_EMD88483.1,382
219_phisco1_133811,438
124_fusfus29_tyr5699,337
176_mictri1_425164,629
146_hirrho1_KAH0961187.1,630
266_toloph1_1610,501
5_Starship-1_Foxy_Fo5176-Captain,622
131_fussp.5_KAF5611984.1,693
135_fustup1_tyr6815,675
285_xylsp.11_322789,660
282_xylcub1_494674,693
283_xyllon1_530278,642
286_xylsp.15_432324,631
59_blader5_EQL32851.1,517
56_bipmay1_ENH98990.1,450
70_botdot1_290492,404
247_rutsp.1_PQE27284.1,333
226_polhys1_6343,522
33_asplat5_tyr1682,257
261_talmar2_KFX47975.1,508
26_aspfla13_tyr1195,802
217_pesfic1_tyr9064,597
68_blaper1_9954,518
41_asppar5_tyr2394,437
196_parbra1_2719,475
198_parbra2_EEH47566.2,237
271_trihir1_KAH0563021.1,438
137_fusvan1_EEU40131.1,519
117_fusbur1_tyr5341,529
169_metgui1_4539,294
149_hiscap4_QSS56076.1,372
45_aspsyd2_tyr2767,378
37_aspnig10_tyr2036,615
153_imsale1_tyr7676,229
209_penoxa1_6225,490
104_elagra2_tyr4808,238
150_hiscap4_tyr7429,228
34_asplen8_tyr1771,468
251_sclcep1_KAF7866863.1,391
252_sclcep1_KAF7870603.1,421
11_amnlig1_424037,341
263_talrug1_tyr10331,468
80_cerber1_tyr3938,338
78_cengeo1_tyr3818,307
53_beabas1_10225,377
224_polfus1_599705,443
111_exoxen1_tyr5127,334
194_orboli2_tyr8545,335
181_monfru1_KAA8574662.1,454
179_moncan1_tyr8276,457
130_fuspro7_tyr6510,217
136_fususs4_tyr6846,577
17_aspasp2_tyr555,660
189_mytres1_384697,368
238_psevol1_tyr9689,355
115_fusalb2_tyr5195,365
177_moncan1_RYO82366.1,349
122_fusequ5_tyr5495,247
210_penroq1_3856,343
103_elagra2_2112,580
197_parbra1_6508,317
105_emepas2_OJD10625.1,264
185_monsp.2_RYP32009.1,406
74_calmar1_178488,266
139_gluame1_KAH0542861.1,241
276_umbpus1_107339,984
35_asplep2_tyr1824,383
199_parbra2_EEH48327.2,276
287_xylsp.18_tyr10859,243
90_colcam1_tyr4276,452
15_aspasp12_tyr525,496
211_penroq1_4089,633
203_parpol1_tyr8651,573
25_aspfis5_tyr1178,511
22_aspcos3_tyr926,343
91_colsoj1_KAF6812414.1,3096
79_cengeo1_tyr3835,225
207_penfla1_tyr8805,290
71_byscir1_tyr3672,246
108_emmcre2_KKZ61922.1,691
240_pyrtri5_tyr9846,438
43_aspqua1_tyr2555,546
48_aspter9_tyr2940,560
212_penrub1_CAP94151.1,666
27_aspflo1_tyr1229,557
121_fusequ4_tyr5487,383
205_penbra1_tyr8704,445
106_emmcre2_KKZ60871.1,321
277_uncree2_tyr10647,203
242_rhieri1_750159,359
46_asptan1_tyr2879,324
245_rhysec1_tyr10006,471
208_pennor1_tyr8865,505
54_bimnov1_585611,347
87_cocmiy1_41658,433
236_psesp.16_tyr9418,356
55_bimnov1_tyr3321,367
50_aspuda6_tyr3047,642
47_aspter9_tyr2936,563
220_phisub1_tyr9118,430
120_fuscom2_tyr5400,496
73_cadsp.2_tyr3757,451
260_talisl1_2669,565
88_cocpos5_KMM68959.1,349
39_aspory7_tyr2325,440
49_aspuda6_tyr3046,477
77_cengeo1_591310,299
178_moncan1_RYO85021.1,293
20_aspawa1_tyr652,286
85_cloaqu1_tyr4087,308
161_leppal1_tyr7885,424
