Captain	familyID	Source	Genome
lambiella.insularis.1_tyr2509		Newly-annotated lichen genomes	lambiella.insularis.1
porpidia.subsimplex.1_tyr3430		Newly-annotated lichen genomes	porpidia.subsimplex.1
porpidia.macrocarpa.1_tyr3848		Newly-annotated lichen genomes	porpidia.macrocarpa.1
caloplaca.sp..2_tyr2595		Newly-annotated lichen genomes	caloplaca.sp..2
baeomycetales.sp..3_tyr2166		Newly-annotated lichen genomes	baeomycetales.sp..3
Starship-1_Tmar-Captain	fam02	Gluck-Thaler and Vogan (2024)	
aspsyd2_tyr2767	fam02	Gluck-Thaler and Vogan (2024)	aspsyd2
aspgla1_OJJ83717.1	fam02	Gluck-Thaler and Vogan (2024)	aspgla1
Starship-1_Afel-Captain	fam02	Gluck-Thaler and Vogan (2024)	
Starship-1_Afum-Captain	fam02	Gluck-Thaler and Vogan (2024)	
HEPHAESTUS_Pvar-Captain	fam02	Gluck-Thaler and Vogan (2024)	
talver1_KUL81284.1	fam02	Gluck-Thaler and Vogan (2024)	talver1
acarospora.strigata.1_tyr1148		Newly-annotated lichen genomes	acarospora.strigata.1
blader3_11177	fam02	Gluck-Thaler and Vogan (2024)	blader3
xanthoria.parietina.3_tyr2694		Newly-annotated lichen genomes	xanthoria.parietina.3
usnea.strigosa.1_tyr808		Newly-annotated lichen genomes	usnea.strigosa.1
aspnig10_tyr2036	fam02	Gluck-Thaler and Vogan (2024)	aspnig10
solorina.crocea.1_tyr1894		Newly-annotated lichen genomes	solorina.crocea.1
peltigera.extenuata.1_tyr2566		Newly-annotated lichen genomes	peltigera.extenuata.1
solorina.crocea.1_tyr2911		Newly-annotated lichen genomes	solorina.crocea.1
gluame1_KAH0542861.1	clade01	Gluck-Thaler and Vogan (2024)	gluame1
sticta.sp..1_tyr2883		Newly-annotated lichen genomes	sticta.sp..1
cladonia.sp..7_tyr4047		Newly-annotated lichen genomes	cladonia.sp..7
usnea.hakonensis.1_tyr3170		Newly-annotated lichen genomes	usnea.hakonensis.1
gyalolechia.sp..2_tyr1533		Newly-annotated lichen genomes	gyalolechia.sp..2
imsale1_tyr7676	fam05	Gluck-Thaler and Vogan (2024)	imsale1
grascr1_10188	fam05	Gluck-Thaler and Vogan (2024)	grascr1
sticta.canariensis.1_tyr4091		Newly-annotated lichen genomes	sticta.canariensis.1
protoblastenia.rupestris.2_tyr3826		Newly-annotated lichen genomes	protoblastenia.rupestris.2
lecanora.subimmergens.1_tyr4145		Newly-annotated lichen genomes	lecanora.subimmergens.1
lecanora.markjohnstonii.1_tyr1576		Newly-annotated lichen genomes	lecanora.markjohnstonii.1
biatora.pontica.1_tyr2094		Newly-annotated lichen genomes	biatora.pontica.1
calogaya.arnoldii.1_tyr2951		Newly-annotated lichen genomes	calogaya.arnoldii.1
porpidia.macrocarpa.1_tyr578		Newly-annotated lichen genomes	porpidia.macrocarpa.1
lecidea.sp..1_tyr968		Newly-annotated lichen genomes	lecidea.sp..1
lecanoromycetes.sp..3_tyr122		Newly-annotated lichen genomes	lecanoromycetes.sp..3
cladonia.sp..9_tyr1278		Newly-annotated lichen genomes	cladonia.sp..9
usnea.ceratina.2_tyr4164		Newly-annotated lichen genomes	usnea.ceratina.2
diploschistes.diacapsis.1_tyr1448		Newly-annotated lichen genomes	diploschistes.diacapsis.1
parmeliaceae.sp..20_tyr1063		Newly-annotated lichen genomes	parmeliaceae.sp..20
parmotrema.stuppeum.1_tyr3760		Newly-annotated lichen genomes	parmotrema.stuppeum.1
cladonia.rangiferina.2_tyr2351		Newly-annotated lichen genomes	cladonia.rangiferina.2
protoblastenia.rupestris.1_tyr3520		Newly-annotated lichen genomes	protoblastenia.rupestris.1
exoxen1_tyr5127	fam05	Gluck-Thaler and Vogan (2024)	exoxen1
talrug1_tyr10331	fam05	Gluck-Thaler and Vogan (2024)	talrug1
talpin1_KAF3392106.1	fam05	Gluck-Thaler and Vogan (2024)	talpin1
umbilicaria.hispanica.4_tyr1397		Newly-annotated lichen genomes	umbilicaria.hispanica.4
umbilicaria.deusta.1_tyr131		Newly-annotated lichen genomes	umbilicaria.deusta.1
coniocarpon.cinnabarinum.2_tyr169		Newly-annotated lichen genomes	coniocarpon.cinnabarinum.2
hiscap4_tyr7429	fam05	Gluck-Thaler and Vogan (2024)	hiscap4
emmcre2_KKZ61489.1	fam05	Gluck-Thaler and Vogan (2024)	emmcre2
asppho1_RDK41021.1	fam05	Gluck-Thaler and Vogan (2024)	asppho1
aspory7_tyr2325	fam05	Gluck-Thaler and Vogan (2024)	aspory7
triton1_5425	fam05	Gluck-Thaler and Vogan (2024)	triton1
aspasp7_tyr613	fam05	Gluck-Thaler and Vogan (2024)	aspasp7
talsti1_5901	fam05	Gluck-Thaler and Vogan (2024)	talsti1
talatr1_4403	fam05	Gluck-Thaler and Vogan (2024)	talatr1
fussp.6_KAF5007163.1	fam05	Gluck-Thaler and Vogan (2024)	fussp.6
aspuda6_tyr3047	fam05	Gluck-Thaler and Vogan (2024)	aspuda6
aspara2_tyr470	fam05	Gluck-Thaler and Vogan (2024)	aspara2
paeniv1_62125	fam05	Gluck-Thaler and Vogan (2024)	paeniv1
penroq1_3856	fam05	Gluck-Thaler and Vogan (2024)	penroq1
aspflo1_tyr1229	fam05	Gluck-Thaler and Vogan (2024)	aspflo1
aspber2_KAE8379024.1	fam05	Gluck-Thaler and Vogan (2024)	aspber2
elagra2_2112	fam05	Gluck-Thaler and Vogan (2024)	elagra2
aspasp2_tyr555	fam05	Gluck-Thaler and Vogan (2024)	aspasp2
asppar5_tyr2394	fam05	Gluck-Thaler and Vogan (2024)	asppar5
aspnom1_155723	fam05	Gluck-Thaler and Vogan (2024)	aspnom1
aspter9_tyr2936	fam05	Gluck-Thaler and Vogan (2024)	aspter9
emmcre2_KKZ60871.1	fam05	Gluck-Thaler and Vogan (2024)	emmcre2
blaper1_9954	fam05	Gluck-Thaler and Vogan (2024)	blaper1
blaper1_2381	fam05	Gluck-Thaler and Vogan (2024)	blaper1
hiscap1_tyr7335	fam05	Gluck-Thaler and Vogan (2024)	hiscap1
aspnid4_tyr2028	fam05	Gluck-Thaler and Vogan (2024)	aspnid4
aspscl6_tyr2635	fam05	Gluck-Thaler and Vogan (2024)	aspscl6
Starship-2_Afla-Captain	fam05	Gluck-Thaler and Vogan (2024)	
pensp.11_PCG88942.1	fam05	Gluck-Thaler and Vogan (2024)	pensp.11
lenflu1_KAF2676861.1	fam05	Gluck-Thaler and Vogan (2024)	lenflu1
cocmiy1_41658	fam05	Gluck-Thaler and Vogan (2024)	cocmiy1
pyrtri5_tyr9846	fam05	Gluck-Thaler and Vogan (2024)	pyrtri5
ascrab1_tyr338	fam05	Gluck-Thaler and Vogan (2024)	ascrab1
bipmay1_ENH98990.1	fam05	Gluck-Thaler and Vogan (2024)	bipmay1
