geneID	familyID	included_in_subset
KAE8209120.1	NA	N
AAO92638.2	NA	N
HEPHAESTUS_Pvar-Captain	fam02	Y
aspasp7_tyr611	fam02	N
asplep2_tyr1807	fam02	N
emeafr1_OAX78725.1_OAX78726.1	n.d.	N
penant1_1867_1868	n.d.	N
aspasp3_tyr574	fam02	N
Starship-1_Afel-Captain	fam02	Y
Starship-1_Afum-Captain	fam02	Y
aspfum4_KMK55507.1	fam02	N
aspaff1_tyr364	fam02	N
aspnig10_tyr2036	fam02	Y
aspche2_tyr890	fam02	N
aspgla1_OJJ83717.1	fam02	Y
asplat6_tyr1695	fam02	N
aspsyd2_tyr2767	fam02	Y
Starship-1_Tmar-Captain	fam02	Y
talver1_KUL81284.1	fam02	Y
talisl1_2669	fam02	Y
talsti1_3815_3816	n.d.	N
aspbru4_tyr759	fam02	N
cocimm1_628	fam02	N
erebil1_463208	fam02	N
erebil1_472933_308236	n.d.	N
blader3_11177	fam02	Y
altgai1_tyr159	fam04	N
lizemp1_160652	fam04	N
lizemp1_186564	fam04	Y
pyrtri9_PZD23847.1	fam04	N
pletra1_KAF2844130.1	fam04	Y
pyrtri1_EDU47821.1	fam04	N
didker1_KAF3049100.1	fam04	Y
amnlig1_424037	fam04	Y
bimnov1_554665_388559	n.d.	N
bimnov1_60159_363215	n.d.	N
lopmac1_KAF2650664.1	fam04	N
polfus1_599705	fam04	Y
verena1_584247	fam04	N
zoprhi1_tyr10970	fam04	N
permac1_607348_577860	n.d.	N
moncan1_RYO85021.1	fam04	Y
cengeo1_542205	fam04	Y
cengeo1_589484_589527_521781	n.d.	N
cengeo1_tyr3818	fam04	Y
cengeo1_566735	fam04	N
cengeo1_591310	fam04	Y
cengeo1_tyr3807	fam04	N
cengeo1_tyr3819	fam04	N
leppal1_OCK79459.1	fam04	Y
leppal1_tyr7885	fam04	Y
cloaqu1_tyr4087	fam04	Y
polfus1_606100	fam04	Y
lenflu1_KAF2679993.1_KAF2679994.1	n.d.	N
claban1_134700	fam04	Y
amores1_PSS18287.1	fam04	N
oidmai1_93661	fam04	N
cadsp.2_KAG4439199.1	fam04	N
lepsp.1_529980_636753	n.d.	N
rhesp.1_14923	fam04	N
hymalb1_CAG8977711.1	fam04	N
amyenc1_547861	fam04	N
cadmal1_KAG4411212.1	fam04	Y
botpor2_tyr3657	fam04	N
sclcep1_KAF7866863.1	fam04	Y
sclcep1_KAF7870603.1	fam04	Y
psesp.14_KFY31966.1	fam04	Y
psesp.14_tyr9380	fam04	Y
psesp.5_10301	fam04	N
cyloli1_552812	fam04	N
stacha2_KFA51963.1	fam04	Y
staele1_490642	fam04	N
plecuc2_353822	fam04	Y
verdah2_tyr10676	fam04	Y
verlon1_20430	fam04	N
monsp.2_RYP32009.1	fam04	Y
monsp.8_tyr8373	fam04	N
madmyc1_9294	fam04	Y
monsp.4_RYP58605.1	fam04	N
fussub5_tyr6719	fam04	Y
fustan1_tyr6732	fam04	N
hirrho1_KAH0968669.1	fam04	Y
hirrho1_KAH0968736.1	fam04	N
neodit1_2170	fam04	Y
leclec1_6727	fam04	N
madmyc1_9889	fam04	Y
micbol1_109359	fam04	Y
pesfic1_5930	fam04	N
xylcur2_595032	fam04	N
helsp.4_KAE8442194.1	fam04	Y
oidmai1_137687	fam04	N
Phoenix_Mpha_mp053-Captain	fam01	Y
macpha2_4023	fam01	N
chasp.7_RMZ87469.1	fam01	Y
exooli1_134015	fam01	Y
rhimac1_8905	fam01	Y
phachl1_4396	fam01	N
beabas1_10225	fam01	Y
metacr1_9181	fam01	N
metrob3_tyr8212	fam01	Y
pocchl3_OAQ60539.2	fam01	N
toloph1_tyr10453	fam01	Y
ilysp.2_681009	fam01	Y
metmaj1_10173	fam01	N
podcom1_tyr9194	fam01	Y
aspasp2_tyr552	fam01	Y
paeniv1_69520	fam01	N
penoxa1_tyr8890	fam01	N
penrub2_KAF3021169.1	fam01	Y
zalvar1_685428	fam01	Y
neopar1_6999	fam01	Y
permac1_395901	fam01	N
tribis1_522931	fam01	N
tribis1_534205_534208	n.d.	N
amores1_PSS18505.1	fam01	N
