genome1,genome2,chr1,chr2,blkID,startBp1,endBp1,startOrd1,endOrd1,firstGene1,lastGene1,nHits1,minBp2,maxBp2,minOrd2,maxOrd2,minGene2,maxGene2,nHits2,orient,startBp2,endBp2,startOrd2,endOrd2,firstGene2,lastGene2,refChr,refGenome
Xanthoria_calcicola_GTX0491,Xanthoria_parietina_GTX0501,Xc_GTX0491_1,Xp_GTX0501_20,Xanthoria_parietina_GTX0501_vs_Xanthoria_calcicola_GTX0491: 22_1,2450719,2916971,714,840,0_706,0_830,100,5369,330849,9613,9749,1_9559,1_9693,100,+,5369,330849,9613,9749,1_9559,1_9693,OZ210028,Xanthoria_parietina_SAMEA111342678
Xanthoria_calcicola_GTX0491,Xanthoria_parietina_GTX0501,Xc_GTX0491_1,Xp_GTX0501_4,Xanthoria_parietina_GTX0501_vs_Xanthoria_calcicola_GTX0491: 4_1,30503,2465821,6,719,0_5,0_711,570,47021,1878232,2564,3323,1_2549,1_3304,570,+,47021,1878232,2564,3323,1_2549,1_3304,OZ210028,Xanthoria_parietina_SAMEA111342678
Xanthoria_calcicola_GTX0491,Xanthoria_parietina_GTX0501,Xc_GTX0491_1,Xp_GTX0501_7,Xanthoria_parietina_GTX0501_vs_Xanthoria_calcicola_GTX0491: 7_1,2917491,4640737,841,1446,0_831,0_1428,492,2290,1554405,4699,5344,1_4668,1_5308,492,+,2290,1554405,4699,5344,1_4668,1_5308,OZ210028,Xanthoria_parietina_SAMEA111342678
Xanthoria_calcicola_GTX0491,Xanthoria_parietina_GTX0501,Xc_GTX0491_10,Xp_GTX0501_17,Xanthoria_parietina_GTX0501_vs_Xanthoria_calcicola_GTX0491: 19_1,1011370,1656003,7969,8117,0_7892,0_8039,126,16807,457493,9088,9256,1_9035,1_9202,126,+,16807,457493,9088,9256,1_9035,1_9202,OZ210038,Xanthoria_parietina_SAMEA111342678
Xanthoria_calcicola_GTX0491,Xanthoria_parietina_GTX0501,Xc_GTX0491_11,Xp_GTX0501_9,Xanthoria_parietina_GTX0501_vs_Xanthoria_calcicola_GTX0491: 10_1,181076,242303,8226,8262,0_8148,0_8183,30,1417598,1481236,6502,6536,1_6460,1_6493,30,+,1417598,1481236,6502,6536,1_6460,1_6493,OZ210039,Xanthoria_parietina_SAMEA111342678
Xanthoria_calcicola_GTX0491,Xanthoria_parietina_GTX0501,Xc_GTX0491_12,Xp_GTX0501_35,Xanthoria_parietina_GTX0501_vs_Xanthoria_calcicola_GTX0491: 37_1,1549133,1602381,9205,9226,0_9122,0_9143,19,3658,59200,10840,10863,1_10779,1_10802,19,+,3658,59200,10840,10863,1_10779,1_10802,OZ210035,Xanthoria_parietina_SAMEA111342678
Xanthoria_calcicola_GTX0491,Xanthoria_parietina_GTX0501,Xc_GTX0491_13,Xp_GTX0501_19,Xanthoria_parietina_GTX0501_vs_Xanthoria_calcicola_GTX0491: 21_1,1043011,1490906,9556,9685,0_9472,0_9601,115,9464,367708,9448,9605,1_9394,1_9551,115,+,9464,367708,9448,9605,1_9394,1_9551,OZ210040,Xanthoria_parietina_SAMEA111342678
Xanthoria_calcicola_GTX0491,Xanthoria_parietina_GTX0501,Xc_GTX0491_13,Xp_GTX0501_28,Xanthoria_parietina_GTX0501_vs_Xanthoria_calcicola_GTX0491: 30_1,692209,943915,9468,9551,0_9384,0_9467,67,490,202810,10445,10531,1_10386,1_10472,67,+,490,202810,10445,10531,1_10386,1_10472,OZ210040,Xanthoria_parietina_SAMEA111342678
Xanthoria_calcicola_GTX0491,Xanthoria_parietina_GTX0501,Xc_GTX0491_14,Xp_GTX0501_22,Xanthoria_parietina_GTX0501_vs_Xanthoria_calcicola_GTX0491: 24_1,691695,1017096,9853,9962,0_9768,0_9877,96,12206,300794,9889,10009,1_9832,1_9952,96,+,12206,300794,9889,10009,1_9832,1_9952,OZ210043,Xanthoria_parietina_SAMEA111342678
Xanthoria_calcicola_GTX0491,Xanthoria_parietina_GTX0501,Xc_GTX0491_14,Xp_GTX0501_24,Xanthoria_parietina_GTX0501_vs_Xanthoria_calcicola_GTX0491: 26_1,36840,328735,9697,9781,0_9613,0_9696,60,1366,269941,10098,10190,1_10041,1_10133,60,+,1366,269941,10098,10190,1_10041,1_10133,OZ210043,Xanthoria_parietina_SAMEA111342678
Xanthoria_calcicola_GTX0491,Xanthoria_parietina_GTX0501,Xc_GTX0491_14,Xp_GTX0501_25,Xanthoria_parietina_GTX0501_vs_Xanthoria_calcicola_GTX0491: 27_1,1025412,1348219,9966,10058,0_9881,0_9970,68,11107,223238,10193,10298,1_10136,1_10239,68,+,11107,223238,10193,10298,1_10136,1_10239,OZ210043,Xanthoria_parietina_SAMEA111342678
Xanthoria_calcicola_GTX0491,Xanthoria_parietina_GTX0501,Xc_GTX0491_15,Xp_GTX0501_15,Xanthoria_parietina_GTX0501_vs_Xanthoria_calcicola_GTX0491: 17_1,89554,793061,10083,10292,0_9995,0_10203,172,11789,601217,8623,8856,1_8572,1_8804,172,+,11789,601217,8623,8856,1_8572,1_8804,OZ210042,Xanthoria_parietina_SAMEA111342678
Xanthoria_calcicola_GTX0491,Xanthoria_parietina_GTX0501,Xc_GTX0491_15,Xp_GTX0501_27,Xanthoria_parietina_GTX0501_vs_Xanthoria_calcicola_GTX0491: 29_1,1087506,1279285,10354,10411,0_10263,0_10319,46,775,174749,10373,10441,1_10314,1_10382,46,+,775,174749,10373,10441,1_10314,1_10382,OZ210042,Xanthoria_parietina_SAMEA111342678
