"Name","Start","End","Size","Count Of Windows","Product","Substrate","Composite","GC Content"
"ENA|OZ210029|OZ210029.1 Xanthoria parietina genome assembly, chromosome: 2",0,5500,5500,10,1.45,0.38,1.07,40
"ENA|OZ210029|OZ210029.1 Xanthoria parietina genome assembly, chromosome: 2",5500,19000,13500,26,1.62,0.4,1.22,40.5
"ENA|OZ210029|OZ210029.1 Xanthoria parietina genome assembly, chromosome: 2",71500,81000,9500,18,1.87,0.25,1.62,42.2
"ENA|OZ210029|OZ210029.1 Xanthoria parietina genome assembly, chromosome: 2",1397000,1419500,22500,44,1.65,0.39,1.27,41.21
"ENA|OZ210029|OZ210029.1 Xanthoria parietina genome assembly, chromosome: 2",1419500,1435000,15500,30,1.77,0.26,1.51,41.24
"ENA|OZ210029|OZ210029.1 Xanthoria parietina genome assembly, chromosome: 2",1790500,1806000,15500,30,1.57,0.35,1.21,40.14
"ENA|OZ210029|OZ210029.1 Xanthoria parietina genome assembly, chromosome: 2",1842000,1854000,12000,23,1.63,0.39,1.23,41.16
"ENA|OZ210029|OZ210029.1 Xanthoria parietina genome assembly, chromosome: 2",1854500,1886500,32000,63,1.67,0.29,1.38,37.72
"ENA|OZ210029|OZ210029.1 Xanthoria parietina genome assembly, chromosome: 2",1888500,1941000,52500,104,1.62,0.33,1.29,39.04
"ENA|OZ210029|OZ210029.1 Xanthoria parietina genome assembly, chromosome: 2",1976000,1982500,6500,12,1.53,0.42,1.1,40.2
"ENA|OZ210029|OZ210029.1 Xanthoria parietina genome assembly, chromosome: 2",2660000,2666000,6000,11,1.45,0.61,0.84,43.73
"ENA|OZ210029|OZ210029.1 Xanthoria parietina genome assembly, chromosome: 2",2672000,2677500,5500,10,1.83,0.37,1.46,44.65
"ENA|OZ210029|OZ210029.1 Xanthoria parietina genome assembly, chromosome: 2",2693000,2700000,7000,13,1.72,0.45,1.27,45.46
"ENA|OZ210029|OZ210029.1 Xanthoria parietina genome assembly, chromosome: 2",2704000,2711500,7500,14,1.55,0.52,1.02,43.84
"ENA|OZ210029|OZ210029.1 Xanthoria parietina genome assembly, chromosome: 2",2711500,2724000,12500,24,1.67,0.36,1.31,40.73
"ENA|OZ210028|OZ210028.1 Xanthoria parietina genome assembly, chromosome: 1",399000,404500,5500,10,1.85,0.37,1.48,45.62
"ENA|OZ210028|OZ210028.1 Xanthoria parietina genome assembly, chromosome: 1",1448000,1455500,7500,14,1.72,0.57,1.15,47.95
"ENA|OZ210028|OZ210028.1 Xanthoria parietina genome assembly, chromosome: 1",2472500,2506500,34000,67,1.68,0.25,1.42,38.5
"ENA|OZ210028|OZ210028.1 Xanthoria parietina genome assembly, chromosome: 1",2506500,2524500,18000,35,1.72,0.25,1.47,39.46
"ENA|OZ210028|OZ210028.1 Xanthoria parietina genome assembly, chromosome: 1",3654000,3664500,10500,20,1.56,0.47,1.09,41.71
"ENA|OZ210030|OZ210030.1 Xanthoria parietina genome assembly, chromosome: 3",127000,139000,12000,23,1.57,0.56,1.01,43.95
"ENA|OZ210030|OZ210030.1 Xanthoria parietina genome assembly, chromosome: 3",139500,155500,16000,31,1.54,0.52,1.02,43.71
"ENA|OZ210030|OZ210030.1 Xanthoria parietina genome assembly, chromosome: 3",162000,166500,4500,8,1.47,0.6,0.87,44.33
"ENA|OZ210030|OZ210030.1 Xanthoria parietina genome assembly, chromosome: 3",308500,323500,15000,29,1.67,0.31,1.37,39.05
"ENA|OZ210030|OZ210030.1 Xanthoria parietina genome assembly, chromosome: 3",327000,359500,32500,64,1.68,0.33,1.36,41.43
"ENA|OZ210030|OZ210030.1 Xanthoria parietina genome assembly, chromosome: 3",391000,397500,6500,12,1.59,0.27,1.31,38.71
"ENA|OZ210030|OZ210030.1 Xanthoria parietina genome assembly, chromosome: 3",419500,480500,61000,121,1.64,0.3,1.34,37.88
"ENA|OZ210030|OZ210030.1 Xanthoria parietina genome assembly, chromosome: 3",1087500,1101000,13500,26,1.62,0.38,1.24,40.12
"ENA|OZ210030|OZ210030.1 Xanthoria parietina genome assembly, chromosome: 3",1107500,1159500,52000,103,1.74,0.32,1.42,41.7
"ENA|OZ210030|OZ210030.1 Xanthoria parietina genome assembly, chromosome: 3",1361000,1389000,28000,55,1.7,0.3,1.41,41.52
"ENA|OZ210030|OZ210030.1 Xanthoria parietina genome assembly, chromosome: 3",1596500,1610500,14000,27,1.55,0.44,1.11,40.22
"ENA|OZ210030|OZ210030.1 Xanthoria parietina genome assembly, chromosome: 3",2262000,2269500,7500,14,1.49,0.38,1.11,38.01
"ENA|OZ210031|OZ210031.1 Xanthoria parietina genome assembly, chromosome: 4",0,18000,18000,35,1.56,0.37,1.19,41.54
"ENA|OZ210031|OZ210031.1 Xanthoria parietina genome assembly, chromosome: 4",1623000,1634500,11500,22,1.61,0.36,1.25,40.24
"ENA|OZ210031|OZ210031.1 Xanthoria parietina genome assembly, chromosome: 4",1634500,1651500,17000,33,1.7,0.29,1.41,40.92
"ENA|OZ210031|OZ210031.1 Xanthoria parietina genome assembly, chromosome: 4",1652500,1668500,16000,31,1.69,0.34,1.35,42.3
"ENA|OZ210031|OZ210031.1 Xanthoria parietina genome assembly, chromosome: 4",1668500,1689500,21000,41,1.76,0.32,1.43,42.01
"ENA|OZ210031|OZ210031.1 Xanthoria parietina genome assembly, chromosome: 4",1695000,1700000,5000,9,1.53,0.5,1.03,43.16
"ENA|OZ210031|OZ210031.1 Xanthoria parietina genome assembly, chromosome: 4",1700000,1717000,17000,33,1.73,0.26,1.48,39.48
"ENA|OZ210031|OZ210031.1 Xanthoria parietina genome assembly, chromosome: 4",1895000,1914500,19500,38,1.76,0.33,1.43,42.16
"ENA|OZ210031|OZ210031.1 Xanthoria parietina genome assembly, chromosome: 4",1929000,1945000,16000,31,1.66,0.42,1.24,42.91
"ENA|OZ210033|OZ210033.1 Xanthoria parietina genome assembly, chromosome: 6",23500,28500,5000,9,1.36,0.69,0.67,41
"ENA|OZ210033|OZ210033.1 Xanthoria parietina genome assembly, chromosome: 6",926000,932000,6000,11,1.48,0.53,0.96,39.92
