query	subject	pid	taxid	phylum	class	order	species
XANPARI20_008745-T1	CAL8575827.1	87.075	107463	Ascomycota	Lecanoromycetes	Teloschistales	Xanthoria parietina
XANPARI20_008745-T1	KAI4272362.1	75.172	2903222	Ascomycota	Lecanoromycetes	Teloschistales	Xanthoria sp. 2 TBL-2021
XANPARI20_008745-T1	CAL8575826.1	100	107463	Ascomycota	Lecanoromycetes	Teloschistales	Xanthoria parietina
XANPARI20_008745-T1	KAI4264806.1	65.132	2903220	Ascomycota	Lecanoromycetes	Teloschistales	Xanthoria sp. 1 TBL-2021
XANPARI20_008745-T1	KAI4264806.1	67.308	2903220	Ascomycota	Lecanoromycetes	Teloschistales	Xanthoria sp. 1 TBL-2021
XANPARI20_008745-T1	SLM38074.1	66.154	136370	Ascomycota	Lecanoromycetes	Umbilicariales	Lasallia pustulata
XANPARI20_008745-T1	SLM38074.1	58.036	136370	Ascomycota	Lecanoromycetes	Umbilicariales	Lasallia pustulata
XANPARI20_008745-T1	SLM38074.1	75.758	136370	Ascomycota	Lecanoromycetes	Umbilicariales	Lasallia pustulata
XANPARI20_008745-T1	SLM36576.1	59.603	136370	Ascomycota	Lecanoromycetes	Umbilicariales	Lasallia pustulata
XANPARI20_008745-T1	SLM36576.1	59.603	136370	Ascomycota	Lecanoromycetes	Umbilicariales	Lasallia pustulata
XANPARI20_008745-T1	SLM36576.1	70	136370	Ascomycota	Lecanoromycetes	Umbilicariales	Lasallia pustulata
XANPARI20_008745-T1	SLM36576.1	60.714	136370	Ascomycota	Lecanoromycetes	Umbilicariales	Lasallia pustulata
XANPARI20_008745-T1	SLM36576.1	53.704	136370	Ascomycota	Lecanoromycetes	Umbilicariales	Lasallia pustulata
XANPARI20_008745-T1	SLM36663.1	60.274	136370	Ascomycota	Lecanoromycetes	Umbilicariales	Lasallia pustulata
XANPARI20_008745-T1	SLM36663.1	68.333	136370	Ascomycota	Lecanoromycetes	Umbilicariales	Lasallia pustulata
XANPARI20_008745-T1	SLM36663.1	67.692	136370	Ascomycota	Lecanoromycetes	Umbilicariales	Lasallia pustulata
XANPARI20_008745-T1	SLM36672.1	58.125	136370	Ascomycota	Lecanoromycetes	Umbilicariales	Lasallia pustulata
XANPARI20_008745-T1	SLM36672.1	68.548	136370	Ascomycota	Lecanoromycetes	Umbilicariales	Lasallia pustulata
XANPARI20_008745-T1	SLM36672.1	46.667	136370	Ascomycota	Lecanoromycetes	Umbilicariales	Lasallia pustulata
XANPARI20_008745-T1	SLM36672.1	56.25	136370	Ascomycota	Lecanoromycetes	Umbilicariales	Lasallia pustulata
XANPARI20_008745-T1	SLM36672.1	67.5	136370	Ascomycota	Lecanoromycetes	Umbilicariales	Lasallia pustulata
XANPARI20_008745-T1	SLM36672.1	68.254	136370	Ascomycota	Lecanoromycetes	Umbilicariales	Lasallia pustulata
XANPARI20_008745-T1	KAA6407579.1	58.861	136370	Ascomycota	Lecanoromycetes	Umbilicariales	Lasallia pustulata
XANPARI20_008745-T1	KAA6407579.1	58.278	136370	Ascomycota	Lecanoromycetes	Umbilicariales	Lasallia pustulata
XANPARI20_008745-T1	KAA6407579.1	66.129	136370	Ascomycota	Lecanoromycetes	Umbilicariales	Lasallia pustulata
XANPARI20_008745-T1	KAA6407579.1	66.667	136370	Ascomycota	Lecanoromycetes	Umbilicariales	Lasallia pustulata
XANPARI20_008745-T1	KAA6407579.1	64.8	136370	Ascomycota	Lecanoromycetes	Umbilicariales	Lasallia pustulata
XANPARI20_008745-T1	KAA6407579.1	60.714	136370	Ascomycota	Lecanoromycetes	Umbilicariales	Lasallia pustulata
