Orthogroup	Xanthoria_parietina_SAMEA111342678	Xanthoria_calcicola_GTX0491
OG0000000	XANPAOZ2100_004846-T1	XANCAGTX0491_004828-T1
OG0000000	XANPAOZ2100_002750-T1	XANCAGTX0491_006784-T1
OG0000000	XANPAOZ2100_001258-T1	XANCAGTX0491_002501-T1
OG0000000	XANPAOZ2100_007161-T1	XANCAGTX0491_006655-T1
OG0000000	XANPAOZ2100_005621-T1	XANCAGTX0491_008830-T1
OG0000000	XANPAOZ2100_002767-T1	XANCAGTX0491_006768-T1
OG0000001	XANPAOZ2100_004645-T1	XANCAGTX0491_001389-T1
OG0000001	XANPAOZ2100_003364-T1	XANCAGTX0491_006095-T1
OG0000001	XANPAOZ2100_005121-T1	XANCAGTX0491_005583-T1
OG0000001	XANPAOZ2100_005043-T1	XANCAGTX0491_005665-T1
OG0000001	XANPAOZ2100_006696-T1	XANCAGTX0491_007841-T1
OG0000001	XANPAOZ2100_002754-T1	XANCAGTX0491_006779-T1
OG0000002	XANPAOZ2100_005639-T1	XANCAGTX0491_004802-T1
OG0000002	XANPAOZ2100_000405-T1	XANCAGTX0491_000938-T1
OG0000002	XANPAOZ2100_007195-T1	XANCAGTX0491_008354-T1
OG0000002	XANPAOZ2100_006783-T1	XANCAGTX0491_007749-T1
OG0000002	XANPAOZ2100_006227-T1	XANCAGTX0491_007322-T1, XANCAGTX0491_007322-T2
OG0000003	XANPAOZ2100_007632-T1	XANCAGTX0491_007861-T1
OG0000003	XANPAOZ2100_006353-T1	XANCAGTX0491_007178-T1
OG0000003	XANPAOZ2100_002901-T1	XANCAGTX0491_006619-T1
OG0000003	XANPAOZ2100_004666-T1	XANCAGTX0491_006062-T1
OG0000003	XANPAOZ2100_008743-T1	XANCAGTX0491_009324-T1
OG0000004	XANPAOZ2100_008697-T1	XANCAGTX0491_009977-T1
OG0000004	XANPAOZ2100_000654-T1	XANCAGTX0491_000662-T1
OG0000004	XANPAOZ2100_007164-T1, XANPAOZ2100_002083-T1	XANCAGTX0491_004132-T1
OG0000004	XANPAOZ2100_001035-T1	XANCAGTX0491_000238-T1
OG0000005	XANPAOZ2100_003965-T1	XANCAGTX0491_004176-T3
OG0000005	XANPAOZ2100_002757-T1	XANCAGTX0491_006777-T1
OG0000005	XANPAOZ2100_005616-T1	XANCAGTX0491_008825-T1
OG0000005	XANPAOZ2100_002001-T1	XANCAGTX0491_009334-T1, XANCAGTX0491_003310-T1
OG0000006	XANPAOZ2100_004920-T1	XANCAGTX0491_005799-T1
OG0000006	XANPAOZ2100_006385-T1	XANCAGTX0491_007143-T1
OG0000006	XANPAOZ2100_004206-T1	XANCAGTX0491_001870-T1
OG0000006	XANPAOZ2100_000278-T1	XANCAGTX0491_001080-T1
OG0000007	XANPAOZ2100_007071-T1	XANCAGTX0491_007444-T1
OG0000007	XANPAOZ2100_000320-T1	XANCAGTX0491_001034-T1
OG0000007	XANPAOZ2100_006785-T1	XANCAGTX0491_007747-T1
OG0000007	XANPAOZ2100_003975-T1	XANCAGTX0491_004172-T1
OG0000008	XANPAOZ2100_001795-T1	XANCAGTX0491_003093-T1
OG0000008	XANPAOZ2100_004882-T1	XANCAGTX0491_005842-T1
OG0000008	XANPAOZ2100_002769-T1, XANPAOZ2100_005660-T1, XANPAOZ2100_005659-T1	XANCAGTX0491_008419-T1
OG0000009	XANPAOZ2100_000972-T1	XANCAGTX0491_000311-T1
OG0000009	XANPAOZ2100_003955-T1	XANCAGTX0491_004186-T2, XANCAGTX0491_004186-T1, XANCAGTX0491_000195-T1, XANCAGTX0491_009329-T1
OG0000010	XANPAOZ2100_001529-T1	XANCAGTX0491_002790-T1
OG0000010	XANPAOZ2100_002800-T1	XANCAGTX0491_006733-T1
OG0000010	XANPAOZ2100_005252-T1	XANCAGTX0491_001048-T1, XANCAGTX0491_002791-T1, XANCAGTX0491_006792-T1, XANCAGTX0491_008408-T1
OG0000011	XANPAOZ2100_005754-T1	XANCAGTX0491_004947-T1
OG0000011	XANPAOZ2100_006021-T1	XANCAGTX0491_005248-T1
OG0000011	XANPAOZ2100_000075-T1	XANCAGTX0491_001310-T1
OG0000011	XANPAOZ2100_003690-T1	XANCAGTX0491_004472-T1
OG0000012	XANPAOZ2100_007152-T1	XANCAGTX0491_007361-T1
OG0000012	XANPAOZ2100_002930-T1	XANCAGTX0491_006583-T1
OG0000012	XANPAOZ2100_007148-T1, XANPAOZ2100_005560-T1	XANCAGTX0491_008762-T1
OG0000013	XANPAOZ2100_001132-T1	XANCAGTX0491_000132-T1
OG0000013	XANPAOZ2100_006289-T1	XANCAGTX0491_007246-T1
OG0000013	XANPAOZ2100_004009-T1	XANCAGTX0491_007248-T1
OG0000013	XANPAOZ2100_008570-T1	XANCAGTX0491_009822-T1
OG0000014	XANPAOZ2100_003785-T1	XANCAGTX0491_004370-T1, XANCAGTX0491_004370-T2
OG0000014	XANPAOZ2100_008410-T1	XANCAGTX0491_002084-T1
OG0000014	XANPAOZ2100_000518-T1	XANCAGTX0491_000814-T1
OG0000015	XANPAOZ2100_001661-T1	XANCAGTX0491_002932-T3, XANCAGTX0491_002932-T2
OG0000015	XANPAOZ2100_006771-T1	XANCAGTX0491_007761-T1
OG0000016	XANPAOZ2100_002730-T1	XANCAGTX0491_003416-T1
OG0000016	XANPAOZ2100_002036-T1	XANCAGTX0491_008401-T1, XANCAGTX0491_008171-T1, XANCAGTX0491_005756-T1, XANCAGTX0491_003348-T1, XANCAGTX0491_003347-T1
OG0000017	XANPAOZ2100_002044-T1	XANCAGTX0491_003357-T1
OG0000017	XANPAOZ2100_002042-T1	XANCAGTX0491_003356-T1
OG0000018	XANPAOZ2100_005110-T1	XANCAGTX0491_005596-T1
OG0000018	XANPAOZ2100_008685-T1	XANCAGTX0491_009963-T1
OG0000018	XANPAOZ2100_004584-T1	XANCAGTX0491_001449-T1
OG0000019	XANPAOZ2100_004998-T1	XANCAGTX0491_005715-T1
OG0000019	XANPAOZ2100_001254-T1	XANCAGTX0491_002497-T1
OG0000019	XANPAOZ2100_003981-T1	XANCAGTX0491_004167-T1
OG0000020	XANPAOZ2100_008762-T1	XANCAGTX0491_009348-T1
OG0000020	XANPAOZ2100_003338-T1	XANCAGTX0491_006126-T1
OG0000021	XANPAOZ2100_005138-T1	XANCAGTX0491_005563-T1
OG0000021	XANPAOZ2100_001077-T1	XANCAGTX0491_000189-T1
OG0000021	XANPAOZ2100_005730-T1	XANCAGTX0491_004902-T1
OG0000022	XANPAOZ2100_001397-T1	XANCAGTX0491_002651-T1
OG0000022	XANPAOZ2100_000123-T1	XANCAGTX0491_001247-T1
OG0000022	XANPAOZ2100_009028-T1	XANCAGTX0491_009628-T1
OG0000023	XANPAOZ2100_004056-T1	XANCAGTX0491_002029-T1
OG0000023	XANPAOZ2100_001855-T1	XANCAGTX0491_003157-T1
OG0000023	XANPAOZ2100_000068-T1	XANCAGTX0491_004715-T1, XANCAGTX0491_001317-T1
OG0000024	XANPAOZ2100_004069-T1	XANCAGTX0491_002016-T1
OG0000024	XANPAOZ2100_004658-T1	XANCAGTX0491_006074-T1
OG0000024	XANPAOZ2100_001649-T1	XANCAGTX0491_002919-T1
OG0000025	XANPAOZ2100_008050-T1	XANCAGTX0491_008844-T1
OG0000025	XANPAOZ2100_008393-T1	XANCAGTX0491_002101-T1
OG0000026	XANPAOZ2100_008506-T1	XANCAGTX0491_009754-T1
OG0000026	XANPAOZ2100_008064-T1	XANCAGTX0491_002472-T1
OG0000026	XANPAOZ2100_001441-T1	XANCAGTX0491_002702-T1
