#1_usercol	2_usercol	3_usercol	4_pct_at	5_pct_gc	6_num_A	7_num_C	8_num_G	9_num_T	10_num_N	11_num_oth	12_seq_len
scaffold_1	0	10000	0.487900	0.512100	2386	2690	2431	2493	0	0	10000
scaffold_1	10000	20000	0.478900	0.521100	2314	2637	2574	2475	0	0	10000
scaffold_1	20000	30000	0.483900	0.516100	2507	2580	2581	2332	0	0	10000
scaffold_1	30000	40000	0.490900	0.509100	2466	2478	2613	2443	0	0	10000
scaffold_1	40000	50000	0.487800	0.512200	2589	2613	2509	2289	0	0	10000
scaffold_1	50000	60000	0.497300	0.502700	2531	2546	2481	2442	0	0	10000
scaffold_1	60000	70000	0.458800	0.541200	2152	2578	2834	2436	0	0	10000
scaffold_1	70000	80000	0.479900	0.520100	2536	2663	2538	2263	0	0	10000
scaffold_1	80000	90000	0.476600	0.523400	2438	2590	2644	2328	0	0	10000
scaffold_1	90000	100000	0.481200	0.518800	2356	2606	2582	2456	0	0	10000
scaffold_1	100000	110000	0.483800	0.516200	2378	2571	2591	2460	0	0	10000
scaffold_1	110000	120000	0.481600	0.518400	2344	2529	2655	2472	0	0	10000
scaffold_1	120000	130000	0.485400	0.514600	2348	2526	2620	2506	0	0	10000
scaffold_1	130000	140000	0.496000	0.504000	2406	2455	2585	2554	0	0	10000
scaffold_1	140000	150000	0.490600	0.509400	2404	2557	2537	2502	0	0	10000
scaffold_1	150000	160000	0.494300	0.505700	2448	2520	2537	2495	0	0	10000
scaffold_1	160000	170000	0.458000	0.542000	2364	2660	2760	2216	0	0	10000
scaffold_1	170000	180000	0.488100	0.511900	2441	2653	2466	2440	0	0	10000
scaffold_1	180000	190000	0.486200	0.513800	2348	2550	2588	2514	0	0	10000
scaffold_1	190000	200000	0.472800	0.527200	2378	2799	2473	2350	0	0	10000
scaffold_1	200000	210000	0.488500	0.511500	2418	2567	2548	2467	0	0	10000
scaffold_1	210000	220000	0.482900	0.517100	2478	2559	2612	2351	0	0	10000
scaffold_1	220000	230000	0.478200	0.521800	2446	2615	2603	2336	0	0	10000
scaffold_1	230000	240000	0.492200	0.507800	2468	2532	2546	2454	0	0	10000
scaffold_1	240000	250000	0.499700	0.500300	2546	2337	2666	2451	0	0	10000
scaffold_1	250000	260000	0.467900	0.532100	2528	2770	2551	2151	0	0	10000
