geneID	familyID
HEPHAESTUS_Pvar-Captain	fam02
Starship-1_Afel-Captain	fam02
Starship-1_Afum-Captain	fam02
aspfum4_KMK55507.1	fam02
aspaff1_tyr364	fam02
aspche2_tyr890	fam02
aspsyd2_tyr2767	fam02
Starship-1_Tmar-Captain	fam02
talver1_KUL81284.1	fam02
aspbru4_tyr759	fam02
cocimm1_628	fam02
blader3_11177	fam02
pyrtri9_PZD23847.1	fam04
pyrtri1_EDU47821.1	fam04
didker1_KAF3049100.1	fam04
lopmac1_KAF2650664.1	fam04
polfus1_599705	fam04
verena1_584247	fam04
cengeo1_566735	fam04
cengeo1_591310	fam04
cengeo1_tyr3807	fam04
leppal1_OCK79459.1	fam04
claban1_134700	fam04
amores1_PSS18287.1	fam04
oidmai1_93661	fam04
cadsp.2_KAG4439199.1	fam04
rhesp.1_14923	fam04
amyenc1_547861	fam04
cadmal1_KAG4411212.1	fam04
sclcep1_KAF7870603.1	fam04
psesp.5_10301	fam04
cyloli1_552812	fam04
stacha2_KFA51963.1	fam04
plecuc2_353822	fam04
verdah2_tyr10676	fam04
monsp.2_RYP32009.1	fam04
fussub5_tyr6719	fam04
hirrho1_KAH0968669.1	fam04
hirrho1_KAH0968736.1	fam04
neodit1_2170	fam04
madmyc1_9889	fam04
micbol1_109359	fam04
xylcur2_595032	fam04
helsp.4_KAE8442194.1	fam04
Phoenix_Mpha_mp053-Captain	fam01
chasp.7_RMZ87469.1	fam01
rhimac1_8905	fam01
beabas1_10225	fam01
metacr1_9181	fam01
metrob3_tyr8212	fam01
ilysp.2_681009	fam01
podcom1_tyr9194	fam01
aspasp2_tyr552	fam01
paeniv1_69520	fam01
penoxa1_tyr8890	fam01
penrub2_KAF3021169.1	fam01
permac1_395901	fam01
tribis1_522931	fam01
amores1_PSS18505.1	fam01
scylig1_RFU28318.1	fam01
cudaci1_KAF4633412.1	fam01
metacr1_9370	fam01
metmaj1_1405	fam01
metrob3_EFZ00634.1	fam01
stachl1_3593	fam01
phamin1_EOO01307.1	fam01
fusxyl4_KAG5801712.1	fam01
fusxyl9_tyr7052	fam01
fusoxy42_ENH71189.1	fam01
fusalb2_tyr5195	fam01
fusvan1_EEU40131.1	fam01
metgui1_4539	fam01
isafum1_tyr7682	fam01
metrob3_EFZ04323.1	fam01
dalgra1_449726	fam01
kredeu2_484721	fam01
spoins1_661	fam01
monsp.8_RYP61190.1	fam01
botpae1_TGO22912.1	fam01
monfru1_KAA8565543.1	fam01
rutsp.2_PQE09269.1	fam01
rutsp.2_PQE27491.1	fam01
rutsp.2_PQE07086.1	fam01
sclcep1_KAF7865656.1	fam01
clorhi1_VUC06060.1	fam01
fusbur1_tyr5345	fam01
fushae3_tyr5936	fam01
fusman2_tyr6048	fam01
stacha2_KFA55155.1	fam01
fusbra1_tyr5309	fam01
fusven3_tyr6863	fam01
fustuc1_tyr6790	fam01
fusoxy45_KAG7413195.1	fam01
fusfus31_tyr5721	fam01
fusfus24_tyr5659	fam01
colsoj1_KAF6812414.1	fam01
dacmac1_34260	fam01
fusfal1_tyr5526	fam01
fusfus38_tyr5754	fam01
consp.1_1039156	fam01
crypar1_KAF3763489.1	fam01
monsp.2_RYP22820.1	fam01
