Name,Xanthoria_parietina_SAMEA111342678.scaffolds.fa
Genome Size (bp),30389298
Count of Genomic Windows Investigated,60778
GC Content of Genome Assembly (%),50.55
Number of RIP Affected Windows,6990
RIP Affected Genomic Proportion (%),11.5
Count of LRARs,211
Average Size of LRARs (bp),15582.94
Average GC Content of LRARs (%),41.08
Genomic Proportion of LRARs (bp),3288000
Product Value for LRARs,1.61
Substrate Value for LRARs,0.4
Composite Value for LRARs,1.21
