Sequence	CB_Domain	Between_CB_and_CAT_Domains	CAT_Domain	Total_Length
CryptonF-1_RhMu	63	22	158	317
CryptonF-5_PI_1p	60	21	169	319
CryptonF-2_PS_1p	67	21	166	328
mytres1_375477	36	29	118	225
lacari1_TVY13717.1	63	29	213	378
umbilicaria.nylanderiana.2_tyr507	7	25	247	644
umbilicaria.crustulosa.1_tyr673	7	25	247	644
umbilicaria.crustulosa.2_tyr2367	44	29	247	685
pseudevernia.furfuracea.3_tyr1235	0	16	210	500
peltigera.leucophlebia.1_tyr4120	1	0	197	310
pseudopyrenochaetaceae.sp..1_tyr1768	59	29	245	641
flavoplaca.sp..1_tyr2392	59	29	249	647
fuscopannaria.leucosticta.1_tyr648	71	29	228	419
penzon1_tyr9052	0	0	123	130
botdot1_290492	74	25	247	400
lasthe3_KAB2568541.1	74	28	247	434
lambiella.insularis.1_tyr3854	55	29	252	626
racant1_OQN95408.1	55	25	210	333
teratosphaeriaceae.sp..1_tyr929	29	0	277	510
teratosphaeriaceae.sp..1_tyr3627	63	33	243	540
phaeophyscia.squarrosa.1_tyr26	0	18	271	580
gallowayella.fulva.1_tyr2086	0	0	227	518
gallowayella.fulva.1_tyr2765	0	0	201	492
leucodermia.appalachiensis.1_tyr2089	56	26	245	618
phaeophyscia.squarrosa.1_tyr1631	31	26	245	593
heterodermia.speciosa.2_tyr1797	56	19	271	637
leucodermia.leucomelos.1_tyr398	45	26	211	572
fulgogasparrea.decipioides.1_tyr1677	56	19	271	637
wetmoreana.sp..1_tyr1795	56	19	271	637
polycauliona.sp..2_tyr2944	56	19	271	637
rusavskia.elegans.1_tyr2539	56	26	271	644
teloschistes.peruensis.1_tyr622	56	19	206	572
letrouitia.transgressa.2_tyr3948	56	26	271	644
flavoplaca.marina.2_tyr3240	56	26	271	644
teloschistes.chrysophthalmus.2_tyr2575	56	26	271	644
teloschistes.peruensis.1_tyr2131	28	26	271	616
gallowayella.weberi.2_tyr270	56	26	271	542
flavoplaca.marina.2_tyr1711	56	13	200	523
gallowayella.fulva.1_tyr3492	7	0	222	516
phaeophyscia.rubropulchra.1_tyr81	56	26	245	618
gypsoplaca.macrophylla.1_tyr2878	56	26	271	632
umbilicaria.deusta.1_tyr133	29	18	270	610
umbilicaria.deusta.3_tyr138	29	18	270	610
umbilicaria.deusta.2_tyr2078	29	18	270	610
stereocaulon.virgatum.1_tyr1769	29	18	271	470
cladonia.sp..6_tyr2495	18	18	250	553
cladonia.sp..7_tyr2922	18	18	250	553
teloschistes.peruensis.1_tyr1355	56	13	237	372
cladonia.sp..7_tyr2860	56	26	271	618
cladonia.sp..6_tyr3316	56	26	271	618
lecanorales.sp..2_tyr2988	56	26	245	620
stereocaulon.dactylophyllum.1_tyr2212	56	26	271	407
teloschistales.sp..1_tyr3354	56	26	245	599
botryolepraria.lesdainii.1_tyr3615	56	26	233	503
teloschistes.exilis.1_tyr3644	46	0	239	475
teloschistes.chrysophthalmus.2_tyr3936	56	15	271	531
lecanorales.sp..1_tyr1731	56	26	245	520
xanthoria.sp..1_tyr2319	28	26	271	483
cladonia.petrophila.1_tyr460	56	26	159	534
cladonia.sp..3_tyr2825	56	26	159	534
cladonia.petrophila.1_tyr2138	13	14	218	538
cladonia.sp..3_tyr4170	13	14	218	538
cladonia.diversa.1_tyr1586	56	22	196	483
cladonia.diversa.2_tyr3489	56	22	196	483
lecanorales.sp..1_tyr2329	56	26	211	477
cladonia.diversa.2_tyr1126	46	10	193	463
cladonia.diversa.1_tyr1585	56	23	193	486
xanthomendoza.sp..2_tyr366	56	26	222	530
cladonia.squamosa.1_tyr2236	26	13	237	398
usnea.subfusca.1_tyr1690	56	14	210	527
parmeliaceae.sp..14_tyr3289	56	14	210	527
umbilicaria.spodochroa.4_tyr2482	56	26	200	475
pseudevernia.furfuracea.3_tyr1236	73	30	248	651
pseudevernia.furfuracea.2_tyr3696	73	30	248	651
pseudevernia.furfuracea.1_tyr3867	9	30	248	537
cladonia.sp..2_tyr949	56	26	245	620
cladonia.robbinsii.1_tyr1298	56	26	245	620
cladonia.sp..6_tyr2494	56	16	225	593
cladonia.sp..7_tyr2921	56	16	225	593
peltigera.phyllidiosa.1_tyr3502	23	22	216	556
peltigera.hydrothyria.1_tyr2255	56	26	245	624
peltigera.leucophlebia.1_tyr2401	43	12	205	421
peltigera.hydrothyria.1_tyr3639	56	26	233	332
varicellaria.rhodocarpa.2_tyr915	56	26	245	623
varicellaria.rhodocarpa.1_tyr3309	0	13	245	554
lecanora.atra.1_tyr3919	0	5	242	332
brianaria.bauschiana.1_tyr1134	56	26	245	619
massalongia.carnosa.1_tyr1843	45	26	237	549
solorina.crocea.1_tyr1256	74	45	249	660
solorina.crocea.1_tyr1762	41	45	245	351
porpidia.crustulata.1_tyr1268	73	19	224	634
lepraria.neglecta.1_tyr3770	56	27	204	584
massalongia.carnosa.1_tyr1395	56	13	240	592
massalongia.carnosa.1_tyr3312	56	13	240	595
massalongia.carnosa.1_tyr2628	2	0	190	443
massalongia.carnosa.1_tyr2919	48	25	246	528
massalongia.carnosa.1_tyr2747	48	25	195	558
massalongia.carnosa.1_tyr2748	48	25	195	558
byssoloma.meadii.1_tyr551	12	26	240	557
umbilicaria.crustulosa.2_tyr14	56	45	228	626
umbilicaria.deusta.2_tyr63	73	45	246	682
umbilicaria.deusta.1_tyr3061	73	45	246	682
umbilicaria.deusta.3_tyr3703	73	45	246	682
umbilicaria.crustulosa.1_tyr451	73	45	246	682
umbilicaria.polyphylla.3_tyr509	56	45	245	643
umbilicaria.subpolyphylla.1_tyr1239	56	45	245	643
umbilicaria.iberica.2_tyr2886	56	45	245	643
umbilicaria.crustulosa.2_tyr2753	56	45	245	643
umbilicaria.spodochroa.2_tyr1540	56	45	246	601
umbilicaria.iberica.3_tyr1100	32	45	245	619
umbilicaria.nylanderiana.1_tyr722	56	45	228	524
umbilicaria.polyphylla.3_tyr3787	32	45	228	588
umbilicaria.iberica.1_tyr2631	32	45	228	511
umbilicaria.polyphylla.3_tyr779	32	45	228	412
umbilicaria.polyphylla.1_tyr2013	50	45	219	597
umbilicaria.subpolyphylla.1_tyr885	30	13	215	474
umbilicaria.iberica.2_tyr1990	30	13	215	474
umbilicaria.polyphylla.3_tyr3786	0	40	221	281
cladonia.squamosa.3_tyr2801	56	22	245	511
phyllopsora.corallina.1_tyr576	56	13	178	414
lecanoromycetes.sp..3_tyr3889	0	0	139	306
lecanorales.sp..5_tyr406	53	25	246	613
lecanora.strobilina.1_tyr2362	54	25	265	632
lecanora.albella.1_tyr2031	54	26	262	523
XpGTX0501_010572-T1	43	13	190	432
polycauliona.sp..2_tyr1999	57	26	245	588
gyalolechia.marmorata.1_tyr2287	26	13	120	209
flavoplaca.austrocitrina.1_tyr2357	0	10	210	245
stictis.urceolata.2_tyr149	55	26	217	599
stictis.urceolata.1_tyr1403	55	26	217	599
thelotrema.lepadinum.2_tyr561	55	28	245	625
thelotrema.lepadinum.1_tyr2650	55	28	245	625
stictis.urceolata.2_tyr1426	56	30	188	579
stictis.urceolata.1_tyr1760	56	30	244	635
trapelia.coarctata.1_tyr166	45	11	223	287
lambiella.insularis.1_tyr652	55	26	242	585
trapelia.coarctata.1_tyr3016	0	0	205	294
micareopsis.irriguata.1_tyr737	40	26	170	401
peltigera.hydrothyria.1_tyr298	46	13	230	424
solorina.crocea.1_tyr3472	56	26	176	435
ramalina.siliquosa.1_tyr3935	45	16	175	266
porina.heterospora.1_tyr569	4	9	241	549
mycosphaerellales.sp..2_tyr758	73	30	245	693
mycosphaerellales.sp..1_tyr2339	4	9	234	282
buellia.spuria.2_tyr1900	35	13	232	425
lepraria.neglecta.1_tyr2382	28	9	202	424
heterodermia.speciosa.2_tyr3362	36	9	190	525
phyllopsora.corallina.1_tyr522	9	45	180	274
lecanoromycetes.sp..3_tyr978	9	45	180	274
ramalina.thrausta.1_tyr185	0	13	228	289
ramalina.petrina.1_tyr3342	0	13	228	504
circinaria.calcarea.1_tyr3668	56	32	246	622
nadvornikia.sorediata.1_tyr3380	56	30	228	608
thelotrema.lepadinum.1_tyr3674	0	12	214	246
xylographa.bjoerkii.1_tyr2039	52	0	169	260
teratosphaeriaceae.sp..1_tyr277	0	0	205	419
teratosphaeriaceae.sp..1_tyr2580	0	0	150	209
asptan1_tyr2879	0	0	161	173
exosid1_tyr5117	67	26	192	333
cladophialophora.endolichena.1_tyr430	72	47	245	700
elagra2_6724	20	16	165	244
umbilicaria.vellea.1_tyr4141	72	30	244	692
lepraria.sp..1_tyr911	0	0	215	518
lepraria.oxybapha.1_tyr2815	0	0	215	518
umbilicaria.crustulosa.1_tyr1108	34	0	213	506
umbilicaria.crustulosa.2_tyr1382	42	0	183	253
porpidia.macrocarpa.1_tyr578	0	14	187	229
nadvornikia.sorediata.1_tyr881	54	28	231	341
nadvornikia.sorediata.1_tyr3379	57	29	243	661
pseudosagedia.sp..1_tyr3004	53	45	241	659
umbilicaria.spodochroa.4_tyr1177	8	47	222	398
stictis.urceolata.2_tyr1764	53	28	247	648
stictis.urceolata.1_tyr2397	53	28	247	648
stictis.urceolata.2_tyr738	53	25	243	633
stictis.urceolata.1_tyr2464	53	25	243	633
acanthothecis.fontana.1_tyr2875	53	28	246	640
trapelia.coarctata.1_tyr3269	60	30	246	653
umbilicaria.crustulosa.1_tyr450	53	19	247	631
umbilicaria.crustulosa.2_tyr1386	53	28	247	640
umbilicaria.crustulosa.3_tyr2757	53	28	247	640
umbilicaria.mammulata.1_tyr3067	57	48	234	367
phlyctis.petraea.1_tyr2956	55	29	234	338
porina.heterospora.1_tyr1249	0	23	247	575
opegrapha.moroziana.1_tyr3182	55	28	231	342
cladonia.sp..8_tyr24	53	28	243	627
cladonia.subtenuis.1_tyr676	53	28	243	627
cladonia.petrophila.1_tyr211	53	28	243	627
cladonia.sp..3_tyr3641	53	28	243	627
cladonia.ochrochlora.1_tyr1069	53	28	245	629
cladonia.pyxidata.1_tyr2964	54	28	245	634
cladonia.rangiferina.2_tyr2351	0	0	198	410
parmeliaceae.sp..2_tyr3179	53	30	243	634
usnea.merrillii.1_tyr1195	53	20	220	300
usnea.merrillii.1_tyr2828	53	20	221	603
evernia.prunastri.1_tyr3751	53	30	243	635
platismatia.glauca.1_tyr3613	53	30	243	634
evernia.prunastri.1_tyr2325	53	30	243	634
imshaugia.aleurites.1_tyr2620	53	30	243	630
imshaugia.aleurites.2_tyr2746	53	30	243	630
imshaugia.aleurites.2_tyr183	53	30	243	631
imshaugia.aleurites.1_tyr890	53	30	243	631
usnea.halei.1_tyr3825	22	29	243	459
crespoa.crozalsiana.1_tyr3017	53	30	243	635
usnea.hakonensis.1_tyr792	27	30	243	604
parmeliaceae.sp..6_tyr3757	53	30	243	635
usnea.hakonensis.1_tyr2018	22	29	243	599
parmeliaceae.sp..3_tyr570	53	30	243	631
parmotrema.hypotropum.1_tyr1906	53	30	243	631
cetrelia.chicitae.1_tyr1584	0	0	212	517
bulbothrix.scortella.1_tyr2019	53	30	243	635
usnea.hakonensis.1_tyr4165	53	15	221	594
parmotrema.hypotropum.1_tyr1144	53	30	243	631
parmotrema.perlatum.1_tyr3500	0	9	243	557
parmeliaceae.sp..2_tyr1548	53	30	243	630
bulbothrix.scortella.1_tyr1565	53	30	243	635
parmeliaceae.sp..15_tyr1785	53	30	234	440
umbilicaria.subpolyphylla.1_tyr886	53	30	243	631
umbilicaria.iberica.2_tyr1991	53	30	243	631
evernia.prunastri.1_tyr3467	53	30	243	631
platismatia.glauca.1_tyr1012	53	30	243	631
bryoria.fremontii.1_tyr796	3	11	243	375
pseudephebe.minuscula.1_tyr3984	53	30	243	631
evernia.divaricata.1_tyr246	0	0	179	226
evernia.prunastri.1_tyr3163	53	28	243	590
pseudevernia.cladonia.1_tyr1027	53	30	243	630
usnea.hakonensis.1_tyr3823	0	0	210	217
pseudevernia.consocians.1_tyr3771	3	11	243	561
usnea.hakonensis.1_tyr1050	3	11	243	510
pseudevernia.consocians.1_tyr2995	0	0	242	522
parmeliaceae.sp..6_tyr1684	0	0	204	330
evernia.prunastri.1_tyr3749	72	30	242	400
platismatia.glauca.1_tyr3612	72	30	243	401
flavopunctelia.flaventior.1_tyr3604	72	29	237	394
platismatia.glauca.1_tyr3812	53	29	243	633
platismatia.glauca.2_tyr3893	53	29	243	633
usnea.hakonensis.1_tyr513	7	28	230	293
stereocaulon.dactylophyllum.1_tyr2235	3	11	243	383
platismatia.glauca.1_tyr1582	53	30	243	577
usnea.merrillii.1_tyr3933	3	11	198	218
platismatia.glauca.3_tyr2295	53	29	242	331
pseudevernia.furfuracea.4_tyr3413	0	16	223	264
platismatia.glauca.3_tyr1502	33	30	243	563
usnea.hakonensis.1_tyr2187	53	14	202	299
