#1_usercol	2_usercol	3_usercol	4_pct_at	5_pct_gc	6_num_A	7_num_C	8_num_G	9_num_T	10_num_N	11_num_oth	12_seq_len
ENA|OZ210028|OZ210028.1	0	10000	0.548800	0.431200	2505	2350	1962	2983	200	0	10000
ENA|OZ210028|OZ210028.1	10000	20000	0.526400	0.473600	2488	2559	2177	2776	0	0	10000
ENA|OZ210028|OZ210028.1	20000	30000	0.486600	0.513400	2515	2437	2697	2351	0	0	10000
ENA|OZ210028|OZ210028.1	30000	40000	0.481500	0.518500	2368	2604	2581	2447	0	0	10000
ENA|OZ210028|OZ210028.1	40000	50000	0.490800	0.509200	2493	2463	2629	2415	0	0	10000
ENA|OZ210028|OZ210028.1	50000	60000	0.479900	0.520100	2492	2662	2539	2307	0	0	10000
ENA|OZ210028|OZ210028.1	60000	70000	0.471500	0.528500	2394	2679	2606	2321	0	0	10000
ENA|OZ210028|OZ210028.1	70000	80000	0.468800	0.531200	2433	2710	2602	2255	0	0	10000
ENA|OZ210028|OZ210028.1	80000	90000	0.474700	0.525300	2327	2624	2629	2420	0	0	10000
ENA|OZ210028|OZ210028.1	90000	100000	0.481000	0.519000	2423	2541	2649	2387	0	0	10000
ENA|OZ210028|OZ210028.1	100000	110000	0.490700	0.509300	2450	2508	2585	2457	0	0	10000
ENA|OZ210028|OZ210028.1	110000	120000	0.461900	0.538100	2354	2579	2802	2265	0	0	10000
ENA|OZ210028|OZ210028.1	120000	130000	0.473600	0.526400	2319	2731	2533	2417	0	0	10000
ENA|OZ210028|OZ210028.1	130000	140000	0.485600	0.514400	2384	2495	2649	2472	0	0	10000
ENA|OZ210028|OZ210028.1	140000	150000	0.490800	0.509200	2593	2632	2460	2315	0	0	10000
ENA|OZ210028|OZ210028.1	150000	160000	0.480300	0.519700	2412	2507	2690	2391	0	0	10000
ENA|OZ210028|OZ210028.1	160000	170000	0.481400	0.518600	2518	2600	2586	2296	0	0	10000
ENA|OZ210028|OZ210028.1	170000	180000	0.474600	0.525400	2486	2892	2362	2260	0	0	10000
ENA|OZ210028|OZ210028.1	180000	190000	0.478400	0.521600	2366	2538	2678	2418	0	0	10000
ENA|OZ210028|OZ210028.1	190000	200000	0.479300	0.520700	2406	2638	2569	2387	0	0	10000
ENA|OZ210028|OZ210028.1	200000	210000	0.492200	0.507800	2455	2601	2477	2467	0	0	10000
ENA|OZ210028|OZ210028.1	210000	220000	0.468100	0.531900	2305	2571	2748	2376	0	0	10000
ENA|OZ210028|OZ210028.1	220000	230000	0.498400	0.501600	2561	2481	2535	2423	0	0	10000
ENA|OZ210028|OZ210028.1	230000	240000	0.471400	0.528600	2516	2624	2662	2198	0	0	10000
ENA|OZ210028|OZ210028.1	240000	250000	0.494200	0.505800	2629	2534	2524	2313	0	0	10000
ENA|OZ210028|OZ210028.1	250000	260000	0.465700	0.534300	2344	2748	2595	2313	0	0	10000
ENA|OZ210028|OZ210028.1	260000	270000	0.497100	0.502900	2547	2585	2444	2424	0	0	10000
ENA|OZ210028|OZ210028.1	270000	280000	0.491300	0.508700	2474	2623	2464	2439	0	0	10000
ENA|OZ210028|OZ210028.1	280000	290000	0.480500	0.519500	2295	2514	2681	2510	0	0	10000
ENA|OZ210028|OZ210028.1	290000	300000	0.470200	0.509800	2356	2576	2522	2346	200	0	10000
ENA|OZ210028|OZ210028.1	300000	310000	0.476200	0.523800	2312	2644	2594	2450	0	0	10000
ENA|OZ210028|OZ210028.1	310000	320000	0.462800	0.537200	2417	2710	2662	2211	0	0	10000
ENA|OZ210028|OZ210028.1	320000	330000	0.490400	0.509600	2999	2547	2549	1905	0	0	10000
ENA|OZ210028|OZ210028.1	330000	340000	0.462500	0.537500	2541	2633	2742	2084	0	0	10000
ENA|OZ210028|OZ210028.1	340000	350000	0.471200	0.528800	2227	2640	2648	2485	0	0	10000
ENA|OZ210028|OZ210028.1	350000	360000	0.478800	0.521200	2255	2688	2524	2533	0	0	10000
ENA|OZ210028|OZ210028.1	360000	370000	0.507800	0.492200	2502	2529	2393	2576	0	0	10000
ENA|OZ210028|OZ210028.1	370000	380000	0.497200	0.502800	2455	2437	2591	2517	0	0	10000
ENA|OZ210028|OZ210028.1	380000	390000	0.497900	0.502100	2558	2482	2539	2421	0	0	10000
ENA|OZ210028|OZ210028.1	390000	400000	0.516200	0.483800	2588	2426	2412	2574	0	0	10000
ENA|OZ210028|OZ210028.1	400000	410000	0.505500	0.494500	2329	2663	2282	2726	0	0	10000
ENA|OZ210028|OZ210028.1	410000	420000	0.472900	0.527100	2363	2691	2580	2366	0	0	10000
ENA|OZ210028|OZ210028.1	420000	430000	0.490400	0.509600	2436	2527	2569	2468	0	0	10000
ENA|OZ210028|OZ210028.1	430000	440000	0.452900	0.547100	2196	2536	2935	2333	0	0	10000
ENA|OZ210028|OZ210028.1	440000	450000	0.480600	0.519400	2471	2730	2464	2335	0	0	10000
ENA|OZ210028|OZ210028.1	450000	460000	0.445300	0.534700	2136	2657	2690	2317	200	0	10000
ENA|OZ210028|OZ210028.1	460000	470000	0.444300	0.555700	2222	2789	2768	2221	0	0	10000
ENA|OZ210028|OZ210028.1	470000	480000	0.461900	0.538100	2364	2752	2629	2255	0	0	10000
ENA|OZ210028|OZ210028.1	480000	490000	0.470400	0.529600	2462	2639	2657	2242	0	0	10000
