omeID	taxonID	tyrCount	elementCount
aaoarx1	Dothideomycetes	4	0
abobie2	Agaricomycetes	0	0
absgla1	Mucoromycotina	0	0
absrep1	Mucoromycotina	0	0
acaing1	Ustilaginomycotina	0	0
acastr1	Lecanoromycetes	2	0
acemac1	Leotiomycetes	15	0
aciric2	Dothideomycetes	4	0
acisp.1	Dothideomycetes	3	0
acrchr1	Sordariomycetes	2	0
actamb1	Mortierellomycotina	0	0
actamb2	Mortierellomycotina	0	0
actamb3	Mortierellomycotina	0	0
actwol1	Mortierellomycotina	0	0
actwol2	Mortierellomycotina	0	0
agabis1	Agaricomycetes	0	0
agabis2	Agaricomycetes	0	0
agabis3	Agaricomycetes	0	0
agraeg1	Agaricomycetes	0	0
agrped1	Agaricomycetes	0	0
akalec1	Sordariomycetes	5	0
akalec2	Sordariomycetes	0	0
alefal1	Lecanoromycetes	1	0
altals1	Dothideomycetes	3	1
altalt10	Dothideomycetes	0	0
altalt11	Dothideomycetes	3	2
altalt12	Dothideomycetes	3	1
altalt13	Dothideomycetes	3	2
altalt14	Dothideomycetes	1	0
altalt4	Dothideomycetes	1	0
altalt5	Dothideomycetes	1	0
altalt6	Dothideomycetes	1	0
altalt7	Dothideomycetes	3	3
altalt8	Dothideomycetes	2	2
altalt9	Dothideomycetes	3	3
altarb1	Dothideomycetes	1	0
altarb2	Dothideomycetes	1	0
altarb3	Dothideomycetes	4	0
altarb4	Dothideomycetes	3	1
altarb5	Dothideomycetes	6	0
altarb6	Dothideomycetes	1	0
altarb7	Dothideomycetes	4	0
altatr1	Dothideomycetes	13	1
altatr2	Dothideomycetes	5	0
altbra1	Dothideomycetes	0	0
altbra2	Dothideomycetes	0	0
altbra3	Dothideomycetes	13	0
altbur1	Dothideomycetes	0	0
altcon1	Dothideomycetes	7	3
altgai1	Dothideomycetes	5	1
altgan1	Dothideomycetes	5	0
altgan2	Dothideomycetes	5	0
altlon1	Dothideomycetes	12	8
altpan1	Dothideomycetes	1	0
altros1	Dothideomycetes	5	0
altros2	Dothideomycetes	5	0
altsol1	Dothideomycetes	1	0
altsol2	Dothideomycetes	3	2
altsp.4	Dothideomycetes	6	0
altten1	Dothideomycetes	1	0
altten2	Dothideomycetes	0	0
altten3	Dothideomycetes	2	0
altten4	Dothideomycetes	4	0
altten5	Dothideomycetes	3	0
altten6	Dothideomycetes	1	1
altten7	Dothideomycetes	4	0
altten8	Dothideomycetes	2	0
amabis1	Agaricomycetes	0	0
amabru1	Agaricomycetes	0	0
amacit2	Agaricomycetes	0	0
amaino1	Agaricomycetes	0	0
amajac1	Agaricomycetes	0	0
amamus4	Agaricomycetes	1	0
amamus5	Agaricomycetes	0	0
amamus6	Agaricomycetes	0	0
amapha1	Agaricomycetes	0	0
amapol1	Agaricomycetes	0	0
amapse1	Agaricomycetes	1	0
amareg1	Agaricomycetes	0	0
amarub1	Agaricomycetes	0	0
