omeID	taxonID	taxonCount	tyrCount	elementCount
aaoarx1	Aaosphaeria arxii	1	4	0
abobie2	Abortiporus biennis	1	0	0
absgla1	Absidia glauca	1	0	0
absrep1	Absidia repens	1	0	0
acaing1	Acaromyces ingoldii	1	0	0
acastr1	Acarospora strigata	1	2	0
acemac1	Acephala macrosclerotiorum	1	15	0
aciric2	Acidomyces richmondensis	1	4	0
acisp.1	Acidomyces sp.	1	3	0
acrchr1	Acremonium chrysogenum	1	2	0
actamb1	Actinomortierella ambigua	3	0	0
actamb2	Actinomortierella ambigua	3	0	0
actamb3	Actinomortierella ambigua	3	0	0
actwol1	Actinomortierella wolfii	2	0	0
actwol2	Actinomortierella wolfii	2	0	0
agabis1	Agaricus bisporus	3	0	0
agabis2	Agaricus bisporus	3	0	0
agabis3	Agaricus bisporus	3	0	0
agraeg1	Agrocybe aegerita	1	0	0
agrped1	Agrocybe pediades	1	0	0
akalec1	Akanthomyces lecanii	2	5	0
akalec2	Akanthomyces lecanii	2	0	0
alefal1	Alectoria fallacina	1	1	0
altals1	Alternaria alstroemeriae	1	3	1
altalt10	Alternaria alternata	11	0	0
altalt11	Alternaria alternata	11	3	2
altalt12	Alternaria alternata	11	3	1
altalt13	Alternaria alternata	11	3	2
altalt14	Alternaria alternata	11	1	0
altalt4	Alternaria alternata	11	1	0
altalt5	Alternaria alternata	11	1	0
altalt6	Alternaria alternata	11	1	0
altalt7	Alternaria alternata	11	3	3
altalt8	Alternaria alternata	11	2	2
altalt9	Alternaria alternata	11	3	3
altarb1	Alternaria arborescens	7	1	0
altarb2	Alternaria arborescens	7	1	0
altarb3	Alternaria arborescens	7	4	0
altarb4	Alternaria arborescens	7	3	1
altarb5	Alternaria arborescens	7	6	0
altarb6	Alternaria arborescens	7	1	0
altarb7	Alternaria arborescens	7	4	0
altatr1	Alternaria atra	2	13	1
altatr2	Alternaria atra	2	5	0
altbra1	Alternaria brassicicola	2	0	0
altbra2	Alternaria brassicicola	2	0	0
altbra3	Alternaria brassicae	1	13	0
altbur1	Alternaria burnsii	1	0	0
altcon1	Alternaria consortialis	1	7	3
altgai1	Alternaria gaisen	1	5	1
altgan1	Alternaria gansuensis	2	5	0
altgan2	Alternaria gansuensis	2	5	0
altlon1	Alternaria longipes	1	12	8
altpan1	Alternaria panax	1	1	0
altros1	Alternaria rosae	2	5	0
altros2	Alternaria rosae	2	5	0
altsol1	Alternaria solani	2	1	0
altsol2	Alternaria solani	2	3	2
altsp.4	Alternaria sp.	1	6	0
altten1	Alternaria tenuissima	8	1	0
altten2	Alternaria tenuissima	8	0	0
altten3	Alternaria tenuissima	8	2	0
altten4	Alternaria tenuissima	8	4	0
altten5	Alternaria tenuissima	8	3	0
altten6	Alternaria tenuissima	8	1	1
altten7	Alternaria tenuissima	8	4	0
altten8	Alternaria tenuissima	8	2	0
amabis1	Amanita bisporigera	1	0	0
amabru1	Amanita brunnescens	1	0	0
amacit2	Amanita citrina	1	0	0
amaino1	Amanita inopinata	1	0	0
amajac1	Amanita jacksonii	1	0	0
amamus4	Amanita muscaria	3	1	0
amamus5	Amanita muscaria	3	0	0
amamus6	Amanita muscaria	3	0	0
amapha1	Amanita phalloides	1	0	0
amapol1	Amanita polypyramis	1	0	0
amapse1	Amanita pseudoporphyria	1	1	0
