Captain_Sequence	First_Cluster_Rep	Second_Cluster_Rep
acanthothecis.fontana.1_tyr1446	acanthothecis.fontana.1_tyr1446	acanthothecis.fontana.1_tyr1446
acanthothecis.fontana.1_tyr1575	acanthothecis.fontana.1_tyr1575	alectoria.sarmentosa.4_tyr2248
acanthothecis.fontana.1_tyr2209	acanthothecis.fontana.1_tyr2209	acanthothecis.fontana.1_tyr2209
acanthothecis.fontana.1_tyr2489	acanthothecis.fontana.1_tyr2489	alectoria.sarmentosa.3_tyr1179
acanthothecis.fontana.1_tyr2875	acanthothecis.fontana.1_tyr2875	umbilicaria.hispanica.1_tyr1614
acanthothecis.fontana.1_tyr3737	acanthothecis.fontana.1_tyr3737	acanthothecis.fontana.1_tyr3737
acanthothecis.fontana.1_tyr3987	acanthothecis.fontana.1_tyr3987	alectoria.sarmentosa.4_tyr2248
acarospora.socialis.1_tyr2216	acarospora.socialis.1_tyr2216	acarospora.socialis.1_tyr2216
acarospora.socialis.1_tyr2417	acarospora.socialis.1_tyr2417	pleopsidium.flavum.1_tyr2871
acarospora.socialis.1_tyr3129	acarospora.socialis.1_tyr3129	acarospora.socialis.1_tyr3129
acarospora.socialis.1_tyr3130	acarospora.socialis.1_tyr3130	acarospora.socialis.1_tyr3130
acarospora.socialis.1_tyr836	acarospora.socialis.1_tyr836	umbilicaria.polyphylla.1_tyr2011
acarospora.sp..1_tyr189	acarospora.sp..1_tyr189	variospora.velana.1_tyr1530
acarospora.sp..1_tyr373	acarospora.sp..1_tyr373	buellia.spuria.2_tyr1348
acarospora.sp..1_tyr498	acarospora.sp..1_tyr498	acarospora.sp..1_tyr498
acarospora.sp..1_tyr552	acarospora.sp..1_tyr552	acarospora.sp..1_tyr552
acarospora.strigata.1_tyr1553	acarospora.strigata.1_tyr1553	acarospora.strigata.1_tyr1553
acarospora.strigata.2_tyr1465	acarospora.strigata.1_tyr1553	acarospora.strigata.1_tyr1553
acarospora.strigata.2_tyr2042	acarospora.strigata.2_tyr2042	flavoparmelia.baltimorensis.1_tyr3090
acarospora.strigata.1_tyr1398	acarospora.strigata.2_tyr2042	flavoparmelia.baltimorensis.1_tyr3090
agyrium.rufum.1_tyr1892	agyrium.rufum.1_tyr1892	agyrium.rufum.1_tyr1892
agyrium.rufum.1_tyr1948	agyrium.rufum.1_tyr1948	agyrium.rufum.1_tyr1948
agyrium.rufum.1_tyr287	agyrium.rufum.1_tyr287	agyrium.rufum.1_tyr287
alectoria.ochroleuca.1_tyr213	alectoria.ochroleuca.1_tyr213	buellia.spuria.2_tyr2143
alectoria.sarmentosa.2_tyr3470	alectoria.sarmentosa.2_tyr3470	alectoria.sarmentosa.4_tyr2248
alectoria.sarmentosa.3_tyr1179	alectoria.sarmentosa.3_tyr1179	alectoria.sarmentosa.3_tyr1179
evernia.prunastri.2_tyr548	alectoria.sarmentosa.3_tyr1179	alectoria.sarmentosa.3_tyr1179
alectoria.sarmentosa.4_tyr2248	alectoria.sarmentosa.4_tyr2248	alectoria.sarmentosa.4_tyr2248
alectoria.sarmentosa.3_tyr1880	alectoria.sarmentosa.4_tyr2248	alectoria.sarmentosa.4_tyr2248
arthonia.radiata.1_tyr1680	arthonia.radiata.1_tyr1680	arthonia.radiata.1_tyr1680
arthonia.radiata.1_tyr3040	arthonia.radiata.1_tyr3040	arthonia.radiata.1_tyr3040
arthonia.rubella.1_tyr714	arthonia.rubella.1_tyr714	arthonia.rubella.1_tyr714
arthonia.rubella.1_tyr891	arthonia.rubella.1_tyr891	arthonia.rubella.1_tyr891
arthonia.susa.1_tyr48	arthonia.susa.1_tyr48	arthonia.susa.1_tyr48
arthonia.susa.1_tyr612	arthonia.susa.1_tyr612	arthonia.susa.1_tyr612
arthoniomycete.sp..1_tyr168	arthoniomycete.sp..1_tyr168	arthoniomycete.sp..1_tyr168
arthoniomycete.sp..1_tyr581	arthoniomycete.sp..1_tyr581	arthoniomycete.sp..1_tyr581
aspicilia.laevata.1_tyr1038	aspicilia.laevata.1_tyr1038	aspicilia.laevata.1_tyr1038
aspicilia.laevata.1_tyr1692	aspicilia.laevata.1_tyr1692	aspicilia.laevata.1_tyr1692
aspicilia.laevata.1_tyr3361	aspicilia.laevata.1_tyr3361	aspicilia.laevata.1_tyr3361
bacidia.gigantensis.1_tyr1200	bacidia.gigantensis.1_tyr1200	rusavskia.elegans.1_tyr3814
bacidia.gigantensis.1_tyr1202	bacidia.gigantensis.1_tyr1202	umbilicaria.hispanica.1_tyr1614
bacidia.gigantensis.1_tyr4167	bacidia.gigantensis.1_tyr4167	bacidia.gigantensis.1_tyr4167
bacidia.rubella.1_tyr2101	bacidia.rubella.1_tyr2101	usnea.hakonensis.1_tyr513
baeomycetales.sp..2_tyr1975	baeomycetales.sp..2_tyr1975	ionaspis.lacustris.1_tyr2819
baeomycetales.sp..2_tyr3980	baeomycetales.sp..2_tyr3980	fuscopannaria.leucosticta.1_tyr3928
baeomycetales.sp..2_tyr423	baeomycetales.sp..2_tyr423	baeomycetales.sp..2_tyr423
baeomycetales.sp..4_tyr1180	baeomycetales.sp..4_tyr1180	baeomycetales.sp..4_tyr1180
baeomycetales.sp..4_tyr1237	baeomycetales.sp..4_tyr1237	baeomycetales.sp..4_tyr1237
baeomycetales.sp..4_tyr1767	baeomycetales.sp..4_tyr1767	baeomycetales.sp..4_tyr1767
baeomycetales.sp..4_tyr2003	baeomycetales.sp..4_tyr2003	psora.testacea.1_tyr1362
stereocaulon.virgatum.1_tyr1566	baeomycetales.sp..4_tyr2003	psora.testacea.1_tyr1362
baeomycetales.sp..4_tyr2128	baeomycetales.sp..4_tyr2128	trapelia.coarctata.2_tyr1443
baeomycetales.sp..4_tyr3271	baeomycetales.sp..4_tyr3271	alectoria.sarmentosa.4_tyr2248
biatora.appalachensis.1_tyr3378	biatora.appalachensis.1_tyr3378	biatora.appalachensis.1_tyr3378
biatora.pontica.1_tyr1294	biatora.pontica.1_tyr1294	usnea.hakonensis.1_tyr3823
biatora.pontica.1_tyr3278	biatora.pontica.1_tyr3278	lecanoromycetes.sp..3_tyr106
lasallia.papulosa.1_tyr782	biatora.pontica.1_tyr3278	lecanoromycetes.sp..3_tyr106
lecanora.markjohnstonii.1_tyr1498	biatora.pontica.1_tyr3278	lecanoromycetes.sp..3_tyr106
botryolepraria.lesdainii.1_tyr1357	botryolepraria.lesdainii.1_tyr1357	botryolepraria.lesdainii.1_tyr1357
botryolepraria.lesdainii.1_tyr1709	botryolepraria.lesdainii.1_tyr1709	botryolepraria.lesdainii.1_tyr1709
botryolepraria.lesdainii.1_tyr3146	botryolepraria.lesdainii.1_tyr3146	botryolepraria.lesdainii.1_tyr3146
botryolepraria.lesdainii.1_tyr3615	botryolepraria.lesdainii.1_tyr3615	umbilicaria.spodochroa.4_tyr2482
botryolepraria.lesdainii.1_tyr4168	botryolepraria.lesdainii.1_tyr4168	punctelia.appalachensis.1_tyr2219
brianaria.bauschiana.1_tyr1134	brianaria.bauschiana.1_tyr1134	lecanorales.sp..5_tyr406
brianaria.bauschiana.1_tyr2644	brianaria.bauschiana.1_tyr2644	brianaria.bauschiana.1_tyr2644
brianaria.bauschiana.1_tyr3821	brianaria.bauschiana.1_tyr3821	umbilicaria.hispanica.1_tyr1614
brigantiaea.leucoxantha.1_tyr3404	brigantiaea.leucoxantha.1_tyr3404	brigantiaea.leucoxantha.1_tyr3736
brigantiaea.leucoxantha.1_tyr3736	brigantiaea.leucoxantha.1_tyr3736	brigantiaea.leucoxantha.1_tyr3736
brigantiaea.leucoxantha.2_tyr1373	brigantiaea.leucoxantha.1_tyr3736	brigantiaea.leucoxantha.1_tyr3736
bryoria.fremontii.1_tyr1056	bryoria.fremontii.1_tyr1056	alectoria.sarmentosa.3_tyr1179
bryoria.fremontii.1_tyr2985	bryoria.fremontii.1_tyr2985	usnea.hakonensis.1_tyr3823
bryoria.tenuis.1_tyr1811	bryoria.tenuis.1_tyr1811	evernia.prunastri.2_tyr1283
buellia.mamillana.1_tyr2261	buellia.mamillana.1_tyr2261	flavoplaca.marina.2_tyr1816
buellia.mamillana.1_tyr876	buellia.mamillana.1_tyr876	rusavskia.elegans.1_tyr3814
buellia.spuria.1_tyr1883	buellia.spuria.1_tyr1883	buellia.spuria.1_tyr1883
buellia.spuria.1_tyr2629	buellia.spuria.1_tyr2629	buellia.spuria.1_tyr2629
buellia.spuria.2_tyr1302	buellia.spuria.2_tyr1302	pleopsidium.flavum.1_tyr2871
buellia.spuria.2_tyr1348	buellia.spuria.2_tyr1348	buellia.spuria.2_tyr1348
buellia.spuria.2_tyr1802	buellia.spuria.2_tyr1802	buellia.spuria.2_tyr1802
buellia.spuria.2_tyr1900	buellia.spuria.2_tyr1900	umbilicaria.spodochroa.4_tyr2482
buellia.spuria.2_tyr2143	buellia.spuria.2_tyr2143	buellia.spuria.2_tyr2143
buellia.spuria.2_tyr3032	buellia.spuria.2_tyr3032	umbilicaria.muhlenbergii.1_tyr4002
buellia.spuria.2_tyr3283	buellia.spuria.2_tyr3283	buellia.spuria.2_tyr3283
buellia.spuria.2_tyr3581	buellia.spuria.2_tyr3581	rusavskia.elegans.1_tyr3814
buellia.spuria.2_tyr3704	buellia.spuria.2_tyr3704	buellia.spuria.2_tyr3704
buellia.spuria.2_tyr51	buellia.spuria.2_tyr51	phlyctis.petraea.1_tyr3168
buellia.spuria.2_tyr979	buellia.spuria.2_tyr979	buellia.spuria.2_tyr979
buellia.stillingiana.1_tyr3619	buellia.stillingiana.1_tyr3619	buellia.stillingiana.1_tyr3619
bulbothrix.scortella.1_tyr1496	bulbothrix.scortella.1_tyr1496	bulbothrix.scortella.1_tyr1496
bulbothrix.scortella.1_tyr1497	bulbothrix.scortella.1_tyr1497	flavoparmelia.baltimorensis.1_tyr3090
bulbothrix.scortella.1_tyr1565	bulbothrix.scortella.1_tyr1565	usnea.hakonensis.1_tyr1050
imshaugia.aleurites.2_tyr183	bulbothrix.scortella.1_tyr1565	usnea.hakonensis.1_tyr1050
parmeliaceae.sp..3_tyr570	bulbothrix.scortella.1_tyr1565	usnea.hakonensis.1_tyr1050
usnea.hakonensis.1_tyr792	bulbothrix.scortella.1_tyr1565	usnea.hakonensis.1_tyr1050
umbilicaria.subpolyphylla.1_tyr886	bulbothrix.scortella.1_tyr1565	usnea.hakonensis.1_tyr1050
imshaugia.aleurites.1_tyr890	bulbothrix.scortella.1_tyr1565	usnea.hakonensis.1_tyr1050
platismatia.glauca.1_tyr1012	bulbothrix.scortella.1_tyr1565	usnea.hakonensis.1_tyr1050
parmotrema.hypotropum.1_tyr1144	bulbothrix.scortella.1_tyr1565	usnea.hakonensis.1_tyr1050
parmeliaceae.sp..2_tyr1548	bulbothrix.scortella.1_tyr1565	usnea.hakonensis.1_tyr1050
cetrelia.chicitae.1_tyr1584	bulbothrix.scortella.1_tyr1565	usnea.hakonensis.1_tyr1050
parmotrema.hypotropum.1_tyr1906	bulbothrix.scortella.1_tyr1565	usnea.hakonensis.1_tyr1050
umbilicaria.iberica.2_tyr1991	bulbothrix.scortella.1_tyr1565	usnea.hakonensis.1_tyr1050
usnea.hakonensis.1_tyr2018	bulbothrix.scortella.1_tyr1565	usnea.hakonensis.1_tyr1050
bulbothrix.scortella.1_tyr2019	bulbothrix.scortella.1_tyr1565	usnea.hakonensis.1_tyr1050
evernia.prunastri.1_tyr2325	bulbothrix.scortella.1_tyr1565	usnea.hakonensis.1_tyr1050
imshaugia.aleurites.1_tyr2620	bulbothrix.scortella.1_tyr1565	usnea.hakonensis.1_tyr1050
