"Name","Start","End","Size","Count Of Windows","Product","Substrate","Composite","GC Content"
"Xc_GTX0491_2",0,46500,46500,92,1.67,0.06,1.61,30
"Xc_GTX0491_2",173500,199000,25500,50,1.65,0.11,1.53,31.38
"Xc_GTX0491_2",376000,398500,22500,44,1.57,0.08,1.49,27.99
"Xc_GTX0491_2",588500,598000,9500,18,1.6,0.12,1.48,27.48
"Xc_GTX0491_2",599500,620000,20500,40,1.55,0.08,1.48,25.87
"Xc_GTX0491_2",935500,955000,19500,38,1.51,0.13,1.39,26.04
"Xc_GTX0491_2",958000,963000,5000,9,1.38,0.33,1.05,26.6
"Xc_GTX0491_2",970000,1018500,48500,96,1.49,0.26,1.22,30.78
"Xc_GTX0491_2",1021000,1040000,19000,37,1.45,0.37,1.08,31.46
"Xc_GTX0491_2",1040000,1051000,11000,21,1.49,0.18,1.31,28.55
"Xc_GTX0491_2",1057000,1067500,10500,20,1.68,0.23,1.46,32.43
"Xc_GTX0491_2",1067500,1115000,47500,94,1.45,0.33,1.12,29.73
"Xc_GTX0491_2",1115500,1120500,5000,9,1.34,0.52,0.82,29.62
"Xc_GTX0491_2",1123000,1182500,59500,118,1.49,0.3,1.19,31.26
"Xc_GTX0491_2",1192000,1238500,46500,92,1.44,0.21,1.23,25.95
"Xc_GTX0491_2",1246000,1278500,32500,64,1.52,0.13,1.39,25.63
"Xc_GTX0491_2",1302500,1343000,40500,80,1.51,0.14,1.37,27.35
"Xc_GTX0491_2",1514000,1520000,6000,11,1.61,0.19,1.42,31.2
"Xc_GTX0491_2",1769500,1774000,4500,8,1.57,0.25,1.31,31.49
"Xc_GTX0491_2",1997500,2012500,15000,29,1.58,0.08,1.49,26.15
"Xc_GTX0491_2",2162500,2167500,5000,9,1.67,0.13,1.53,32.2
"Xc_GTX0491_2",2239500,2246000,6500,12,1.48,0.29,1.19,33.91
"Xc_GTX0491_2",2252500,2298000,45500,90,1.59,0.1,1.49,29.59
"Xc_GTX0491_2",2301500,2337000,35500,70,1.58,0.12,1.46,29.53
"Xc_GTX0491_2",2410500,2433000,22500,44,1.57,0.1,1.47,27.91
"Xc_GTX0491_2",2522500,2527000,4500,8,1.6,0.14,1.46,30.44
"Xc_GTX0491_2",2639000,2674000,35000,69,1.6,0.1,1.5,30.19
"Xc_GTX0491_2",2785500,2796000,10500,20,1.62,0.13,1.5,27.98
"Xc_GTX0491_2",2822000,2828500,6500,12,1.54,0.32,1.22,38.2
"Xc_GTX0491_2",2966000,2972000,6000,11,1.58,0.2,1.38,31.92
"Xc_GTX0491_2",3218500,3244000,25500,50,1.68,0.13,1.56,33.06
"Xc_GTX0491_2",3274500,3415000,140500,280,1.6,0.17,1.43,29.85
"Xc_GTX0491_2",3671000,3681500,10500,20,1.6,0.2,1.41,33.64
"Xc_GTX0491_1",0,10500,10500,20,1.77,0.17,1.61,36.53
"Xc_GTX0491_1",62000,116500,54500,108,1.61,0.08,1.53,28.46
"Xc_GTX0491_1",272000,354500,82500,164,1.57,0.08,1.48,26.5
"Xc_GTX0491_1",928500,944500,16000,31,1.53,0.21,1.32,29.33
"Xc_GTX0491_1",961500,1015500,54000,107,1.59,0.08,1.51,26.93
"Xc_GTX0491_1",1315500,1411500,96000,191,1.5,0.13,1.37,27.08
"Xc_GTX0491_1",1457000,1546500,89500,178,1.51,0.26,1.26,30.75
"Xc_GTX0491_1",1553500,1634000,80500,160,1.49,0.23,1.26,29.91
"Xc_GTX0491_1",1639000,1652500,13500,26,1.56,0.11,1.45,29.75
"Xc_GTX0491_1",1661000,1666500,5500,10,1.55,0.18,1.37,33.04
"Xc_GTX0491_1",1671000,1721500,50500,100,1.48,0.22,1.27,28
"Xc_GTX0491_1",1722000,1745000,23000,45,1.47,0.25,1.23,27.46
"Xc_GTX0491_1",1749500,1766500,17000,33,1.4,0.17,1.22,25.89
"Xc_GTX0491_1",1766500,1808000,41500,82,1.41,0.23,1.18,28.1
"Xc_GTX0491_1",1817500,1899500,82000,163,1.52,0.15,1.37,29.15
"Xc_GTX0491_1",2703000,2708000,5000,9,1.53,0.39,1.14,35.96
"Xc_GTX0491_1",2735000,2765000,30000,59,1.57,0.07,1.51,25.69
"Xc_GTX0491_1",2765000,2866000,101000,201,1.63,0.05,1.58,29
"Xc_GTX0491_1",3159500,3208000,48500,96,1.62,0.08,1.54,27.18
"Xc_GTX0491_1",3561000,3566000,5000,9,1.56,0.16,1.4,33.62
"Xc_GTX0491_1",3914500,3937000,22500,44,1.61,0.08,1.52,27.58
"Xc_GTX0491_1",3943500,3967500,24000,47,1.48,0.13,1.35,27.6
"Xc_GTX0491_1",4180000,4196000,16000,31,1.61,0.1,1.52,29.89
"Xc_GTX0491_1",4244500,4256500,12000,23,1.6,0.16,1.44,32.33
"Xc_GTX0491_1",4463500,4469500,6000,11,1.57,0.2,1.37,29.47
"Xc_GTX0491_1",4590500,4608500,18000,35,1.65,0.1,1.55,30.22
"Xc_GTX0491_4",527000,533000,6000,11,1.5,0.18,1.31,28.52
"Xc_GTX0491_4",642000,671500,29500,58,1.59,0.08,1.51,30.17
"Xc_GTX0491_4",674500,684000,9500,18,1.61,0.11,1.51,29.51
"Xc_GTX0491_4",1575500,1622000,46500,92,1.6,0.09,1.52,29.43
"Xc_GTX0491_4",1696500,1701000,4500,8,1.39,0.49,0.9,34.18
