Name,Genome,contig,Start,End,Source,Note,familyID
cladophialophora.endolichena.1_tyr5,cladophialophora.endolichena.1,cladophialophora.endolichena.1_5,6540980,6543177,Newly-annotated lichen genomes,,
cladophialophora.sp..2_tyr403,cladophialophora.sp..2,cladophialophora.sp..2_10,2771492,2774932,Newly-annotated lichen genomes,,
cladophialophora.sp..1_tyr3153,cladophialophora.sp..1,cladophialophora.sp..1_8,3134109,3136009,Newly-annotated lichen genomes,,
rhimac1_11078,,,,,Gluck-Thaler and Vogan (2024),,fam07
elagra2_tyr4830,,,,,Gluck-Thaler and Vogan (2024),,fam07
Starship-1_Cpsa-Captain,,,,,Gluck-Thaler and Vogan (2024),,fam07
clapsa1_10577,,,,,Gluck-Thaler and Vogan (2024),,fam07
phachl1_4316,,,,,Gluck-Thaler and Vogan (2024),,fam07
melanina.sp..1_tyr579,melanina.sp..1,melanina.sp..1_4,920878,923632,Newly-annotated lichen genomes,,
exospi1_9399,,,,,Gluck-Thaler and Vogan (2024),,fam07
botryolepraria.lesdainii.1_tyr1357,botryolepraria.lesdainii.1,botryolepraria.lesdainii.1_1045,3502,6228,Newly-annotated lichen genomes,,
chaetothyriales.sp..1_tyr954,chaetothyriales.sp..1,chaetothyriales.sp..1_9,2353784,2355801,Newly-annotated lichen genomes,,
cladophialophora.sp..2_tyr3780,cladophialophora.sp..2,cladophialophora.sp..2_6,4157374,4159124,Newly-annotated lichen genomes,,
fonmon1_2411_2412,,,,,Gluck-Thaler and Vogan (2024),,n.d.
endocarpon.pusillum.2_tyr109,endocarpon.pusillum.2,endocarpon.pusillum.2_20,670433,672548,Newly-annotated lichen genomes,,
endocarpon.pusillum.2_tyr1874,endocarpon.pusillum.2,endocarpon.pusillum.2_17,432007,435941,Newly-annotated lichen genomes,,
gyalolechia.sp..2_tyr1934,gyalolechia.sp..2,gyalolechia.sp..2_825,5588,6707,Newly-annotated lichen genomes,,
endocarpon.pusillum.3_tyr187,endocarpon.pusillum.3,endocarpon.pusillum.3_891,45672,48166,Newly-annotated lichen genomes,,
endocarpon.pusillum.2_tyr350,endocarpon.pusillum.2,endocarpon.pusillum.2_14,202029,204583,Newly-annotated lichen genomes,,
cypeur1_114146,,,,,Gluck-Thaler and Vogan (2024),,fam07
umbilicaria.polyphylla.2_tyr2880,umbilicaria.polyphylla.2,umbilicaria.polyphylla.2_24,59470,60901,Newly-annotated lichen genomes,,
rhizocarpon.geographicum.1_tyr3008,rhizocarpon.geographicum.1,rhizocarpon.geographicum.1_869,7598,10178,Newly-annotated lichen genomes,,
pseudosagedia.isidiata.1_tyr707,pseudosagedia.isidiata.1,pseudosagedia.isidiata.1_220,16982,19411,Newly-annotated lichen genomes,,
endocarpon.pusillum.3_tyr1094,endocarpon.pusillum.3,endocarpon.pusillum.3_413,54996,56997,Newly-annotated lichen genomes,,
colnym1_1013311,,,,,Gluck-Thaler and Vogan (2024),,fam07
phachl1_5955,,,,,Gluck-Thaler and Vogan (2024),,fam07
umbilicaria.freyi.1_tyr3723,umbilicaria.freyi.1,umbilicaria.freyi.1_97,34586,36683,Newly-annotated lichen genomes,,
elagra2_tyr4812,,,,,Gluck-Thaler and Vogan (2024),,fam07
gluame1_KAH0543790.1,,,,,Gluck-Thaler and Vogan (2024),,fam07
amores1_PSS18507.1,,,,,Gluck-Thaler and Vogan (2024),,fam07
beabas1_10106,,,,,Gluck-Thaler and Vogan (2024),,fam07
mictri1_252258,,,,,Gluck-Thaler and Vogan (2024),,fam07
torhem1_9920,,,,,Gluck-Thaler and Vogan (2024),,fam07
stacha1_4873,,,,,Gluck-Thaler and Vogan (2024),,fam07
metacr1_2241,,,,,Gluck-Thaler and Vogan (2024),,fam07
pocchl3_OAQ57905.2,,,,,Gluck-Thaler and Vogan (2024),,fam07
fusneo1_tyr6117,,,,,Gluck-Thaler and Vogan (2024),,fam07
fussp.8_RSL81990.1,,,,,Gluck-Thaler and Vogan (2024),,fam07
dacest1_679540,,,,,Gluck-Thaler and Vogan (2024),,fam07
fusfus45_tyr5792,,,,,Gluck-Thaler and Vogan (2024),,fam07
fusman3_tyr6063,,,,,Gluck-Thaler and Vogan (2024),,fam07
fusfus45_tyr5796,,,,,Gluck-Thaler and Vogan (2024),,fam07
fusver2_EWG46573.1,,,,,Gluck-Thaler and Vogan (2024),,fam07
metmaj1_tyr8185,,,,,Gluck-Thaler and Vogan (2024),,fam07
fusoxy44_KAG7415401.1_KAG7415409.1,,,,,Gluck-Thaler and Vogan (2024),,n.d.
fusoxy36_RKK64490.1,,,,,Gluck-Thaler and Vogan (2024),,fam07
dacmac1_17988,,,,,Gluck-Thaler and Vogan (2024),,fam07
ilysp.1_683701,,,,,Gluck-Thaler and Vogan (2024),,fam07
chaglo1_574115,,,,,Gluck-Thaler and Vogan (2024),,fam07
colfru5_tyr4312,,,,,Gluck-Thaler and Vogan (2024),,fam07
coltof2_tyr4402,,,,,Gluck-Thaler and Vogan (2024),,fam07
coltri1_tyr4416,,,,,Gluck-Thaler and Vogan (2024),,fam07
coltru1_KAF6782444.1,,,,,Gluck-Thaler and Vogan (2024),,fam07
colnym1_1020188,,,,,Gluck-Thaler and Vogan (2024),,fam07
coltof2_2047,,,,,Gluck-Thaler and Vogan (2024),,fam07
muellerella.sp..1_tyr85,muellerella.sp..1,muellerella.sp..1_5,2664617,2667065,Newly-annotated lichen genomes,,
chasp.7_RMZ91819.1,,,,,Gluck-Thaler and Vogan (2024),,fam07
platismatia.glauca.2_tyr27,platismatia.glauca.2,platismatia.glauca.2_169,14733,15630,Newly-annotated lichen genomes,,
rhizocarpon.geographicum.1_tyr1674,rhizocarpon.geographicum.1,rhizocarpon.geographicum.1_336,9113,10967,Newly-annotated lichen genomes,,
protoblastenia.rupestris.2_tyr3986,protoblastenia.rupestris.2,protoblastenia.rupestris.2_145,10257,11828,Newly-annotated lichen genomes,,
micareopsis.irriguata.1_tyr744,micareopsis.irriguata.1,micareopsis.irriguata.1_860,5908,7861,Newly-annotated lichen genomes,,
parmeliaceae.sp..16_tyr251,parmeliaceae.sp..16,parmeliaceae.sp..16_2201,2,946,Newly-annotated lichen genomes,,
hypogymnia.physodes.1_tyr649,hypogymnia.physodes.1,hypogymnia.physodes.1_1281,398,1967,Newly-annotated lichen genomes,,
usnea.ceratina.2_tyr3511,usnea.ceratina.2,usnea.ceratina.2_993,5416,6157,Newly-annotated lichen genomes,,
lecanora.oreinoides.1_tyr3125,lecanora.oreinoides.1,lecanora.oreinoides.1_625,10943,12289,Newly-annotated lichen genomes,,
cladonia.kurokawae.1_tyr1067,cladonia.kurokawae.1,cladonia.kurokawae.1_229,13025,14534,Newly-annotated lichen genomes,,
lecanora.helva.1_tyr1660,lecanora.helva.1,lecanora.helva.1_2,135861,138331,Newly-annotated lichen genomes,,
