Query	Subject 	Description	Scientific Name	Max Score	Total Score	Query Cover	E value	Per. ident	Acc. Len	Accession  
XANPAOZ2100_002166-T1	core_nt	"Cladophialophora yegresii CBS 114405 uncharacterized protein (A1O7_06482), partial mRNA"	Cladophialophora yegresii CBS 114405	360	360	96%	3e-123	75.68	726	XM_007760484.1
XANPAOZ2100_002166-T1	core_nt	"Fonsecaea erecta hypothetical protein (AYL99_06618), partial mRNA"	Fonsecaea erecta	358	358	97%	6e-123	74.11	675	XM_018838127.1
XANPAOZ2100_002166-T1	core_nt	"Cladophialophora psammophila CBS 110553 uncharacterized protein (A1O5_08129), partial mRNA"	Cladophialophora psammophila CBS 110553	358	358	99%	1e-122	73.68	699	XM_007748713.1
XANPAOZ2100_002166-T1	core_nt	"Endocarpon pusillum Z07020 uncharacterized protein (EPUS_08988), partial mRNA"	Endocarpon pusillum Z07020	355	355	98%	3e-121	73.45	693	XM_007805357.1
XANPAOZ2100_002166-T1	core_nt	"Fonsecaea multimorphosa CBS 102226 uncharacterized protein (Z520_07803), partial mRNA"	Fonsecaea multimorphosa CBS 102226	352	352	98%	3e-120	73.45	687	XM_016778300.1
XANPAOZ2100_002166-T1	core_nt	"Exophiala xenobiotica uncharacterized protein (PV05_08005), mRNA"	Exophiala xenobiotica	353	353	92%	3e-119	76.78	975	XM_013457493.1
XANPAOZ2100_002166-T1	core_nt	"Cladophialophora carrionii CBS 160.54 uncharacterized protein (G647_04799), partial mRNA"	Cladophialophora carrionii CBS 160.54	346	346	100%	7e-118	69.87	690	XM_008729136.1
XANPAOZ2100_002166-T1	core_nt	"Exophiala mesophila uncharacterized protein (PV10_02689), partial mRNA"	Exophiala mesophila	348	348	100%	8e-118	70.87	872	XM_016367035.1
XANPAOZ2100_002166-T1	core_nt	"Cyphellophora europaea CBS 101466 uncharacterized protein (HMPREF1541_09139), partial mRNA"	Cyphellophora europaea CBS 101466	344	344	91%	3e-117	72.73	672	XM_008713814.1
XANPAOZ2100_002166-T1	core_nt	"Exophiala oligosperma uncharacterized protein (PV06_08307), partial mRNA"	Exophiala oligosperma	352	352	95%	7e-117	73.64	1401	XM_016409626.1
XANPAOZ2100_002166-T1	core_nt	"Exophiala aquamarina CBS 119918 uncharacterized protein (A1O9_03817), partial mRNA"	Exophiala aquamarina CBS 119918	337	337	100%	4e-114	69	774	XM_013406110.1
XANPAOZ2100_002166-T1	core_nt	"Cladophialophora yegresii CBS 114405 uncharacterized protein (A1O7_03580), partial mRNA"	Cladophialophora yegresii CBS 114405	331	331	100%	8e-112	67.53	699	XM_007757599.1
XANPAOZ2100_002166-T1	core_nt	"Hypoxylon trugodes S-adenosyl-L-methionine-dependent methyltransferase (F4822DRAFT_430822), partial mRNA"	Hypoxylon trugodes	296	296	92%	3e-98	63.68	648	XM_051461370.1
XANPAOZ2100_002166-T1	core_nt	"Annulohypoxylon truncatum S-adenosyl-L-methionine-dependent methyltransferase (F4807DRAFT_144987), mRNA"	Annulohypoxylon truncatum	296	296	92%	7e-97	62.09	947	XM_047993147.1
XANPAOZ2100_002166-T1	core_nt	"Annulohypoxylon maeteangense S-adenosyl-L-methionine-dependent methyltransferase (GGS22DRAFT_156084), mRNA"	Annulohypoxylon maeteangense	292	292	91%	1e-95	64.76	900	XM_047960313.1
XANPAOZ2100_002166-T1	core_nt	"Daldinia vernicosa S-adenosyl-L-methionine-dependent methyltransferase (F5Y00DRAFT_208395), mRNA"	Daldinia vernicosa	293	293	93%	3e-95	62.44	1047	XM_048005468.1
XANPAOZ2100_002166-T1	core_nt	"Daldinia loculata S-adenosyl-L-methionine-dependent methyltransferase (F4817DRAFT_205109), mRNA"	Daldinia loculata	291	291	93%	5e-95	62.44	937	XM_049298629.1
XANPAOZ2100_002166-T1	core_nt	"Daldinia childiae Endothelin-converting enzyme 2 (GL218_01013), partial mRNA"	Daldinia childiae	287	287	93%	8e-95	61.97	648	XM_033577459.1
XANPAOZ2100_002166-T1	core_nt	"Daldinia decipiens S-adenosyl-L-methionine-dependent methyltransferase (F4813DRAFT_368903), mRNA"	Daldinia decipiens	291	291	93%	7e-94	61.5	1152	XM_049244375.1
XANPAOZ2100_002166-T1	core_nt	"Thyridium curvatum uncharacterized protein (E0L32_004868), partial mRNA"	Thyridium curvatum	283	283	93%	4e-93	60.83	666	XM_031139326.1
XANPAOZ2100_002166-T1	core_nt	"Verticillium nonalfalfae uncharacterized protein (D7B24_005222), partial mRNA"	Verticillium nonalfalfae	281	281	97%	8e-92	59.19	744	XM_028639381.1
XANPAOZ2100_002166-T1	core_nt	Verticillium alfalfae VaMs.102 conserved hypothetical protein mRNA	Verticillium alfalfae VaMs.102	281	281	97%	1e-91	59.19	817	XM_003001469.1
XANPAOZ2100_002166-T1	core_nt	"Verticillium dahliae VdLs.17 uncharacterized protein (VDAG_08232), mRNA"	Verticillium dahliae VdLs.17	279	279	93%	1e-90	60.75	817	XM_009657609.1
XANPAOZ2100_002166-T1	core_nt	"Daldinia caldariorum S-adenosyl-L-methionine-dependent methyltransferase (F4812DRAFT_353580), mRNA"	Daldinia caldariorum	282	282	93%	1e-90	59.62	1086	XM_047931756.1
XANPAOZ2100_002166-T1	core_nt	"Colletotrichum truncatum methyltransferase type 11 (CTRU02_207930), partial mRNA"	Colletotrichum truncatum	275	275	90%	3e-90	58.85	654	XM_070204993.1
XANPAOZ2100_002166-T1	core_nt	"Colletotrichum chrysophilum uncharacterized protein (COL26b_011736), partial mRNA"	Colletotrichum chrysophilum	275	275	90%	6e-90	59.81	654	XM_053184397.1
XANPAOZ2100_002166-T1	core_nt	"Colletotrichum aenigma EEF1A lysine methyltransferase 4 (Eef1akmt4), partial mRNA"	Colletotrichum aenigma	275	275	90%	6e-90	59.81	654	XM_037327971.1
XANPAOZ2100_002166-T1	core_nt	"Colletotrichum siamense EEF1A lysine methyltransferase 4 (Eef1akmt4), partial mRNA"	Colletotrichum siamense	273	273	90%	3e-89	59.81	654	XM_036644624.1
XANPAOZ2100_002166-T1	core_nt	"Colletotrichum gloeosporioides uncharacterized protein (GCG54_00013103), partial mRNA"	Colletotrichum gloeosporioides	273	273	90%	3e-89	59.81	654	XM_045412963.1
XANPAOZ2100_002166-T1	core_nt	"Colletotrichum fructicola Nara gc5 EEF1A lysine methyltransferase 4 (CGGC5_v011631), partial mRNA"	Colletotrichum fructicola Nara gc5	272	272	90%	6e-89	59.33	654	XM_032027884.1
XANPAOZ2100_002166-T1	core_nt	"Colletotrichum higginsianum IMI 349063 uncharacterized protein (CH63R_09706), partial mRNA"	Colletotrichum higginsianum IMI 349063	272	272	92%	8e-89	56.81	684	XM_018304680.1
XANPAOZ2100_002166-T1	core_nt	"Colletotrichum karsti uncharacterized protein (CkaCkLH20_13122), partial mRNA"	Colletotrichum karsti	270	270	92%	8e-88	57.28	654	XM_038895833.1
XANPAOZ2100_002166-T1	core_nt	"Colletotrichum spaethianum EEF1A lysine methyltransferase 4 (ColSpa_12423), partial mRNA"	Colletotrichum spaethianum	268	268	92%	2e-87	57.75	654	XM_049278635.1
XANPAOZ2100_002166-T1	core_nt	"Purpureocillium lilacinum uncharacterized protein (PLICBS_004226), partial mRNA"	Purpureocillium lilacinum	268	268	95%	2e-87	57.8	657	XM_018327050.1
XANPAOZ2100_002166-T1	core_nt	"Boeremia exigua S-adenosyl-L-methionine-dependent methyltransferase (C7974DRAFT_394160), partial mRNA"	Boeremia exigua	269	269	93%	6e-87	57.94	819	XM_046141850.1
XANPAOZ2100_002166-T1	core_nt	"Colletotrichum graminicola M1.001 uncharacterized protein (GLRG_11413), partial mRNA"	Colletotrichum graminicola M1.001	266	266	90%	1e-86	57.89	660	XM_008102097.1
XANPAOZ2100_002166-T1	core_nt	"Macroventuria anomochaeta uncharacterized protein (BU25DRAFT_345099), partial mRNA"	Macroventuria anomochaeta	266	266	90%	2e-86	59.13	645	XM_033703025.1
XANPAOZ2100_002166-T1	core_nt	"Colletotrichum destructivum Putative methyltransferase type 11, S-adenosyl-L-methionine-dependent methyltransferase superfamily (CDEST_14275), mRNA"	Colletotrichum destructivum	273	273	92%	3e-86	56.81	1269	XM_062930431.1
XANPAOZ2100_002166-T1	core_nt	"Didymella exigua CBS 183.55 uncharacterized protein (M421DRAFT_73186), partial mRNA"	Didymella exigua CBS 183.55	265	265	91%	5e-86	59.24	654	XM_033596943.1
XANPAOZ2100_002166-T1	core_nt	"Colletotrichum paranaense uncharacterized protein (CPAR01_14215), partial mRNA"	Colletotrichum paranaense	264	264	90%	2e-85	57.89	660	XM_060498466.1
XANPAOZ2100_002166-T1	core_nt	"Ascochyta rabiei uncharacterized protein (EKO05_0004562), partial mRNA"	Ascochyta rabiei	263	263	90%	2e-85	58.65	645	XM_038938776.1
XANPAOZ2100_002166-T1	core_nt	"Colletotrichum fioriniae uncharacterized protein (N0V96_010881), partial mRNA"	Colletotrichum fioriniae	261	261	90%	2e-84	56.94	654	XM_053195826.1
XANPAOZ2100_002166-T1	core_nt	"Fulvia fulva EEF1A lysine methyltransferase 4 (CLAFUR5_05086), partial mRNA"	Fulvia fulva	261	261	94%	2e-84	57.14	657	XM_047904234.1
XANPAOZ2100_002166-T1	core_nt	"Colletotrichum costaricense uncharacterized protein (CCOS01_11420), partial mRNA"	Colletotrichum costaricense	260	260	90%	4e-84	56.46	660	XM_060459573.1
XANPAOZ2100_002166-T1	core_nt	"Colletotrichum tamarilloi uncharacterized protein (CTAM01_09877), partial mRNA"	Colletotrichum tamarilloi	260	260	90%	4e-84	57.21	660	XM_060525893.1
XANPAOZ2100_002166-T1	core_nt	"Lasiodiplodia theobromae Methyltransferase type 11 (LTHEOB_7030), partial mRNA"	Lasiodiplodia theobromae	260	260	90%	5e-84	59.9	669	XM_035516352.1
XANPAOZ2100_002166-T1	core_nt	"Colletotrichum lupini uncharacterized protein (CLUP02_13032), partial mRNA"	Colletotrichum lupini	259	259	90%	8e-84	56.73	660	XM_049291990.1
XANPAOZ2100_002166-T1	core_nt	"Alternaria arborescens hypothetical protein (AA0111_g2457), partial mRNA"	Alternaria arborescens	258	258	91%	3e-83	57.82	657	XM_028648230.1
XANPAOZ2100_002166-T1	core_nt	"Alternaria postmessia uncharacterized protein (J4E82_001247), partial mRNA"	Alternaria postmessia	258	258	91%	3e-83	57.82	657	XM_051727562.1
XANPAOZ2100_002166-T1	core_nt	"Alternaria atra uncharacterized protein (ALTATR162_LOCUS11096), partial mRNA"	Alternaria atra	258	258	91%	3e-83	58.29	657	XM_043318738.1
XANPAOZ2100_002166-T1	core_nt	"Purpureocillium takamizusanense uncharacterized protein (JDV02_009070), mRNA"	Purpureocillium takamizusanense	264	264	91%	5e-83	58.37	1212	XM_047990709.1
XANPAOZ2100_002166-T1	core_nt	"Exserohilum turcica Et28A uncharacterized protein (SETTUDRAFT_137107), partial mRNA"	Exserohilum turcica Et28A	257	257	91%	6e-83	55.45	677	XM_008029235.1
XANPAOZ2100_002166-T1	core_nt	"Cercospora beticola uncharacterized protein (RHO25_008349), partial mRNA"	Cercospora beticola	256	256	91%	1e-82	55.98	645	XM_023600481.2
XANPAOZ2100_002166-T1	core_nt	"Alternaria metachromatica uncharacterized protein (J4E83_008044), partial mRNA"	Alternaria metachromatica	256	256	92%	1e-82	56.81	657	XM_049334941.1
XANPAOZ2100_002166-T1	core_nt	"Alternaria ethzedia uncharacterized protein (J4E87_001333), partial mRNA"	Alternaria ethzedia	256	256	92%	1e-82	57.28	657	XM_049372979.1
XANPAOZ2100_002166-T1	core_nt	"Alternaria conjuncta uncharacterized protein (J4E85_004224), partial mRNA"	Alternaria conjuncta	256	256	92%	2e-82	56.81	657	XM_051468485.1
